X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
3,7.65,223.6,5.51,0,2017-07-11,2017-07-11T18:56:41Z,036,NA,995.3333333333334,26.63,103.1,8.27,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
36,7.16,222.7,4.73,0.8,2017-07-11,2017-07-11T18:57:14Z,036,NA,995.4666666666667,29.853,94.5,7.16,126.3,NA,NA,NA,NA,NA,NA,NA,NA,1.115,1.115
37,7.16,222.6,4.71,1.1,2017-07-11,2017-07-11T18:57:15Z,036,NA,995.4666666666667,29.82,94.3,7.15,126.4,NA,NA,NA,NA,NA,NA,NA,NA,1.197,1.197
38,7.16,222.3,4.69,1.4,2017-07-11,2017-07-11T18:57:16Z,036,NA,995.4666666666667,29.78,94.1,7.14,126.5,NA,NA,NA,NA,NA,NA,NA,NA,1.481,1.481
39,7.16,222.3,4.63,1.5,2017-07-11,2017-07-11T18:57:17Z,036,NA,995.3333333333334,29.728,93.9,7.12,126.6,NA,NA,NA,NA,NA,NA,NA,NA,1.524,1.524
58,7.2,218.8,3.56,2.1,2017-07-11,2017-07-11T18:57:36Z,036,NA,995.3333333333334,29.039,89.3,6.86,128.6,NA,NA,NA,NA,NA,NA,NA,NA,1.59,1.59
59,7.2,223.4,3.57,2.2,2017-07-11,2017-07-11T18:57:37Z,036,NA,995.4666666666667,29.019,84.8,6.51,128.7,NA,NA,NA,NA,NA,NA,NA,NA,1.62,1.62
60,7.21,223.5,3.6,2.2,2017-07-11,2017-07-11T18:57:38Z,036,NA,995.1999999999999,28.994,83.6,6.43,128.8,NA,NA,NA,NA,NA,NA,NA,NA,1.648,1.648
61,7.21,221.8,3.67,2.3,2017-07-11,2017-07-11T18:57:39Z,036,NA,995.3333333333334,28.971,82.5,6.35,128.9,NA,NA,NA,NA,NA,NA,NA,NA,1.678,1.678
63,7.21,219.7,3.74,2.5,2017-07-11,2017-07-11T18:57:41Z,036,NA,995.3333333333334,28.905,81.1,6.24,129.3,NA,NA,NA,NA,NA,NA,NA,NA,2.501,2.501
