DO_percent,DO_mgpL,pH,PC,CHL,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
87,7.1,7.91,-1.13,5.9,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,25.1,87,7.1,NA,NA,5.9,-1.13,NA,NA,255,NA,NA,NA,0,0
84,6.9,8.07,-1.19,5.55,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,25.2,84,6.9,NA,NA,5.55,-1.19,NA,NA,252,NA,NA,NA,1,1
73,6.1,8.09,-1.36,5.3,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,25.1,73,6.1,NA,NA,5.3,-1.36,NA,NA,249,NA,NA,NA,2,2
48,4,8.02,-1.7,3.8,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,24.8,48,4,NA,NA,3.8,-1.7,NA,NA,250,NA,NA,NA,3,3
3,0.3,7.58,-2.35,1.8,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,24.4,3,0.3,NA,NA,1.8,-2.35,NA,NA,254,NA,NA,NA,3.5,3.5
2,0.2,7.62,-2.39,1.7,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,24.3,2,0.2,NA,NA,1.7,-2.39,NA,NA,254,NA,NA,NA,4,4
1.8,0.2,7.55,-2.35,1.7,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,24.3,1.8,0.2,NA,NA,1.7,-2.35,NA,NA,255,NA,NA,NA,4.5,4.5
1.6,0.01,7.51,-2.4,1.7,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,24.3,1.6,0.01,NA,NA,1.7,-2.4,NA,NA,255,NA,NA,NA,5,5
1.3,0.1,7.46,-2.37,1.6,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,24.2,1.3,0.1,NA,NA,1.6,-2.37,NA,NA,256,NA,NA,NA,6,6
1.2,0.1,7.44,-2.36,1.5,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,24.1,1.2,0.1,NA,NA,1.5,-2.36,NA,NA,256,NA,NA,NA,7,7
1.2,0.1,7.43,-2.39,1.5,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,24,1.2,0.1,NA,NA,1.5,-2.39,NA,NA,255,NA,NA,NA,8,8
1.1,0.1,7.41,-2.38,1.4,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,23.9,1.1,0.1,NA,NA,1.4,-2.38,NA,NA,250,NA,NA,NA,9,9
1,0.08,7.39,-2.37,1.4,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,23.8,1,0.08,NA,NA,1.4,-2.37,NA,NA,233,NA,NA,NA,10,10
0.9,0.08,7.38,-2.37,1.4,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,23.5,0.9,0.08,NA,NA,1.4,-2.37,NA,NA,210,NA,NA,NA,11,11
0.8,0.07,7.35,-2.33,1.4,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,22.9,0.8,0.07,NA,NA,1.4,-2.33,NA,NA,156,NA,NA,NA,12,12
0.7,0.06,7.26,-2.29,1.7,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,21.4,0.7,0.06,NA,NA,1.7,-2.29,NA,NA,-44,NA,NA,NA,13,13
0.5,0.05,7.17,-2.27,1.7,2017-09-27,2017-09-27T13:30:00Z,092,NA,NA,20,0.5,0.05,NA,NA,1.7,-2.27,NA,NA,-106,NA,NA,NA,14,14
