dateTime_Round,X,pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
2017-08-14T12:00:54Z,52,7.9,0.8486666666666667,2017-08-14,2017-08-14T12:00:54Z,078,NA,977.7777777777777,25.745333333333335,92,7.49,429.96666666666664,NA,2.7446666666666664,NA,NA,NA,NA,NA,NA,0.019,0.019
2017-08-14T12:00:57Z,55,7.91,0.878,2017-08-14,2017-08-14T12:00:57Z,078,NA,977.8666666666667,25.737666666666666,91.93333333333334,7.49,429.9,NA,2.774,NA,NA,NA,NA,NA,NA,0.04666666666666667,0.04666666666666667
2017-08-14T12:01:00Z,58,7.92,0.8943333333333333,2017-08-14,2017-08-14T12:01:00Z,078,NA,977.8222222222222,25.727,91.9,7.486666666666667,429.9,NA,2.7976666666666667,NA,NA,NA,NA,NA,NA,0.075,0.075
2017-08-14T12:01:03Z,61,7.93,0.89,2017-08-14,2017-08-14T12:01:03Z,078,NA,977.8222222222222,25.712666666666667,91.83333333333333,7.48,429.93333333333334,NA,2.803,NA,NA,NA,NA,NA,NA,0.11033333333333334,0.11033333333333334
2017-08-14T12:01:06Z,64,7.94,0.901,2017-08-14,2017-08-14T12:01:06Z,078,NA,977.8666666666667,25.680666666666667,91.73333333333333,7.476666666666667,430.03333333333336,NA,2.806,NA,NA,NA,NA,NA,NA,0.153,0.153
2017-08-14T12:01:09Z,67,7.95,0.9176666666666667,2017-08-14,2017-08-14T12:01:09Z,078,NA,977.8666666666667,25.634,91.56666666666666,7.47,430.1666666666667,NA,2.8116666666666665,NA,NA,NA,NA,NA,NA,0.197,0.197
2017-08-14T12:01:12Z,70,7.96,0.9206666666666667,2017-08-14,2017-08-14T12:01:12Z,078,NA,977.8222222222222,25.592,91.33333333333333,7.456666666666667,430.26666666666665,NA,2.835,NA,NA,NA,NA,NA,NA,0.24266666666666667,0.24266666666666667
2017-08-14T12:01:15Z,73,7.966666666666667,0.9233333333333333,2017-08-14,2017-08-14T12:01:15Z,078,NA,977.8222222222222,25.552,91.1,7.443333333333333,430.3,NA,2.849,NA,NA,NA,NA,NA,NA,0.283,0.283
2017-08-14T12:01:18Z,76,7.97,0.9343333333333333,2017-08-14,2017-08-14T12:01:18Z,078,NA,977.7777777777777,25.528666666666666,90.93333333333334,7.433333333333334,430.23333333333335,NA,2.8303333333333334,NA,NA,NA,NA,NA,NA,0.312,0.312
2017-08-14T12:01:21Z,79,7.98,0.9386666666666666,2017-08-14,2017-08-14T12:01:21Z,078,NA,977.8666666666667,25.514666666666667,90.76666666666667,7.42,430.1333333333333,NA,2.8133333333333335,NA,NA,NA,NA,NA,NA,0.337,0.337
2017-08-14T12:01:24Z,82,7.983333333333333,0.9369999999999999,2017-08-14,2017-08-14T12:01:24Z,078,NA,977.8666666666667,25.494,90.5,7.403333333333333,430.2,NA,2.807,NA,NA,NA,NA,NA,NA,0.362,0.362
2017-08-14T12:01:27Z,85,7.99,0.939,2017-08-14,2017-08-14T12:01:27Z,078,NA,977.8222222222222,25.47,90.2,7.38,430.23333333333335,NA,2.8226666666666667,NA,NA,NA,NA,NA,NA,0.38633333333333336,0.38633333333333336
2017-08-14T12:01:30Z,88,7.996666666666667,0.9373333333333334,2017-08-14,2017-08-14T12:01:30Z,078,NA,977.7777777777777,25.444666666666667,89.83333333333333,7.3533333333333335,430.3,NA,2.8186666666666667,NA,NA,NA,NA,NA,NA,0.41133333333333333,0.41133333333333333
2017-08-14T12:01:33Z,91,8,0.9343333333333333,2017-08-14,2017-08-14T12:01:33Z,078,NA,977.8666666666667,25.420666666666666,89.4,7.323333333333333,430.43333333333334,NA,2.7783333333333333,NA,NA,NA,NA,NA,NA,0.44466666666666665,0.44466666666666665
2017-08-14T12:01:36Z,94,8,0.927,2017-08-14,2017-08-14T12:01:36Z,078,NA,977.8222222222222,25.406333333333333,88.93333333333334,7.283333333333333,430.5,NA,2.7516666666666665,NA,NA,NA,NA,NA,NA,0.477,0.477
2017-08-14T12:01:39Z,97,8.003333333333334,0.9216666666666667,2017-08-14,2017-08-14T12:01:39Z,078,NA,977.8666666666667,25.397333333333332,88.4,7.246666666666667,430.53333333333336,NA,2.7146666666666666,NA,NA,NA,NA,NA,NA,0.5096666666666667,0.5096666666666667
2017-08-14T12:01:45Z,103,8.01,0.912,2017-08-14,2017-08-14T12:01:45Z,078,NA,977.8666666666667,25.385,87.33333333333333,7.16,430.7,NA,2.739,NA,NA,NA,NA,NA,NA,0.5523333333333333,0.5523333333333333
2017-08-14T12:01:48Z,106,8.01,0.9103333333333333,2017-08-14,2017-08-14T12:01:48Z,078,NA,977.8222222222222,25.383,86.9,7.12,430.8,NA,2.7626666666666666,NA,NA,NA,NA,NA,NA,0.5733333333333333,0.5733333333333333
