X,pH,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
1,8.33,24.74,0.1,2014-11-14,2014-11-14T10:15:32Z,150,NA,985.3333333333334,22.316,110.4,9.59,170.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0.015
9,8.34,26.03,0.3,2014-11-14,2014-11-14T10:16:12Z,150,NA,985.4666666666667,21.927,107,9.37,170.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116,0.116
10,8.21,25.98,0.6,2014-11-14,2014-11-14T10:16:17Z,150,NA,985.4666666666667,21.755,102.7,9.02,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.175
11,8.17,25.85,0.6,2014-11-14,2014-11-14T10:16:22Z,150,NA,985.4666666666667,21.584,101.1,8.91,171.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253,0.253
12,8.15,25.38,0.7,2014-11-14,2014-11-14T10:16:27Z,150,NA,985.4666666666667,21.466,100.1,8.84,171.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328,0.328
13,8.13,25.35,1,2014-11-14,2014-11-14T10:16:32Z,150,NA,985.4666666666667,21.383,99,8.75,170.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437,0.437
14,8.11,25.33,1.1,2014-11-14,2014-11-14T10:16:37Z,150,NA,985.4666666666667,21.318,97.1,8.6,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.56
15,8.09,25.41,1.1,2014-11-14,2014-11-14T10:16:42Z,150,NA,985.4666666666667,21.295,95.9,8.49,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683,0.683
16,8.05,25.45,1.2,2014-11-14,2014-11-14T10:16:47Z,150,NA,985.4666666666667,21.289,95.1,8.43,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817,0.817
17,8.03,25.63,1.3,2014-11-14,2014-11-14T10:16:52Z,150,NA,985.4666666666667,21.282,94.6,8.39,170.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.939,0.939
18,8.01,25.66,1.3,2014-11-14,2014-11-14T10:16:57Z,150,NA,985.4666666666667,21.278,94.3,8.36,170.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.034,1.034
19,8,25.72,1.4,2014-11-14,2014-11-14T10:17:02Z,150,NA,985.4666666666667,21.279,94.1,8.34,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.131,1.131
20,8,25.03,1.7,2014-11-14,2014-11-14T10:17:07Z,150,NA,985.4666666666667,21.278,94,8.33,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.254,1.254
21,7.99,25.75,1.7,2014-11-14,2014-11-14T10:17:12Z,150,NA,985.4666666666667,21.269,94,8.33,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.342,1.342
22,7.99,25.92,1.8,2014-11-14,2014-11-14T10:17:17Z,150,NA,985.4666666666667,21.262,94,8.33,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,1.43
23,7.99,25.89,2.3,2014-11-14,2014-11-14T10:17:22Z,150,NA,985.4666666666667,21.18,93.7,8.32,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.341,2.341
24,7.97,25.67,2.4,2014-11-14,2014-11-14T10:17:27Z,150,NA,985.4666666666667,21.029,92.8,8.26,170.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,2.44
26,7.94,25.67,2.7,2014-11-14,2014-11-14T10:17:37Z,150,NA,985.4666666666667,20.836,90.9,8.13,170.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,2.49
27,7.91,25.73,2.9,2014-11-14,2014-11-14T10:17:42Z,150,NA,985.4666666666667,20.79,90.5,8.1,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.588,2.588
28,7.89,25.78,2.9,2014-11-14,2014-11-14T10:17:47Z,150,NA,985.6,20.747,90.2,8.08,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.654,2.654
29,7.88,25.63,2.9,2014-11-14,2014-11-14T10:17:52Z,150,NA,985.6,20.727,90,8.07,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.693,2.693
30,7.87,25.65,3.2,2014-11-14,2014-11-14T10:17:57Z,150,NA,985.6,20.699,89.8,8.05,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.763,2.763
31,7.86,25.63,3.2,2014-11-14,2014-11-14T10:18:02Z,150,NA,985.4666666666667,20.677,89.6,8.03,170.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.828,2.828
32,7.86,25.45,3.2,2014-11-14,2014-11-14T10:18:07Z,150,NA,985.4666666666667,20.653,89.4,8.02,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.916,2.916
33,7.85,25.1,3.5,2014-11-14,2014-11-14T10:18:12Z,150,NA,985.4666666666667,20.626,89.2,8.01,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.043,3.043
34,7.84,25.06,3.6,2014-11-14,2014-11-14T10:18:17Z,150,NA,985.4666666666667,20.593,89,7.99,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.156,3.156
