X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
34,9.2,191.7,14.52,0,2017-05-22,2017-05-22T12:10:57Z,165,NA,982.1333333333333,20.871,138.2,12.35,205.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0
58,9.2,188.1,15.24,0.7,2017-05-22,2017-05-22T12:11:21Z,165,NA,982,20.842,137.6,12.3,206.1,NA,NA,NA,NA,NA,NA,NA,NA,0.231,0.231
63,9.19,187.5,15.29,0.8,2017-05-22,2017-05-22T12:11:26Z,165,NA,982.1333333333333,20.827,136.6,12.21,206.2,NA,NA,NA,NA,NA,NA,NA,NA,0.329,0.329
65,9.19,187.3,12.63,0.8,2017-05-22,2017-05-22T12:11:28Z,165,NA,982,20.821,136,12.16,206.2,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.37
66,9.19,187.2,13.65,0.8,2017-05-22,2017-05-22T12:11:29Z,165,NA,982.1333333333333,20.818,135.8,12.14,206.3,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391
67,9.19,187.1,10.3,0.9,2017-05-22,2017-05-22T12:11:30Z,165,NA,982.1333333333333,20.815,135.4,12.11,206.3,NA,NA,NA,NA,NA,NA,NA,NA,0.417,0.417
68,9.19,187,17.35,0.9,2017-05-22,2017-05-22T12:11:31Z,165,NA,982.1333333333333,20.811,135.2,12.09,206.3,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.44
69,9.18,187,13.78,0.9,2017-05-22,2017-05-22T12:11:32Z,165,NA,982,20.806,134.9,12.06,206.4,NA,NA,NA,NA,NA,NA,NA,NA,0.463,0.463
70,9.18,186.9,13.28,0.9,2017-05-22,2017-05-22T12:11:33Z,165,NA,982,20.8,134.6,12.04,206.4,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.485
71,9.18,186.8,14.45,0.9,2017-05-22,2017-05-22T12:11:34Z,165,NA,982.1333333333333,20.797,134.3,12.01,206.4,NA,NA,NA,NA,NA,NA,NA,NA,0.513,0.513
72,9.18,186.8,14.56,0.9,2017-05-22,2017-05-22T12:11:35Z,165,NA,982,20.792,134,11.99,206.5,NA,NA,NA,NA,NA,NA,NA,NA,0.535,0.535
73,9.18,186.7,14.3,0.9,2017-05-22,2017-05-22T12:11:36Z,165,NA,982,20.789,133.7,11.96,206.5,NA,NA,NA,NA,NA,NA,NA,NA,0.556,0.556
74,9.17,186.7,14.12,1,2017-05-22,2017-05-22T12:11:37Z,165,NA,982.2666666666668,20.784,133.4,11.93,206.5,NA,NA,NA,NA,NA,NA,NA,NA,0.578,0.578
75,9.17,186.6,13.88,1,2017-05-22,2017-05-22T12:11:38Z,165,NA,982.1333333333333,20.781,133,11.9,206.6,NA,NA,NA,NA,NA,NA,NA,NA,0.605,0.605
76,9.17,186.5,13.88,1,2017-05-22,2017-05-22T12:11:39Z,165,NA,982.1333333333333,20.778,132.7,11.88,206.6,NA,NA,NA,NA,NA,NA,NA,NA,0.628,0.628
77,9.17,186.5,13.75,1,2017-05-22,2017-05-22T12:11:40Z,165,NA,982.1333333333333,20.774,132.5,11.85,206.7,NA,NA,NA,NA,NA,NA,NA,NA,0.652,0.652
78,9.17,186.5,13.87,1,2017-05-22,2017-05-22T12:11:41Z,165,NA,982.1333333333333,20.77,132.2,11.83,206.7,NA,NA,NA,NA,NA,NA,NA,NA,0.676,0.676
79,9.17,186.4,13.92,1.1,2017-05-22,2017-05-22T12:11:42Z,165,NA,982.1333333333333,20.767,131.9,11.81,206.7,NA,NA,NA,NA,NA,NA,NA,NA,0.703,0.703
80,9.16,186.4,13.9,1.1,2017-05-22,2017-05-22T12:11:43Z,165,NA,982.1333333333333,20.763,131.7,11.79,206.7,NA,NA,NA,NA,NA,NA,NA,NA,0.724,0.724
81,9.16,186.3,13.96,1.1,2017-05-22,2017-05-22T12:11:44Z,165,NA,982.1333333333333,20.759,131.4,11.77,206.8,NA,NA,NA,NA,NA,NA,NA,NA,0.744,0.744
83,9.16,186.2,14.21,1.1,2017-05-22,2017-05-22T12:11:46Z,165,NA,982,20.748,130.9,11.72,206.8,NA,NA,NA,NA,NA,NA,NA,NA,0.785,0.785
87,9.15,186.1,13.84,1.2,2017-05-22,2017-05-22T12:11:50Z,165,NA,982.1333333333333,20.724,130,11.65,206.9,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.86
92,9.14,186,14.31,1.2,2017-05-22,2017-05-22T12:11:55Z,165,NA,982.1333333333333,20.693,128.8,11.55,207.1,NA,NA,NA,NA,NA,NA,NA,NA,0.948,0.948
155,8.94,187,12.42,2.1,2017-05-22,2017-05-22T12:12:58Z,165,NA,982,20.413,102.5,9.24,210.2,NA,NA,NA,NA,NA,NA,NA,NA,1.74,1.74
159,8.91,187.3,13.27,2.2,2017-05-22,2017-05-22T12:13:02Z,165,NA,982,20.387,97.4,8.78,210.5,NA,NA,NA,NA,NA,NA,NA,NA,1.814,1.814
162,8.89,187.5,14.02,2.2,2017-05-22,2017-05-22T12:13:05Z,165,NA,982,20.358,96.2,8.68,210.9,NA,NA,NA,NA,NA,NA,NA,NA,1.87,1.87
167,8.87,187.8,14.11,2.3,2017-05-22,2017-05-22T12:13:10Z,165,NA,982,20.274,94.7,8.56,211.4,NA,NA,NA,NA,NA,NA,NA,NA,1.958,1.958
