DO_percent,DO_mgpL,pH,PC,CHL,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
86.6,6.58,8.3,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,28.8,86.6,6.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
83.5,6.47,8.35,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,28.5,83.5,6.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
82.2,6.37,8.36,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,28.4,82.2,6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
79.4,6.17,8.35,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,28.4,79.4,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
77,5.97,8.33,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,28.4,77,5.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
76,5.91,8.32,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,28.4,76,5.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
48.6,3.71,8.15,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,28.1,48.6,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
15.1,1.13,7.86,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,27.8,15.1,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5
3.7,0.26,7.65,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,27.2,3.7,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7
1.5,0.12,7.43,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,25.1,1.5,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5
1,0.08,7.34,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,23.9,1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8
0.7,0.06,7.26,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,22.1,0.7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
0.6,0.05,7.23,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,20.9,0.6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
0.3,0.03,7.19,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,19.1,0.3,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11
0.2,0.02,7.15,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,18.4,0.2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12
0.2,0.02,7.13,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,17.7,0.2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
0.1,0.01,7.1,NA,NA,2017-08-02,2017-08-02T10:15:00Z,092,NA,NA,17.3,0.1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14
