X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
35,8.76,129.7,1.83,0.1,2017-06-05,2017-06-05T12:50:49Z,317,NA,976,28.313,139.8,10.88,175.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0
55,8.77,132.3,1.84,0.8,2017-06-05,2017-06-05T12:51:09Z,317,NA,976.1333333333333,28.094,140.5,10.98,175.6,NA,NA,NA,NA,NA,NA,NA,NA,0.228,0.228
56,8.77,132.5,1.83,0.8,2017-06-05,2017-06-05T12:51:10Z,317,NA,976,28.078,140.6,10.98,175.6,NA,NA,NA,NA,NA,NA,NA,NA,0.249,0.249
57,8.77,132.6,1.84,0.8,2017-06-05,2017-06-05T12:51:11Z,317,NA,976.1333333333333,28.056,140.6,10.99,175.6,NA,NA,NA,NA,NA,NA,NA,NA,0.269,0.269
58,8.78,132.7,1.83,0.8,2017-06-05,2017-06-05T12:51:12Z,317,NA,976.1333333333333,28.042,140.7,11,175.6,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.29
59,8.78,132.8,1.82,0.9,2017-06-05,2017-06-05T12:51:13Z,317,NA,976.1333333333333,28.024,140.8,11.01,175.5,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.316
60,8.78,132.9,1.81,0.9,2017-06-05,2017-06-05T12:51:14Z,317,NA,976,28.006,140.8,11.02,175.5,NA,NA,NA,NA,NA,NA,NA,NA,0.339,0.339
61,8.78,133,1.82,0.9,2017-06-05,2017-06-05T12:51:15Z,317,NA,976,27.99,140.9,11.03,175.5,NA,NA,NA,NA,NA,NA,NA,NA,0.362,0.362
62,8.78,133.1,1.81,0.9,2017-06-05,2017-06-05T12:51:16Z,317,NA,976.2666666666668,27.974,140.9,11.03,175.5,NA,NA,NA,NA,NA,NA,NA,NA,0.385,0.385
63,8.78,133.2,1.82,1,2017-06-05,2017-06-05T12:51:17Z,317,NA,976.1333333333333,27.954,141,11.04,175.5,NA,NA,NA,NA,NA,NA,NA,NA,0.413,0.413
64,8.78,133.3,1.83,1,2017-06-05,2017-06-05T12:51:18Z,317,NA,976,27.923,141,11.05,175.6,NA,NA,NA,NA,NA,NA,NA,NA,0.438,0.438
65,8.78,133.4,1.86,1,2017-06-05,2017-06-05T12:51:19Z,317,NA,976.1333333333333,27.878,140.9,11.05,175.6,NA,NA,NA,NA,NA,NA,NA,NA,0.463,0.463
66,8.79,133.5,1.92,1,2017-06-05,2017-06-05T12:51:20Z,317,NA,976.1333333333333,27.823,140.9,11.05,175.6,NA,NA,NA,NA,NA,NA,NA,NA,0.489,0.489
67,8.79,133.6,1.99,1,2017-06-05,2017-06-05T12:51:21Z,317,NA,976.1333333333333,27.755,140.8,11.06,175.7,NA,NA,NA,NA,NA,NA,NA,NA,0.521,0.521
68,8.79,133.7,2.04,1.1,2017-06-05,2017-06-05T12:51:22Z,317,NA,976.1333333333333,27.696,140.7,11.06,175.7,NA,NA,NA,NA,NA,NA,NA,NA,0.548,0.548
69,8.79,133.8,2.1,1,2017-06-05,2017-06-05T12:51:23Z,317,NA,976.2666666666668,27.625,140.6,11.07,175.8,NA,NA,NA,NA,NA,NA,NA,NA,0.575,0.575
70,8.79,133.9,2.19,1.1,2017-06-05,2017-06-05T12:51:24Z,317,NA,975.8666666666667,27.556,140.4,11.07,175.8,NA,NA,NA,NA,NA,NA,NA,NA,0.602,0.602
71,8.79,134,2.27,1.1,2017-06-05,2017-06-05T12:51:25Z,317,NA,976,27.477,140.2,11.07,175.8,NA,NA,NA,NA,NA,NA,NA,NA,0.629,0.629
72,8.79,134.1,2.36,1.1,2017-06-05,2017-06-05T12:51:26Z,317,NA,976,27.399,140,11.07,175.9,NA,NA,NA,NA,NA,NA,NA,NA,0.662,0.662
73,8.79,134.2,2.44,1.1,2017-06-05,2017-06-05T12:51:27Z,317,NA,975.8666666666667,27.328,139.8,11.06,175.9,NA,NA,NA,NA,NA,NA,NA,NA,0.688,0.688
74,8.79,134.3,2.53,1.1,2017-06-05,2017-06-05T12:51:28Z,317,NA,976,27.238,139.5,11.05,175.9,NA,NA,NA,NA,NA,NA,NA,NA,0.713,0.713
75,8.78,134.4,2.63,1.1,2017-06-05,2017-06-05T12:51:29Z,317,NA,976,27.157,139.2,11.05,176,NA,NA,NA,NA,NA,NA,NA,NA,0.738,0.738
76,8.78,134.5,2.72,1.1,2017-06-05,2017-06-05T12:51:30Z,317,NA,976,27.074,138.8,11.04,176.1,NA,NA,NA,NA,NA,NA,NA,NA,0.767,0.767
77,8.78,134.6,2.81,1.1,2017-06-05,2017-06-05T12:51:31Z,317,NA,976,27.02,138.5,11.03,176.1,NA,NA,NA,NA,NA,NA,NA,NA,0.791,0.791
