X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
4,8.73,167.1,1.99,0,2017-07-12,2017-07-12T10:17:16Z,035,NA,987.3333333333334,29.731,96.2,7.33,4.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0
34,7.55,217,1.71,1.1,2017-07-12,2017-07-12T10:17:46Z,035,NA,987.1999999999999,29.808,83.2,6.31,39.1,NA,NA,NA,NA,NA,NA,NA,NA,1.139,1.139
68,7.14,219.7,1.78,1.8,2017-07-12,2017-07-12T10:18:20Z,035,NA,987.3333333333334,27.986,67.1,5.12,39.9,NA,NA,NA,NA,NA,NA,NA,NA,1.21,1.21
72,7.13,220.6,1.93,1.9,2017-07-12,2017-07-12T10:18:24Z,035,NA,987.1999999999999,26.603,45,3.6,40.7,NA,NA,NA,NA,NA,NA,NA,NA,1.285,1.285
78,7.12,221.4,2.24,1.9,2017-07-12,2017-07-12T10:18:30Z,035,NA,987.1999999999999,26.536,25.6,2.06,40.5,NA,NA,NA,NA,NA,NA,NA,NA,1.397,1.397
81,7.11,221.3,2.42,1.9,2017-07-12,2017-07-12T10:18:33Z,035,NA,987.1999999999999,26.53,21.5,1.73,40.4,NA,NA,NA,NA,NA,NA,NA,NA,1.457,1.457
85,7.1,221.1,2.54,1.9,2017-07-12,2017-07-12T10:18:37Z,035,NA,987.1999999999999,26.513,15,1.2,40.3,NA,NA,NA,NA,NA,NA,NA,NA,1.534,1.534
89,7.09,220.7,2.64,1.9,2017-07-12,2017-07-12T10:18:41Z,035,NA,987.0666666666666,26.467,11.9,0.95,40.3,NA,NA,NA,NA,NA,NA,NA,NA,1.611,1.611
94,7.08,219.5,2.72,1.9,2017-07-12,2017-07-12T10:18:46Z,035,NA,987.1999999999999,26.408,10.3,0.83,40.3,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7
98,7.05,218.8,2.7,1.9,2017-07-12,2017-07-12T10:18:50Z,035,NA,987.1999999999999,26.315,9.6,0.77,40.6,NA,NA,NA,NA,NA,NA,NA,NA,1.774,1.774
103,7.02,218.3,2.59,1.9,2017-07-12,2017-07-12T10:18:55Z,035,NA,987.3333333333334,26.111,8.3,0.67,41.1,NA,NA,NA,NA,NA,NA,NA,NA,1.867,1.867
136,6.79,217.6,8.06,2.5,2017-07-12,2017-07-12T10:19:28Z,035,NA,987.0666666666666,22.546,3.3,0.29,46.6,NA,NA,NA,NA,NA,NA,NA,NA,2.166,2.166
147,6.76,216.6,9.82,3.1,2017-07-12,2017-07-12T10:19:39Z,035,NA,987.3333333333334,19.698,2.8,0.26,49.6,NA,NA,NA,NA,NA,NA,NA,NA,3.06,3.06
162,6.58,216.3,6.73,3.5,2017-07-12,2017-07-12T10:19:54Z,035,NA,987.1999999999999,17.063,2.2,0.21,54.6,NA,NA,NA,NA,NA,NA,NA,NA,3.101,3.101
163,6.56,216.5,8.95,3.7,2017-07-12,2017-07-12T10:19:55Z,035,NA,987.1999999999999,17.154,2.2,0.21,55.5,NA,NA,NA,NA,NA,NA,NA,NA,3.135,3.135
164,6.53,216.7,9.34,3.7,2017-07-12,2017-07-12T10:19:56Z,035,NA,987.0666666666666,16.804,2.1,0.21,56.9,NA,NA,NA,NA,NA,NA,NA,NA,3.174,3.174
