X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
42,6.77,224,3.92,0,2017-05-31,2017-05-31T08:46:40Z,037,NA,992.2666666666668,22.356,88.4,7.67,119.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0
67,6.96,222.1,3.94,0.7,2017-05-31,2017-05-31T08:47:05Z,037,NA,992.4,22.319,88,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.273,0.273
71,6.98,222.1,3.92,0.7,2017-05-31,2017-05-31T08:47:09Z,037,NA,992.4,22.308,87.9,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.35
73,6.99,222.1,3.96,0.8,2017-05-31,2017-05-31T08:47:11Z,037,NA,992.4,22.3,87.9,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.389,0.389
74,7,222.1,3.96,0.8,2017-05-31,2017-05-31T08:47:12Z,037,NA,992.2666666666668,22.296,87.9,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.41
75,7,222,3.97,0.8,2017-05-31,2017-05-31T08:47:13Z,037,NA,992.4,22.291,87.9,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.435
76,7.01,222,4,0.9,2017-05-31,2017-05-31T08:47:14Z,037,NA,992.5333333333333,22.287,87.9,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.456,0.456
77,7.02,222,4,0.9,2017-05-31,2017-05-31T08:47:15Z,037,NA,992.2666666666668,22.281,87.9,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.479,0.479
78,7.02,222,4.02,0.9,2017-05-31,2017-05-31T08:47:16Z,037,NA,992.2666666666668,22.276,87.9,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.502,0.502
79,7.03,221.9,4.02,1,2017-05-31,2017-05-31T08:47:17Z,037,NA,992.4,22.27,87.8,7.64,121,NA,NA,NA,NA,NA,NA,NA,NA,0.531,0.531
80,7.03,221.9,3.98,1,2017-05-31,2017-05-31T08:47:18Z,037,NA,992.2666666666668,22.267,87.8,7.64,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.555,0.555
81,7.04,221.9,3.99,1,2017-05-31,2017-05-31T08:47:19Z,037,NA,992.4,22.263,87.8,7.64,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.579,0.579
82,7.04,221.9,4.01,1.1,2017-05-31,2017-05-31T08:47:20Z,037,NA,992.4,22.258,87.8,7.64,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.603,0.603
83,7.04,221.9,4.03,1.1,2017-05-31,2017-05-31T08:47:21Z,037,NA,992.4,22.251,87.8,7.63,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.631,0.631
84,7.05,221.9,4.05,1.1,2017-05-31,2017-05-31T08:47:22Z,037,NA,992.4,22.246,87.7,7.63,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.655,0.655
85,7.05,221.9,4.06,1.2,2017-05-31,2017-05-31T08:47:23Z,037,NA,992.2666666666668,22.238,87.7,7.63,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.679,0.679
86,7.06,222,4.04,1.2,2017-05-31,2017-05-31T08:47:24Z,037,NA,992.4,22.227,87.7,7.63,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.703,0.703
87,7.06,222,4.06,1.2,2017-05-31,2017-05-31T08:47:25Z,037,NA,992.4,22.214,87.6,7.63,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.733,0.733
88,7.06,222,4.08,1.3,2017-05-31,2017-05-31T08:47:26Z,037,NA,992.2666666666668,22.201,87.6,7.63,121.1,NA,NA,NA,NA,NA,NA,NA,NA,0.757,0.757
89,7.07,222.1,4.09,1.3,2017-05-31,2017-05-31T08:47:27Z,037,NA,992.4,22.191,87.6,7.62,121.2,NA,NA,NA,NA,NA,NA,NA,NA,0.782,0.782
90,7.07,222.1,4.08,1.3,2017-05-31,2017-05-31T08:47:28Z,037,NA,992.2666666666668,22.18,87.5,7.62,121.2,NA,NA,NA,NA,NA,NA,NA,NA,0.806,0.806
91,7.08,222.1,4.05,1.4,2017-05-31,2017-05-31T08:47:29Z,037,NA,992.4,22.171,87.4,7.62,121.2,NA,NA,NA,NA,NA,NA,NA,NA,0.836,0.836
92,7.08,222.2,4.06,1.4,2017-05-31,2017-05-31T08:47:30Z,037,NA,992.4,22.157,87.4,7.61,121.2,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.86
93,7.08,222.2,4.08,1.4,2017-05-31,2017-05-31T08:47:31Z,037,NA,992.5333333333333,22.141,87.3,7.61,121.2,NA,NA,NA,NA,NA,NA,NA,NA,0.883,0.883
94,7.09,222.2,4.11,1.4,2017-05-31,2017-05-31T08:47:32Z,037,NA,992.4,22.12,87.2,7.61,121.2,NA,NA,NA,NA,NA,NA,NA,NA,0.907,0.907
95,7.09,222.3,4.13,1.4,2017-05-31,2017-05-31T08:47:33Z,037,NA,992.2666666666668,22.103,87.1,7.6,121.3,NA,NA,NA,NA,NA,NA,NA,NA,0.935,0.935
96,7.09,222.3,4.12,1.4,2017-05-31,2017-05-31T08:47:34Z,037,NA,992.2666666666668,22.091,87.1,7.6,121.3,NA,NA,NA,NA,NA,NA,NA,NA,0.958,0.958
97,7.1,222.3,4.15,1.5,2017-05-31,2017-05-31T08:47:35Z,037,NA,992.4,22.078,87,7.59,121.3,NA,NA,NA,NA,NA,NA,NA,NA,0.981,0.981
98,7.1,222.4,4.14,1.5,2017-05-31,2017-05-31T08:47:36Z,037,NA,992.2666666666668,22.064,86.9,7.58,121.3,NA,NA,NA,NA,NA,NA,NA,NA,1.005,1.005
99,7.1,222.4,4.18,1.5,2017-05-31,2017-05-31T08:47:37Z,037,NA,992.4,22.054,86.8,7.58,121.4,NA,NA,NA,NA,NA,NA,NA,NA,1.029,1.029
100,7.11,222.5,4.2,1.5,2017-05-31,2017-05-31T08:47:38Z,037,NA,992.2666666666668,22.041,86.7,7.57,121.4,NA,NA,NA,NA,NA,NA,NA,NA,1.058,1.058
101,7.11,222.5,4.19,1.5,2017-05-31,2017-05-31T08:47:39Z,037,NA,992.5333333333333,22.029,86.6,7.56,121.4,NA,NA,NA,NA,NA,NA,NA,NA,1.081,1.081
102,7.11,222.5,4.21,1.5,2017-05-31,2017-05-31T08:47:40Z,037,NA,992.4,22.016,86.4,7.55,121.5,NA,NA,NA,NA,NA,NA,NA,NA,1.105,1.105
103,7.11,222.6,4.21,1.6,2017-05-31,2017-05-31T08:47:41Z,037,NA,992.2666666666668,22.001,86.3,7.54,121.5,NA,NA,NA,NA,NA,NA,NA,NA,1.128,1.128
104,7.12,222.6,4.22,1.6,2017-05-31,2017-05-31T08:47:42Z,037,NA,992.5333333333333,21.988,86.2,7.53,121.5,NA,NA,NA,NA,NA,NA,NA,NA,1.155,1.155
105,7.12,222.7,4.25,1.6,2017-05-31,2017-05-31T08:47:43Z,037,NA,992.4,21.977,86,7.52,121.6,NA,NA,NA,NA,NA,NA,NA,NA,1.178,1.178
106,7.12,222.7,4.29,1.6,2017-05-31,2017-05-31T08:47:44Z,037,NA,992.4,21.97,85.9,7.52,121.6,NA,NA,NA,NA,NA,NA,NA,NA,1.201,1.201
107,7.13,222.7,4.31,1.6,2017-05-31,2017-05-31T08:47:45Z,037,NA,992.2666666666668,21.964,85.8,7.5,121.6,NA,NA,NA,NA,NA,NA,NA,NA,1.229,1.229
108,7.13,222.8,4.3,1.6,2017-05-31,2017-05-31T08:47:46Z,037,NA,992.4,21.958,85.7,7.49,121.6,NA,NA,NA,NA,NA,NA,NA,NA,1.252,1.252
109,7.13,222.8,4.29,1.6,2017-05-31,2017-05-31T08:47:47Z,037,NA,992.4,21.948,85.5,7.48,121.7,NA,NA,NA,NA,NA,NA,NA,NA,1.275,1.275
110,7.13,222.8,4.28,1.7,2017-05-31,2017-05-31T08:47:48Z,037,NA,992.4,21.94,85.4,7.47,121.7,NA,NA,NA,NA,NA,NA,NA,NA,1.297,1.297
112,7.14,222.9,4.32,1.7,2017-05-31,2017-05-31T08:47:50Z,037,NA,992.5333333333333,21.929,85,7.44,121.7,NA,NA,NA,NA,NA,NA,NA,NA,1.346,1.346
113,7.14,223,4.35,1.7,2017-05-31,2017-05-31T08:47:51Z,037,NA,992.4,21.923,84.9,7.43,121.7,NA,NA,NA,NA,NA,NA,NA,NA,1.368,1.368
114,7.14,223,4.37,1.7,2017-05-31,2017-05-31T08:47:52Z,037,NA,992.2666666666668,21.918,84.7,7.42,121.7,NA,NA,NA,NA,NA,NA,NA,NA,1.389,1.389
115,7.14,223.1,4.41,1.7,2017-05-31,2017-05-31T08:47:53Z,037,NA,992.2666666666668,21.91,84.5,7.4,121.7,NA,NA,NA,NA,NA,NA,NA,NA,1.41,1.41
