dateTime_Round,pH,orp_mV,NTU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
2017-07-18T11:07:39Z,8.81,101.1,-853.9666666666667,2017-07-18,2017-07-18T11:07:39Z,121,NA,990.9777777777778,31.346333333333334,116.9,8.623333333333333,502.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.06666666666666667
2017-07-18T11:07:54Z,8.81,98.86666666666667,-855.2766666666666,2017-07-18,2017-07-18T11:07:54Z,121,NA,991.0222222222222,31.354666666666667,120,8.85,503,NA,NA,NA,NA,NA,NA,NA,NA,0.051,0.3
2017-07-18T11:07:57Z,8.81,98.5,-855.32,2017-07-18,2017-07-18T11:07:57Z,121,NA,991.0666666666666,31.342,120.16666666666667,8.866666666666665,503,NA,NA,NA,NA,NA,NA,NA,NA,0.07866666666666666,0.3666666666666667
2017-07-18T11:08:06Z,8.81,97.7,-855.3633333333333,2017-07-18,2017-07-18T11:08:06Z,121,NA,991.0666666666666,31.248,119.73333333333333,8.85,503,NA,NA,NA,NA,NA,NA,NA,NA,0.182,0.5
2017-07-18T11:08:27Z,8.81,99,-855.3866666666667,2017-07-18,2017-07-18T11:08:27Z,121,NA,991.0666666666666,31.219,117.5,8.69,503,NA,NA,NA,NA,NA,NA,NA,NA,0.43766666666666665,0.5666666666666667
2017-07-18T11:08:42Z,8.82,100.63333333333333,-855.32,2017-07-18,2017-07-18T11:08:42Z,121,NA,991.0666666666666,31.237,119.46666666666667,8.83,503,NA,NA,NA,NA,NA,NA,NA,NA,0.5413333333333333,0.7
2017-07-18T11:09:06Z,8.793333333333333,105.5,-855.3133333333333,2017-07-18,2017-07-18T11:09:06Z,121,NA,991.0666666666666,31.108333333333334,115,8.516666666666666,504,NA,NA,NA,NA,NA,NA,NA,NA,0.6743333333333333,0.8
2017-07-18T11:09:24Z,8.77,108.73333333333333,-855.3166666666667,2017-07-18,2017-07-18T11:09:24Z,121,NA,991.0666666666666,31.046666666666667,110.73333333333333,8.213333333333335,504,NA,NA,NA,NA,NA,NA,NA,NA,0.7653333333333333,0.9
2017-07-18T11:09:36Z,8.77,110.26666666666667,-855.3533333333334,2017-07-18,2017-07-18T11:09:36Z,121,NA,991.0222222222222,31.029666666666667,111.76666666666667,8.29,504,NA,NA,NA,NA,NA,NA,NA,NA,0.836,1
2017-07-18T11:09:45Z,8.77,111.66666666666667,-855.32,2017-07-18,2017-07-18T11:09:45Z,121,NA,991.0222222222222,31.010666666666665,111.2,8.25,504,NA,NA,NA,NA,NA,NA,NA,NA,0.894,1.0666666666666667
2017-07-18T11:10:00Z,8.743333333333334,114.73333333333333,-855.21,2017-07-18,2017-07-18T11:10:00Z,121,NA,990.9777777777778,30.902333333333335,103.89999999999999,7.723333333333333,505,NA,NA,NA,NA,NA,NA,NA,NA,1.0063333333333333,1.1666666666666667
2017-07-18T11:10:06Z,8.716666666666667,116.36666666666666,-855.1733333333333,2017-07-18,2017-07-18T11:10:06Z,121,NA,991.0222222222222,30.845666666666666,101.73333333333333,7.57,505,NA,NA,NA,NA,NA,NA,NA,NA,1.0593333333333332,1.3
2017-07-18T11:10:12Z,8.693333333333333,117.93333333333334,-855.1666666666666,2017-07-18,2017-07-18T11:10:12Z,121,NA,990.9777777777778,30.78366666666667,100.6,7.49,506,NA,NA,NA,NA,NA,NA,NA,NA,1.1253333333333333,1.4
2017-07-18T11:10:18Z,8.67,119.3,-855.2,2017-07-18,2017-07-18T11:10:18Z,121,NA,991.0222222222222,30.755333333333333,99.36666666666666,7.403333333333333,506,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.4666666666666666
2017-07-18T11:10:27Z,8.6466666666666665,121,-855.19,2017-07-18,2017-07-18T11:10:27Z,121,NA,990.9333333333334,30.690666666666665,89.8,6.696666666666666,506,NA,NA,NA,NA,NA,NA,NA,NA,1.3116666666666668,1.6
