X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
56,8.52,165.3,10.94,0.5,2017-06-12,2017-06-12T17:08:49Z,183,NA,984.4,28.265,105.9,8.24,190.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0
59,8.52,165.7,11.39,0.5,2017-06-12,2017-06-12T17:08:52Z,183,NA,984.5333333333333,28.095,101.6,7.94,190.9,NA,NA,NA,NA,NA,NA,NA,NA,0.051,0.051
62,8.51,166.1,11.75,0.5,2017-06-12,2017-06-12T17:08:55Z,183,NA,984.4,27.905,98.3,7.7,191.2,NA,NA,NA,NA,NA,NA,NA,NA,0.109,0.109
63,8.5,166.2,11.95,0.5,2017-06-12,2017-06-12T17:08:56Z,183,NA,984.2666666666668,27.837,97.7,7.66,191.4,NA,NA,NA,NA,NA,NA,NA,NA,0.133,0.133
64,8.5,166.4,12.11,0.6,2017-06-12,2017-06-12T17:08:57Z,183,NA,984.4,27.761,97.1,7.63,191.5,NA,NA,NA,NA,NA,NA,NA,NA,0.154,0.154
65,8.5,166.5,12.15,0.6,2017-06-12,2017-06-12T17:08:58Z,183,NA,984.4,27.692,96.5,7.59,191.7,NA,NA,NA,NA,NA,NA,NA,NA,0.176,0.176
66,8.49,166.6,12.35,0.6,2017-06-12,2017-06-12T17:08:59Z,183,NA,984.5333333333333,27.599,95.9,7.56,191.9,NA,NA,NA,NA,NA,NA,NA,NA,0.199,0.199
67,8.49,166.7,12.36,0.7,2017-06-12,2017-06-12T17:09:00Z,183,NA,984.5333333333333,27.554,95.4,7.52,192.1,NA,NA,NA,NA,NA,NA,NA,NA,0.228,0.228
68,8.48,166.8,12.45,0.7,2017-06-12,2017-06-12T17:09:01Z,183,NA,984.4,27.491,95,7.5,192.2,NA,NA,NA,NA,NA,NA,NA,NA,0.254,0.254
69,8.48,167,12.57,0.8,2017-06-12,2017-06-12T17:09:02Z,183,NA,984.4,27.432,94.7,7.48,192.4,NA,NA,NA,NA,NA,NA,NA,NA,0.281,0.281
