DO_percent,DO_mgpL,pH,PC,CHL,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
105,7.82,8.22,-1.52,5.1,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,28.4,105,7.82,NA,NA,5.1,-1.52,NA,NA,189.6,NA,NA,NA,0,0
98.7,7.68,8.25,-1.23,7.14,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,28.1,98.7,7.68,NA,NA,7.14,-1.23,NA,NA,192,NA,NA,NA,1,1
84.4,6.59,8.12,-1.32,4.92,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,27.7,84.4,6.59,NA,NA,4.92,-1.32,NA,NA,196.8,NA,NA,NA,3,3
68.8,5.42,7.99,-1.5,4.04,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,27.4,68.8,5.42,NA,NA,4.04,-1.5,NA,NA,200.3,NA,NA,NA,4,4
20.8,1.62,7.68,-2.02,2.45,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,26.7,20.8,1.62,NA,NA,2.45,-2.02,NA,NA,205.3,NA,NA,NA,5,5
18.4,1.46,7.56,-1.98,2.39,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,26.3,18.4,1.46,NA,NA,2.39,-1.98,NA,NA,207.9,NA,NA,NA,5.5,5.5
4.1,0.31,7.46,-1.95,2.41,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,25.3,4.1,0.31,NA,NA,2.41,-1.95,NA,NA,209.9,NA,NA,NA,6,6
1.6,0.13,7.37,-2.05,2.02,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,23.7,1.6,0.13,NA,NA,2.02,-2.05,NA,NA,149.1,NA,NA,NA,6.5,6.5
1.3,0.12,7.31,-2.14,1.86,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,23.4,1.3,0.12,NA,NA,1.86,-2.14,NA,NA,89.9,NA,NA,NA,7,7
1,0.09,7.25,-2,1.96,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,21.6,1,0.09,NA,NA,1.96,-2,NA,NA,14.8,NA,NA,NA,8,8
0.8,0.08,7.2,-1.9,2.1,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,20.3,0.8,0.08,NA,NA,2.1,-1.9,NA,NA,-78.6,NA,NA,NA,9,9
0.8,0.07,7.18,-1.97,2.13,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,19.6,0.8,0.07,NA,NA,2.13,-1.97,NA,NA,-111.9,NA,NA,NA,10,10
0.6,0.06,7.15,-1.75,2.46,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,18.8,0.6,0.06,NA,NA,2.46,-1.75,NA,NA,-133.3,NA,NA,NA,11,11
0.5,0.05,7.12,-1.36,3.31,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,17.5,0.5,0.05,NA,NA,3.31,-1.36,NA,NA,-145.4,NA,NA,NA,12,12
0.5,0.05,7.1,-1.25,3.56,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,17.2,0.5,0.05,NA,NA,3.56,-1.25,NA,NA,-152.6,NA,NA,NA,13,13
0.5,0.05,7.09,-0.98,6.86,2017-08-04,2017-08-04T12:40:00Z,089,NA,NA,17,0.5,0.05,NA,NA,6.86,-0.98,NA,NA,-158.4,NA,NA,NA,14,14
