X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
28,8.39,145.3,30.06,0,2017-06-12,2017-06-12T13:08:52Z,150,NA,987.0666666666666,25.734,97.8,7.97,172.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0
38,8.43,145.1,28.42,0.7,2017-06-12,2017-06-12T13:09:02Z,150,NA,987.1999999999999,25.728,98,7.99,172.4,NA,NA,NA,NA,NA,NA,NA,NA,0.054,0.054
39,8.44,145.2,30.2,0.8,2017-06-12,2017-06-12T13:09:03Z,150,NA,987.1999999999999,25.714,98,7.99,172.4,NA,NA,NA,NA,NA,NA,NA,NA,0.84,0.84
40,8.45,145.2,29.97,0.9,2017-06-12,2017-06-12T13:09:04Z,150,NA,987.1999999999999,25.698,97.9,7.98,172.4,NA,NA,NA,NA,NA,NA,NA,NA,0.946,0.946
41,8.45,145.3,29.06,1.1,2017-06-12,2017-06-12T13:09:05Z,150,NA,987.1999999999999,25.678,97.8,7.98,172.4,NA,NA,NA,NA,NA,NA,NA,NA,1.222,1.222
42,8.46,145.4,28.96,1.2,2017-06-12,2017-06-12T13:09:06Z,150,NA,987.1999999999999,25.646,97.6,7.97,172.5,NA,NA,NA,NA,NA,NA,NA,NA,1.269,1.269
43,8.46,145.5,28.5,1.4,2017-06-12,2017-06-12T13:09:07Z,150,NA,987.1999999999999,25.61,97.4,7.96,172.5,NA,NA,NA,NA,NA,NA,NA,NA,1.326,1.326
44,8.46,145.7,28.1,1.5,2017-06-12,2017-06-12T13:09:08Z,150,NA,987.1999999999999,25.575,93.6,7.65,172.6,NA,NA,NA,NA,NA,NA,NA,NA,1.396,1.396
45,8.46,145.9,27.62,1.6,2017-06-12,2017-06-12T13:09:09Z,150,NA,987.0666666666666,25.511,92.7,7.58,172.7,NA,NA,NA,NA,NA,NA,NA,NA,1.459,1.459
46,8.35,146.1,27.15,1.7,2017-06-12,2017-06-12T13:09:10Z,150,NA,987.0666666666666,25.445,91.2,7.47,172.8,NA,NA,NA,NA,NA,NA,NA,NA,1.511,1.511
47,8.34,146.3,26.9,1.7,2017-06-12,2017-06-12T13:09:11Z,150,NA,987.1999999999999,25.384,90.6,7.43,172.9,NA,NA,NA,NA,NA,NA,NA,NA,1.557,1.557
48,8.33,146.5,26.57,1.7,2017-06-12,2017-06-12T13:09:12Z,150,NA,987.1999999999999,25.332,89.9,7.38,173,NA,NA,NA,NA,NA,NA,NA,NA,1.585,1.585
49,8.33,146.8,26.36,1.8,2017-06-12,2017-06-12T13:09:13Z,150,NA,987.1999999999999,25.263,89.4,7.35,173.1,NA,NA,NA,NA,NA,NA,NA,NA,1.609,1.609
50,8.33,147,26.3,1.8,2017-06-12,2017-06-12T13:09:14Z,150,NA,987.1999999999999,25.203,88.9,7.31,173.2,NA,NA,NA,NA,NA,NA,NA,NA,1.631,1.631
51,8.33,147.3,26.18,1.9,2017-06-12,2017-06-12T13:09:15Z,150,NA,987.0666666666666,25.117,88.5,7.29,173.3,NA,NA,NA,NA,NA,NA,NA,NA,1.663,1.663
52,8.32,147.6,25.95,2,2017-06-12,2017-06-12T13:09:16Z,150,NA,987.0666666666666,25.06,88.2,7.27,173.4,NA,NA,NA,NA,NA,NA,NA,NA,1.691,1.691
