X,pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
4,7.92,0.13,2017-08-09,2017-08-09T13:37:28Z,267,NA,994.1333333333333,25.938,101.4,8.24,14.5,NA,0.338,NA,NA,NA,NA,NA,NA,0,0
23,7.97,-0.357,2017-08-09,2017-08-09T13:37:47Z,267,NA,994.1333333333333,23.531,99.3,8.41,691,NA,1.207,NA,NA,NA,NA,NA,NA,0.952,0.952
24,7.97,-0.353,2017-08-09,2017-08-09T13:37:48Z,267,NA,994,23.464,95.7,8.12,691,NA,1.179,NA,NA,NA,NA,NA,NA,1.03,1.03
25,7.97,-0.342,2017-08-09,2017-08-09T13:37:49Z,267,NA,994.1333333333333,23.378,95.3,8.09,692,NA,1.158,NA,NA,NA,NA,NA,NA,1.066,1.066
32,7.96,-0.348,2017-08-09,2017-08-09T13:37:56Z,267,NA,994,22.892,94.2,8.08,699,NA,0.771,NA,NA,NA,NA,NA,NA,1.09,1.09
46,7.93,-0.457,2017-08-09,2017-08-09T13:38:10Z,267,NA,994.1333333333333,22.622,92.7,8,709,NA,0.61,NA,NA,NA,NA,NA,NA,1.176,1.176
47,7.93,-0.462,2017-08-09,2017-08-09T13:38:11Z,267,NA,994.1333333333333,22.594,92.5,7.98,710,NA,0.577,NA,NA,NA,NA,NA,NA,1.198,1.198
48,7.93,-0.466,2017-08-09,2017-08-09T13:38:12Z,267,NA,994.1333333333333,22.565,88.9,7.67,710,NA,0.546,NA,NA,NA,NA,NA,NA,1.221,1.221
49,7.93,-0.476,2017-08-09,2017-08-09T13:38:13Z,267,NA,994.1333333333333,22.527,88.3,7.62,711,NA,0.517,NA,NA,NA,NA,NA,NA,1.244,1.244
50,7.93,-0.48,2017-08-09,2017-08-09T13:38:14Z,267,NA,994.1333333333333,22.497,88.4,7.64,712,NA,0.497,NA,NA,NA,NA,NA,NA,1.265,1.265
51,7.93,-0.481,2017-08-09,2017-08-09T13:38:15Z,267,NA,994.2666666666668,22.452,88.3,7.63,713,NA,0.463,NA,NA,NA,NA,NA,NA,1.289,1.289
52,7.92,-0.492,2017-08-09,2017-08-09T13:38:16Z,267,NA,994.2666666666668,22.393,87.8,7.6,714,NA,0.418,NA,NA,NA,NA,NA,NA,1.31,1.31
53,7.92,-0.502,2017-08-09,2017-08-09T13:38:17Z,267,NA,994.1333333333333,22.297,87.1,7.55,716,NA,0.379,NA,NA,NA,NA,NA,NA,1.333,1.333
54,7.92,-0.506,2017-08-09,2017-08-09T13:38:18Z,267,NA,994.2666666666668,22.207,86.7,7.53,719,NA,0.343,NA,NA,NA,NA,NA,NA,1.355,1.355
55,7.92,-0.502,2017-08-09,2017-08-09T13:38:19Z,267,NA,994.2666666666668,22.114,86.5,7.53,721,NA,0.306,NA,NA,NA,NA,NA,NA,1.381,1.381
56,7.92,-0.507,2017-08-09,2017-08-09T13:38:20Z,267,NA,994.1333333333333,22.04,86.3,7.52,724,NA,0.274,NA,NA,NA,NA,NA,NA,1.401,1.401
59,7.91,-0.525,2017-08-09,2017-08-09T13:38:23Z,267,NA,994,21.836,86,7.52,730,NA,0.238,NA,NA,NA,NA,NA,NA,1.458,1.458
65,7.9,-0.51,2017-08-09,2017-08-09T13:38:29Z,267,NA,994.1333333333333,21.462,85.3,7.52,742,NA,0.159,NA,NA,NA,NA,NA,NA,1.558,1.558
66,7.9,-0.515,2017-08-09,2017-08-09T13:38:30Z,267,NA,994.1333333333333,21.438,85.2,7.51,742,NA,0.151,NA,NA,NA,NA,NA,NA,1.584,1.584
67,7.9,-0.516,2017-08-09,2017-08-09T13:38:31Z,267,NA,994.1333333333333,21.425,85.1,7.5,743,NA,0.147,NA,NA,NA,NA,NA,NA,1.613,1.613
68,7.9,-0.508,2017-08-09,2017-08-09T13:38:32Z,267,NA,994,21.404,84.9,7.5,743,NA,0.144,NA,NA,NA,NA,NA,NA,1.649,1.649
69,7.9,-0.516,2017-08-09,2017-08-09T13:38:33Z,267,NA,994.1333333333333,21.384,84.8,7.49,744,NA,0.145,NA,NA,NA,NA,NA,NA,1.678,1.678
70,7.9,-0.515,2017-08-09,2017-08-09T13:38:34Z,267,NA,994,21.356,84.7,7.48,744,NA,0.144,NA,NA,NA,NA,NA,NA,1.708,1.708
71,7.9,-0.508,2017-08-09,2017-08-09T13:38:35Z,267,NA,994.1333333333333,21.324,84.6,7.48,745,NA,0.146,NA,NA,NA,NA,NA,NA,1.737,1.737
72,7.9,-0.505,2017-08-09,2017-08-09T13:38:36Z,267,NA,994.1333333333333,21.298,84.5,7.47,746,NA,0.148,NA,NA,NA,NA,NA,NA,1.773,1.773
73,7.89,-0.498,2017-08-09,2017-08-09T13:38:37Z,267,NA,994.1333333333333,21.284,84.4,7.47,747,NA,0.159,NA,NA,NA,NA,NA,NA,1.802,1.802
74,7.89,-0.496,2017-08-09,2017-08-09T13:38:38Z,267,NA,994.1333333333333,21.272,84.3,7.46,747,NA,0.155,NA,NA,NA,NA,NA,NA,1.832,1.832
75,7.89,-0.503,2017-08-09,2017-08-09T13:38:39Z,267,NA,994.1333333333333,21.266,84.3,7.46,747,NA,0.155,NA,NA,NA,NA,NA,NA,1.861,1.861
76,7.89,-0.502,2017-08-09,2017-08-09T13:38:40Z,267,NA,994.1333333333333,21.26,84.2,7.45,748,NA,0.161,NA,NA,NA,NA,NA,NA,1.891,1.891
77,7.89,-0.497,2017-08-09,2017-08-09T13:38:41Z,267,NA,994,21.258,84.1,7.45,748,NA,0.163,NA,NA,NA,NA,NA,NA,1.926,1.926
78,7.89,-0.49,2017-08-09,2017-08-09T13:38:42Z,267,NA,994.1333333333333,21.261,84,7.44,748,NA,0.157,NA,NA,NA,NA,NA,NA,1.956,1.956
79,7.89,-0.495,2017-08-09,2017-08-09T13:38:43Z,267,NA,994.1333333333333,21.263,84,7.43,748,NA,0.157,NA,NA,NA,NA,NA,NA,1.985,1.985
80,7.89,-0.493,2017-08-09,2017-08-09T13:38:44Z,267,NA,994.1333333333333,21.264,83.9,7.43,748,NA,0.149,NA,NA,NA,NA,NA,NA,2.012,2.012
81,7.89,-0.488,2017-08-09,2017-08-09T13:38:45Z,267,NA,994.1333333333333,21.264,83.9,7.42,748,NA,0.153,NA,NA,NA,NA,NA,NA,2.04,2.04
82,7.88,-0.497,2017-08-09,2017-08-09T13:38:46Z,267,NA,994.1333333333333,21.263,83.8,7.42,748,NA,0.156,NA,NA,NA,NA,NA,NA,2.062,2.062
83,7.88,-0.498,2017-08-09,2017-08-09T13:38:47Z,267,NA,994,21.262,83.8,7.41,749,NA,0.159,NA,NA,NA,NA,NA,NA,2.082,2.082
