DO_percent,DO_mgpL,pH,PC,CHL,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
108,8.04,8.37,-2.3,1.93,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,26.9,108,8.04,NA,NA,1.93,-2.3,NA,NA,195.9,NA,NA,NA,0,0
101,8.05,8.44,-2.15,2.46,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,26.9,101,8.05,NA,NA,2.46,-2.15,NA,NA,192.7,NA,NA,NA,1,1
100,7.98,8.46,-2.14,2.5,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,26.9,100,7.98,NA,NA,2.5,-2.14,NA,NA,191.7,NA,NA,NA,3,3
97.6,7.8,8.44,-2.2,2.07,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,26.8,97.6,7.8,NA,NA,2.07,-2.2,NA,NA,192.8,NA,NA,NA,5,5
88.8,7.13,8.32,-2.12,2.01,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,26.6,88.8,7.13,NA,NA,2.01,-2.12,NA,NA,196,NA,NA,NA,6,6
70.6,5.7,8.32,-2.19,1.96,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,26.3,70.6,5.7,NA,NA,1.96,-2.19,NA,NA,197.9,NA,NA,NA,7,7
33.4,2.71,8.06,-2.37,1.75,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,25.7,33.4,2.71,NA,NA,1.75,-2.37,NA,NA,202.1,NA,NA,NA,7.5,7.5
23.2,1.89,7.87,-2.44,1.51,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,25.6,23.2,1.89,NA,NA,1.51,-2.44,NA,NA,204.9,NA,NA,NA,8,8
12.3,1,7.7,-2.5,1.48,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,25.4,12.3,1,NA,NA,1.48,-2.5,NA,NA,207.8,NA,NA,NA,8.5,8.5
4,0.34,7.62,-2.43,1.48,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,24.9,4,0.34,NA,NA,1.48,-2.43,NA,NA,208.8,NA,NA,NA,9,9
1.7,0.14,7.5,-2.39,1.8,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,23.3,1.7,0.14,NA,NA,1.8,-2.39,NA,NA,-121,NA,NA,NA,9.5,9.5
0.8,0.07,7.2,-2.36,1.74,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,22.2,0.8,0.07,NA,NA,1.74,-2.36,NA,NA,-148,NA,NA,NA,10,10
0.7,0.06,7.16,-2.41,1.72,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,21.2,0.7,0.06,NA,NA,1.72,-2.41,NA,NA,-158,NA,NA,NA,11,11
0.6,0.05,7.16,-2.4,1.75,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,20,0.6,0.05,NA,NA,1.75,-2.4,NA,NA,-168,NA,NA,NA,12,12
0.4,0.04,7.13,-2.3,1.86,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,19,0.4,0.04,NA,NA,1.86,-2.3,NA,NA,-175,NA,NA,NA,13,13
0.3,0.03,7.09,-2.23,2.04,2017-08-17,2017-08-17T12:00:00Z,092,NA,NA,17.5,0.3,0.03,NA,NA,2.04,-2.23,NA,NA,-177,NA,NA,NA,14,14
