X,pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
25,7.73,1.344,2017-08-07,2017-08-07T13:20:19Z,166,NA,983.6,24.644,101.2,8.41,274.2,NA,4.011,NA,NA,NA,NA,NA,NA,0,0
38,7.79,1.337,2017-08-07,2017-08-07T13:20:32Z,166,NA,983.7333333333332,24.625,101.3,8.42,274,NA,3.863,NA,NA,NA,NA,NA,NA,0.146,0.146
39,7.79,1.334,2017-08-07,2017-08-07T13:20:33Z,166,NA,983.7333333333332,24.625,101.3,8.43,274,NA,3.86,NA,NA,NA,NA,NA,NA,0.17,0.17
40,7.8,1.322,2017-08-07,2017-08-07T13:20:34Z,166,NA,983.6,24.625,101.3,8.43,274,NA,3.834,NA,NA,NA,NA,NA,NA,0.195,0.195
41,7.8,1.316,2017-08-07,2017-08-07T13:20:35Z,166,NA,983.6,24.624,101.3,8.43,274,NA,3.826,NA,NA,NA,NA,NA,NA,0.219,0.219
42,7.8,1.302,2017-08-07,2017-08-07T13:20:36Z,166,NA,983.6,24.623,101.3,8.43,274,NA,3.837,NA,NA,NA,NA,NA,NA,0.246,0.246
43,7.81,1.312,2017-08-07,2017-08-07T13:20:37Z,166,NA,983.8666666666667,24.621,101.3,8.43,274,NA,3.839,NA,NA,NA,NA,NA,NA,0.267,0.267
45,7.82,1.32,2017-08-07,2017-08-07T13:20:39Z,166,NA,983.6,24.612,101.3,8.42,274,NA,3.808,NA,NA,NA,NA,NA,NA,0.308,0.308
46,7.82,1.318,2017-08-07,2017-08-07T13:20:40Z,166,NA,983.6,24.605,101.3,8.42,274.1,NA,3.814,NA,NA,NA,NA,NA,NA,0.329,0.329
47,7.82,1.326,2017-08-07,2017-08-07T13:20:41Z,166,NA,983.6,24.601,101.3,8.42,274.1,NA,3.837,NA,NA,NA,NA,NA,NA,0.353,0.353
48,7.83,1.33,2017-08-07,2017-08-07T13:20:42Z,166,NA,983.6,24.596,101.2,8.42,274.1,NA,3.858,NA,NA,NA,NA,NA,NA,0.373,0.373
49,7.83,1.33,2017-08-07,2017-08-07T13:20:43Z,166,NA,983.6,24.592,101.2,8.42,274.1,NA,3.876,NA,NA,NA,NA,NA,NA,0.393,0.393
51,7.84,1.307,2017-08-07,2017-08-07T13:20:45Z,166,NA,983.6,24.588,101.2,8.42,274.1,NA,3.97,NA,NA,NA,NA,NA,NA,0.436,0.436
55,7.86,1.311,2017-08-07,2017-08-07T13:20:49Z,166,NA,983.6,24.575,101.1,8.42,274.2,NA,4.072,NA,NA,NA,NA,NA,NA,0.516,0.516
60,7.88,1.298,2017-08-07,2017-08-07T13:20:54Z,166,NA,983.6,24.558,101.1,8.42,274.3,NA,4.03,NA,NA,NA,NA,NA,NA,0.612,0.612
64,7.9,1.257,2017-08-07,2017-08-07T13:20:58Z,166,NA,983.7333333333332,24.515,101,8.42,274.5,NA,3.858,NA,NA,NA,NA,NA,NA,0.683,0.683
68,7.91,1.237,2017-08-07,2017-08-07T13:21:02Z,166,NA,983.7333333333332,24.484,100.9,8.41,274.5,NA,3.879,NA,NA,NA,NA,NA,NA,0.763,0.763
70,7.92,1.242,2017-08-07,2017-08-07T13:21:04Z,166,NA,983.7333333333332,24.473,100.8,8.41,274.5,NA,3.91,NA,NA,NA,NA,NA,NA,0.802,0.802
72,7.92,1.237,2017-08-07,2017-08-07T13:21:06Z,166,NA,983.6,24.469,100.8,8.4,274.5,NA,3.906,NA,NA,NA,NA,NA,NA,0.842,0.842
110,7.8,0.387,2017-08-07,2017-08-07T13:21:44Z,166,NA,983.6,22.384,30.1,2.61,265.1,NA,1.618,NA,NA,NA,NA,NA,NA,1.124,1.124
111,7.79,0.38,2017-08-07,2017-08-07T13:21:45Z,166,NA,983.6,22.356,29.9,2.6,264,NA,1.617,NA,NA,NA,NA,NA,NA,1.883,1.883
115,7.77,0.37,2017-08-07,2017-08-07T13:21:49Z,166,NA,983.6,22.265,25.5,2.21,260.5,NA,1.541,NA,NA,NA,NA,NA,NA,1.949,1.949
183,7.54,0.432,2017-08-07,2017-08-07T13:22:57Z,166,NA,983.6,22.085,18.7,1.63,256.7,NA,1.517,NA,NA,NA,NA,NA,NA,2.322,2.322
188,7.53,0.463,2017-08-07,2017-08-07T13:23:02Z,166,NA,983.6,22.082,19.7,1.72,256.5,NA,1.578,NA,NA,NA,NA,NA,NA,2.406,2.406
191,7.52,0.498,2017-08-07,2017-08-07T13:23:05Z,166,NA,983.6,22.082,20,1.75,256.8,NA,1.601,NA,NA,NA,NA,NA,NA,2.463,2.463
192,7.52,0.506,2017-08-07,2017-08-07T13:23:06Z,166,NA,983.6,22.082,20,1.75,256.9,NA,1.615,NA,NA,NA,NA,NA,NA,2.483,2.483
193,7.51,0.511,2017-08-07,2017-08-07T13:23:07Z,166,NA,983.6,22.082,20,1.75,257.1,NA,1.62,NA,NA,NA,NA,NA,NA,2.506,2.506
194,7.51,0.518,2017-08-07,2017-08-07T13:23:08Z,166,NA,983.6,22.082,20,1.75,257.2,NA,1.621,NA,NA,NA,NA,NA,NA,2.527,2.527
195,7.51,0.524,2017-08-07,2017-08-07T13:23:09Z,166,NA,983.7333333333332,22.083,20,1.74,257.5,NA,1.618,NA,NA,NA,NA,NA,NA,2.548,2.548
196,7.51,0.526,2017-08-07,2017-08-07T13:23:10Z,166,NA,983.6,22.083,19.9,1.74,257.7,NA,1.612,NA,NA,NA,NA,NA,NA,2.569,2.569
197,7.51,0.524,2017-08-07,2017-08-07T13:23:11Z,166,NA,983.6,22.084,19.8,1.73,257.9,NA,1.599,NA,NA,NA,NA,NA,NA,2.593,2.593
199,7.5,0.551,2017-08-07,2017-08-07T13:23:13Z,166,NA,983.6,22.085,19.4,1.69,258.4,NA,1.61,NA,NA,NA,NA,NA,NA,2.632,2.632
201,7.5,0.559,2017-08-07,2017-08-07T13:23:15Z,166,NA,983.6,22.085,18.9,1.65,258.9,NA,1.626,NA,NA,NA,NA,NA,NA,2.676,2.676
