X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
38,7.76,205.5,0.09,0.2,2017-06-21,2017-06-21T11:14:24Z,102,NA,984.6666666666666,26.05,151.5,12.27,298.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0
69,7.82,210.9,0.48,0.7,2017-06-21,2017-06-21T11:14:55Z,102,NA,984.5333333333333,24.737,145,12.03,303.1,NA,NA,NA,NA,NA,NA,NA,NA,0.487,0.487
73,7.83,211.5,0.48,0.7,2017-06-21,2017-06-21T11:14:59Z,102,NA,984.5333333333333,24.69,145.1,12.05,303.2,NA,NA,NA,NA,NA,NA,NA,NA,0.563,0.563
90,7.84,213.7,0.63,1.2,2017-06-21,2017-06-21T11:15:16Z,102,NA,984.6666666666666,24.243,143.8,12.03,304.8,NA,NA,NA,NA,NA,NA,NA,NA,0.788,0.788
94,7.84,214.4,0.67,1.2,2017-06-21,2017-06-21T11:15:20Z,102,NA,984.5333333333333,24.118,142.4,11.95,305.3,NA,NA,NA,NA,NA,NA,NA,NA,0.859,0.859
97,7.84,214.8,0.7,1.3,2017-06-21,2017-06-21T11:15:23Z,102,NA,984.5333333333333,24.032,141.1,11.86,305.7,NA,NA,NA,NA,NA,NA,NA,NA,0.911,0.911
99,7.83,215.2,0.71,1.3,2017-06-21,2017-06-21T11:15:25Z,102,NA,984.4,23.994,140.1,11.78,305.9,NA,NA,NA,NA,NA,NA,NA,NA,0.949,0.949
102,7.83,215.7,0.73,1.4,2017-06-21,2017-06-21T11:15:28Z,102,NA,984.5333333333333,23.914,138.5,11.66,306.3,NA,NA,NA,NA,NA,NA,NA,NA,1.009,1.009
105,7.82,216.3,0.75,1.5,2017-06-21,2017-06-21T11:15:31Z,102,NA,984.5333333333333,23.845,137,11.55,306.7,NA,NA,NA,NA,NA,NA,NA,NA,1.07,1.07
107,7.82,216.7,0.78,1.6,2017-06-21,2017-06-21T11:15:33Z,102,NA,984.5333333333333,23.787,135.9,11.48,307,NA,NA,NA,NA,NA,NA,NA,NA,1.12,1.12
108,7.82,216.9,0.78,1.7,2017-06-21,2017-06-21T11:15:34Z,102,NA,984.5333333333333,23.756,131.6,11.11,307.1,NA,NA,NA,NA,NA,NA,NA,NA,1.145,1.145
110,7.81,217.3,0.79,1.7,2017-06-21,2017-06-21T11:15:36Z,102,NA,984.6666666666666,23.69,130,11,307.4,NA,NA,NA,NA,NA,NA,NA,NA,1.189,1.189
111,7.81,217.5,0.8,1.8,2017-06-21,2017-06-21T11:15:37Z,102,NA,984.4,23.659,129.7,10.98,307.6,NA,NA,NA,NA,NA,NA,NA,NA,1.225,1.225
112,7.81,217.7,0.82,1.8,2017-06-21,2017-06-21T11:15:38Z,102,NA,984.5333333333333,23.623,129.3,10.95,307.8,NA,NA,NA,NA,NA,NA,NA,NA,1.246,1.246
113,7.8,217.9,0.82,1.8,2017-06-21,2017-06-21T11:15:39Z,102,NA,984.6666666666666,23.597,129,10.93,307.9,NA,NA,NA,NA,NA,NA,NA,NA,1.272,1.272
