X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
11,7.74,181.7,0.11,0,2017-06-21,2017-06-21T16:10:12Z,107,NA,972.2666666666668,30.179,81.1,6.11,55.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0
52,7.55,189.2,0.32,0.9,2017-06-21,2017-06-21T16:10:53Z,107,NA,972.1333333333333,29.62,74.3,5.65,55.3,NA,NA,NA,NA,NA,NA,NA,NA,0.398,0.398
53,7.54,189.3,0.37,0.9,2017-06-21,2017-06-21T16:10:54Z,107,NA,972.1333333333333,29.546,72.6,5.52,55.3,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.42
54,7.54,189.4,0.41,0.9,2017-06-21,2017-06-21T16:10:55Z,107,NA,972.1333333333333,29.469,71.4,5.44,55.3,NA,NA,NA,NA,NA,NA,NA,NA,0.446,0.446
55,7.54,189.6,0.47,0.9,2017-06-21,2017-06-21T16:10:56Z,107,NA,972,29.37,70.4,5.37,55.3,NA,NA,NA,NA,NA,NA,NA,NA,0.468,0.468
57,7.53,190,0.56,1,2017-06-21,2017-06-21T16:10:58Z,107,NA,972.2666666666668,29.16,68.9,5.28,55.4,NA,NA,NA,NA,NA,NA,NA,NA,0.513,0.513
58,7.52,190.1,0.6,1,2017-06-21,2017-06-21T16:10:59Z,107,NA,972,29.037,68.3,5.24,55.4,NA,NA,NA,NA,NA,NA,NA,NA,0.533,0.533
59,7.52,190.3,0.66,1,2017-06-21,2017-06-21T16:11:00Z,107,NA,972,28.935,67.8,5.21,55.4,NA,NA,NA,NA,NA,NA,NA,NA,0.562,0.562
60,7.51,190.5,0.72,1,2017-06-21,2017-06-21T16:11:01Z,107,NA,972.1333333333333,28.807,67.3,5.18,55.4,NA,NA,NA,NA,NA,NA,NA,NA,0.586,0.586
61,7.51,190.7,0.77,1,2017-06-21,2017-06-21T16:11:02Z,107,NA,972.2666666666668,28.688,66.9,5.16,55.4,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.61
62,7.51,190.8,0.81,1.1,2017-06-21,2017-06-21T16:11:03Z,107,NA,972.1333333333333,28.54,63.2,4.9,55.4,NA,NA,NA,NA,NA,NA,NA,NA,0.644,0.644
64,7.5,191.2,0.91,1.2,2017-06-21,2017-06-21T16:11:05Z,107,NA,972.1333333333333,28.243,61.7,4.8,55.4,NA,NA,NA,NA,NA,NA,NA,NA,0.689,0.689
65,7.49,191.4,0.95,1.3,2017-06-21,2017-06-21T16:11:06Z,107,NA,972.1333333333333,28.155,61.2,4.77,55.4,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.72
66,7.49,191.6,0.97,1.3,2017-06-21,2017-06-21T16:11:07Z,107,NA,972.2666666666668,28.056,60.5,4.73,55.3,NA,NA,NA,NA,NA,NA,NA,NA,0.742,0.742
67,7.48,191.8,0.96,1.3,2017-06-21,2017-06-21T16:11:08Z,107,NA,972.2666666666668,27.982,59.9,4.68,55.3,NA,NA,NA,NA,NA,NA,NA,NA,0.768,0.768
68,7.48,192,0.96,1.3,2017-06-21,2017-06-21T16:11:09Z,107,NA,972.1333333333333,27.905,59.3,4.65,55.3,NA,NA,NA,NA,NA,NA,NA,NA,0.799,0.799
69,7.47,192.2,0.97,1.3,2017-06-21,2017-06-21T16:11:10Z,107,NA,972.1333333333333,27.84,58.8,4.61,55.2,NA,NA,NA,NA,NA,NA,NA,NA,0.824,0.824
70,7.47,192.4,0.94,1.4,2017-06-21,2017-06-21T16:11:11Z,107,NA,972.1333333333333,27.775,58.3,4.58,55.2,NA,NA,NA,NA,NA,NA,NA,NA,0.847,0.847
71,7.46,192.7,0.92,1.4,2017-06-21,2017-06-21T16:11:12Z,107,NA,972.1333333333333,27.709,54.4,4.28,55.1,NA,NA,NA,NA,NA,NA,NA,NA,0.875,0.875
72,7.46,192.9,0.9,1.4,2017-06-21,2017-06-21T16:11:13Z,107,NA,972.1333333333333,27.609,51.8,4.08,55.1,NA,NA,NA,NA,NA,NA,NA,NA,0.898,0.898
73,7.45,193.1,0.9,1.5,2017-06-21,2017-06-21T16:11:14Z,107,NA,972.1333333333333,27.51,49,3.86,55.1,NA,NA,NA,NA,NA,NA,NA,NA,0.922,0.922
74,7.45,193.3,0.88,1.5,2017-06-21,2017-06-21T16:11:15Z,107,NA,972.1333333333333,27.426,46.3,3.66,55,NA,NA,NA,NA,NA,NA,NA,NA,0.946,0.946
75,7.44,193.5,0.86,1.5,2017-06-21,2017-06-21T16:11:16Z,107,NA,972.1333333333333,27.342,44.9,3.56,55,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0.97
76,7.44,193.7,0.85,1.5,2017-06-21,2017-06-21T16:11:17Z,107,NA,972.1333333333333,27.272,43.1,3.42,54.9,NA,NA,NA,NA,NA,NA,NA,NA,0.999,0.999
77,7.43,193.9,0.81,1.6,2017-06-21,2017-06-21T16:11:18Z,107,NA,972,27.202,37.7,2.99,54.9,NA,NA,NA,NA,NA,NA,NA,NA,1.024,1.024
78,7.42,194.1,0.8,1.6,2017-06-21,2017-06-21T16:11:19Z,107,NA,972.1333333333333,27.15,36.1,2.87,54.9,NA,NA,NA,NA,NA,NA,NA,NA,1.049,1.049
