Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
9/11/2018,14:32:39,0,143,2.06,8.4,202.4,-0.357,204.1,119.6,119.6,9.95,290.1,-0.506,0.1,204,0.55,0.52,133,2.15,0,8.12,-147.4,24.603,-0.354,40.28704,-94.02552,272,2.04,12.1,738.5
9/11/2018,14:32:39,0.25,143,2.06,8.37,202.4,-0.357,204.1,119.6,119.6,9.95,290.1,-0.506,0.1,204,0.55,0.52,133,2.15,0,8.12,-147.4,24.602,-0.353,40.28704,-94.02552,272,2.04,12.1,738.5
9/11/2018,14:32:39,0.5,143,2.05,8.35,202.4,-0.357,204.1,119.6,119.6,9.95,290.2,-0.506,0.1,203.9,0.55,0.52,133,2.14,0,8.12,-147.4,24.601,-0.354,40.28704,-94.02552,272,2.04,12.1,738.5
9/11/2018,14:32:39,0.75,143,2.05,8.37,202.4,-0.357,204.1,119.6,119.6,9.95,290.2,-0.506,0.1,203.9,0.55,0.52,133,2.13,0,8.12,-147.3,24.601,-0.355,40.28704,-94.02552,272,2.04,12.1,738.5
9/11/2018,14:32:40,0,143,2.07,8.41,202.4,-0.357,204.1,119.7,119.7,9.96,290.2,-0.506,0.1,203.9,0.55,0.52,133,2.14,0,8.12,-147.3,24.6,-0.355,40.28704,-94.02552,272,2.04,12.1,738.5
9/11/2018,14:32:40,0.25,143,2.07,8.44,202.4,-0.357,204.1,119.7,119.7,9.96,290.3,-0.506,0.1,203.9,0.55,0.52,133,2.14,0,8.12,-147.3,24.6,-0.354,40.28704,-94.02552,272,2.04,12.1,738.5
9/11/2018,14:32:40,0.5,143,2.07,8.44,202.3,-0.357,204.1,119.7,119.7,9.96,290.3,-0.506,0.1,203.9,0.55,0.52,133,2.12,0,8.12,-147.2,24.599,-0.35,40.28704,-94.02552,272.1,2.04,12.1,738.5
9/11/2018,14:32:40,0.75,143,2.08,8.46,202.3,-0.357,204.1,119.7,119.7,9.96,290.4,-0.506,0.1,203.9,0.56,0.53,133,2.12,0,8.12,-147.2,24.598,-0.343,40.28704,-94.02552,272.1,2.04,12.1,738.5
9/11/2018,14:32:41,0,143,2.08,8.47,202.3,-0.357,204,119.7,119.7,9.96,290.4,-0.506,0.1,203.9,0.56,0.53,133,2.13,0,8.12,-147.2,24.597,-0.335,40.28704,-94.02552,272.1,2.04,12.1,738.5
9/11/2018,14:32:41,0.25,143,2.08,8.46,202.3,-0.357,204,119.7,119.7,9.96,290.4,-0.506,0.1,203.9,0.56,0.53,133,2.13,0,8.12,-147.1,24.596,-0.342,40.28704,-94.02552,272.1,2.04,12.1,738.5
