Unit ID:,2,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,cow,,,,,,,,,,,,,
Log Interval:,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17E100519,1.0.18,,,,,,,,,,,
5P Sonde,4, 17E101337,1.0.43,,,,,,,,,,,
pH/ORP,1, 18E103391,3.0.0,,,,,,,,,,,
TAL-PC,1, 17D109804,3.0.0,,,,,,,,,,,
ODO,1, 17F104582,3.0.0,,,,,,,,,,,
CT,1, 17C104840,3.0.5,,,,,,,,,,,
Turbidity,1, 17D108184,3.0.0,,,,,,,,,,,
Depth,2, 17K104869,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
11/19/2018,11:09:59,4.741,743.4,93.5,12.01,108.9,7.43,257.1,4.62,0.309,0.3,0.689,2.55,0.264
11/19/2018,11:10:00,4.741,743.5,93.5,12.01,109.1,7.44,257.3,4.6,0.309,0.3,0.687,2.55,0.264
11/19/2018,11:10:01,4.741,743.5,93.5,12.01,109.2,7.44,257.5,4.62,0.306,0.3,0.684,2.54,0.265
11/19/2018,11:10:02,4.741,743.4,93.5,12.01,109.3,7.45,257.7,4.65,0.282,0.27,0.681,2.52,0.267
11/19/2018,11:10:03,4.741,743.5,93.5,12.01,109.5,7.46,257.9,4.64,0.289,0.28,0.691,2.56,0.269
11/19/2018,11:10:04,4.742,743.5,93.5,12.01,109.7,7.46,258.1,4.66,0.282,0.27,0.678,2.51,0.271
11/19/2018,11:10:05,4.742,743.5,93.5,12.01,109.9,7.47,258.4,4.68,0.283,0.28,0.698,2.59,0.272
11/19/2018,11:10:06,4.743,743.6,93.5,12.01,110.2,7.48,258.6,4.7,0.274,0.27,0.695,2.58,0.273
11/19/2018,11:10:07,4.743,743.5,93.5,12.01,110.4,7.48,258.8,4.67,0.279,0.27,0.702,2.61,0.273
11/19/2018,11:10:08,4.743,743.6,93.5,12.01,110.5,7.49,259,4.69,0.291,0.28,0.721,2.68,0.273
11/19/2018,11:10:09,4.743,743.5,93.5,12.01,110.6,7.49,259.4,4.7,0.305,0.3,0.728,2.71,0.272
11/19/2018,11:10:10,4.743,743.5,93.5,12.01,110.6,7.49,259.9,4.71,0.315,0.31,0.755,2.81,0.271
11/19/2018,11:10:11,4.743,743.6,93.5,12.01,110.6,7.5,260.3,4.71,0.317,0.31,0.787,2.93,0.272
11/19/2018,11:10:12,4.743,743.6,93.5,12.01,110.7,7.5,260.7,4.73,0.34,0.33,0.831,3.11,0.274
11/19/2018,11:10:13,4.743,743.6,93.5,12.01,110.7,7.51,261.2,4.73,0.341,0.33,0.869,3.26,1.069
11/19/2018,11:10:14,4.742,743.6,93.5,12.01,110.7,7.51,261.6,4.73,0.356,0.35,0.92,3.45,1.204
11/19/2018,11:10:15,4.741,743.5,93.5,12.01,110.7,7.52,262,4.74,0.375,0.37,0.993,3.73,1.344
11/19/2018,11:10:16,4.741,743.6,93.5,12.01,110.7,7.52,262.3,4.72,0.393,0.39,1.064,4.01,1.402
11/19/2018,11:10:17,4.74,743.5,93.5,12.01,110.7,7.53,262.7,4.72,0.405,0.4,1.144,4.32,1.441
11/19/2018,11:10:18,4.74,743.5,93.5,12.01,110.7,7.53,263.2,4.71,0.428,0.42,1.211,4.58,1.486
11/19/2018,11:10:19,4.739,743.5,93.5,12.01,110.7,7.54,263.6,4.7,0.442,0.43,1.259,4.76,1.541
11/19/2018,11:10:20,4.738,743.5,93.5,12.01,110.7,7.54,264.1,4.72,0.458,0.45,1.325,5.02,1.58
11/19/2018,11:10:21,4.738,743.6,93.5,12.01,110.7,7.54,264.5,4.72,0.476,0.47,1.365,5.17,1.615
11/19/2018,11:10:22,4.738,743.6,93.5,12.01,110.7,7.55,264.9,4.75,0.49,0.48,1.404,5.33,1.645
11/19/2018,11:10:23,4.738,743.5,93.5,12.01,110.7,7.55,265.3,4.75,0.506,0.5,1.435,5.45,1.683
11/19/2018,11:10:24,4.738,743.6,93.5,12.01,110.7,7.55,265.8,4.73,0.523,0.52,1.464,5.56,1.72
11/19/2018,11:10:25,4.739,743.6,93.5,12.01,110.6,7.56,266.2,4.73,0.542,0.54,1.477,5.61,1.756
11/19/2018,11:10:26,4.739,743.5,93.5,12.01,110.6,7.56,266.7,4.73,0.554,0.55,1.477,5.61,1.79
11/19/2018,11:10:27,4.74,743.6,93.5,12.01,110.6,7.56,267.1,4.71,0.556,0.55,1.48,5.62,1.832
11/19/2018,11:10:28,4.74,743.6,93.5,12.02,110.7,7.56,267.6,4.72,0.564,0.56,1.465,5.56,1.864
11/19/2018,11:10:29,4.74,743.5,93.5,12.02,110.7,7.56,268,4.73,0.564,0.56,1.48,5.62,1.897
11/19/2018,11:10:30,4.74,743.6,93.5,12.02,110.7,7.57,268.4,4.73,0.565,0.56,1.485,5.64,1.931
11/19/2018,11:10:31,4.74,743.5,93.5,12.02,110.7,7.57,268.9,4.75,0.56,0.55,1.47,5.58,1.971
11/19/2018,11:10:32,4.741,743.6,93.5,12.02,110.7,7.57,269.3,4.75,0.575,0.57,1.477,5.61,2.003
11/19/2018,11:10:33,4.741,743.5,93.5,12.02,110.7,7.57,269.7,4.77,0.582,0.57,1.466,5.57,2.036
11/19/2018,11:10:34,4.742,743.6,93.5,12.02,110.7,7.58,270.1,4.75,0.58,0.57,1.467,5.57,2.069
11/19/2018,11:10:35,4.742,743.5,93.6,12.02,110.7,7.58,270.5,4.71,0.583,0.58,1.463,5.55,2.102
11/19/2018,11:10:36,4.743,743.6,93.6,12.02,110.7,7.58,270.9,4.71,0.594,0.59,1.457,5.53,2.142
11/19/2018,11:10:37,4.744,743.6,93.6,12.02,110.7,7.58,271.3,4.68,0.586,0.58,1.454,5.52,2.906
11/19/2018,11:10:38,4.744,743.6,93.6,12.03,110.7,7.58,271.8,4.67,0.583,0.58,1.442,5.47,2.976
11/19/2018,11:10:39,4.744,743.6,93.6,12.03,110.7,7.59,272.2,4.72,0.58,0.57,1.444,5.48,3.061
11/19/2018,11:10:40,4.744,743.6,93.6,12.03,110.7,7.59,272.6,4.73,0.569,0.56,1.436,5.45,3.091
11/19/2018,11:10:41,4.745,743.6,93.6,12.03,110.7,7.59,273,4.71,0.561,0.55,1.425,5.41,3.113
11/19/2018,11:10:42,4.746,743.6,93.6,12.03,110.7,7.59,273.4,4.71,0.556,0.55,1.414,5.37,3.14
11/19/2018,11:10:43,4.747,743.6,93.6,12.03,110.7,7.6,273.8,4.72,0.551,0.54,1.419,5.38,3.166
11/19/2018,11:10:44,4.748,743.6,93.6,12.03,110.7,7.6,274.1,4.74,0.552,0.54,1.434,5.44,3.208
11/19/2018,11:10:45,4.748,743.6,93.6,12.03,110.7,7.6,274.5,4.72,0.554,0.55,1.443,5.48,3.253
11/19/2018,11:10:46,4.749,743.6,93.6,12.03,110.7,7.6,274.9,4.71,0.558,0.55,1.43,5.43,3.293
11/19/2018,11:10:47,4.749,743.6,93.6,12.03,110.7,7.6,275.2,4.69,0.545,0.54,1.436,5.45,3.332
11/19/2018,11:10:48,4.75,743.6,93.6,12.03,110.7,7.61,275.6,4.7,0.549,0.54,1.442,5.48,3.373
11/19/2018,11:10:49,4.75,743.5,93.6,12.03,110.7,7.61,276,4.71,0.558,0.55,1.443,5.48,3.407
11/19/2018,11:10:50,4.75,743.6,93.7,12.03,110.7,7.61,276.3,4.73,0.553,0.55,1.442,5.47,3.436
11/19/2018,11:10:51,4.751,743.5,93.7,12.03,110.7,7.61,276.7,4.75,0.543,0.54,1.43,5.43,3.466
11/19/2018,11:10:52,4.751,743.5,93.7,12.03,110.7,7.61,277.1,4.78,0.534,0.53,1.438,5.46,3.508
11/19/2018,11:10:53,4.751,743.6,93.7,12.03,110.7,7.61,277.5,4.78,0.523,0.52,1.443,5.48,3.545
11/19/2018,11:10:54,4.751,743.6,93.7,12.03,110.7,7.61,278,4.82,0.525,0.52,1.443,5.48,3.58
11/19/2018,11:10:55,4.752,743.6,93.7,12.04,110.7,7.62,278.4,4.86,0.525,0.52,1.423,5.4,3.612
