Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
11/30/2018,11:31:57,2.907,738.4,91.6,12.36,13,8.06,253.3,10.82,0.659,0.65,1.064,4.01,0
11/30/2018,11:31:58,2.923,738.3,91.8,12.37,104,8.07,253.5,10.86,0.636,0.63,1.117,4.22,0
11/30/2018,11:31:59,2.894,738.4,91.8,12.39,103.7,8.07,253.6,10.81,0.624,0.62,1.124,4.24,0
11/30/2018,11:32:00,2.902,738.5,91.8,12.39,94,8.07,253.7,10.68,0.608,0.6,1.169,4.42,0
11/30/2018,11:32:01,2.904,738.5,91.7,12.37,99.7,8.07,253.8,10.61,0.591,0.58,1.178,4.45,0
11/30/2018,11:32:02,2.899,738.4,91.6,12.36,103,8.07,253.8,10.6,0.565,0.56,1.186,4.48,0
11/30/2018,11:32:03,2.895,738.5,91.5,12.35,103.8,8.07,253.9,10.61,0.558,0.55,1.216,4.6,0
11/30/2018,11:32:04,2.891,738.4,91.5,12.34,104,8.08,254,10.53,0.533,0.53,1.296,4.91,0
11/30/2018,11:32:05,2.891,738.5,91.5,12.34,104,8.08,254,10.53,0.517,0.51,1.321,5,0
11/30/2018,11:32:06,2.891,738.4,91.4,12.34,104,8.08,254.1,10.55,0.491,0.48,1.326,5.02,0
11/30/2018,11:32:07,2.893,738.4,91.4,12.34,103.3,8.08,254.1,10.55,0.48,0.47,1.325,5.02,0
11/30/2018,11:32:08,2.9,738.5,91.4,12.34,45.7,8.08,254.2,10.53,0.459,0.45,1.327,5.03,0
11/30/2018,11:32:09,2.9,738.5,91.4,12.34,55.5,8.08,254.3,10.55,0.458,0.45,1.322,5.01,0
11/30/2018,11:32:10,2.898,738.4,91.4,12.34,52.4,8.08,254.3,10.48,0.444,0.44,1.311,4.97,0
11/30/2018,11:32:11,2.896,738.5,91.4,12.33,84.5,8.08,254.4,10.5,0.433,0.43,1.297,4.91,0
11/30/2018,11:32:12,2.896,738.5,91.4,12.33,96.1,8.08,254.4,10.49,0.405,0.4,1.292,4.89,0
11/30/2018,11:32:13,2.889,738.5,91.3,12.33,100.3,8.08,254.5,10.46,0.374,0.37,1.285,4.86,0
11/30/2018,11:32:14,2.881,738.5,91.4,12.33,101.4,8.08,254.5,10.46,0.372,0.36,1.299,4.92,0
11/30/2018,11:32:15,2.874,738.5,91.4,12.33,101.9,8.07,254.6,10.54,0.374,0.37,1.307,4.95,0
11/30/2018,11:32:16,2.864,738.5,91.4,12.34,102.1,8.07,254.7,10.61,0.374,0.37,1.318,4.99,0
11/30/2018,11:32:17,2.855,738.5,91.4,12.35,102.2,8.07,254.7,10.68,0.382,0.38,1.326,5.02,0.002
11/30/2018,11:32:18,2.843,738.5,91.4,12.35,102.2,8.07,254.7,10.71,0.377,0.37,1.332,5.05,0.006
11/30/2018,11:32:19,2.831,738.5,91.5,12.36,102.3,8.07,254.8,10.8,0.378,0.37,1.34,5.08,0.012
