Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
12/17/2018,10:20:03,4.175,748.4,67.5,8.81,79.5,8.44,306.6,6.57,0.782,0.78,3.556,13.67,0
12/17/2018,10:20:04,4.203,748.4,67.8,8.84,79.5,8.45,306.5,6.56,0.74,0.73,3.486,13.4,0
12/17/2018,10:20:05,4.23,748.5,68,8.86,79.6,8.45,306.4,6.56,0.692,0.69,3.462,13.3,0
12/17/2018,10:20:06,4.259,748.4,68.2,8.88,79.7,8.46,306.4,6.53,0.644,0.64,3.417,13.13,0
12/17/2018,10:20:07,4.284,748.4,68.5,8.91,79.8,8.46,306.4,6.51,0.606,0.6,3.377,12.97,0
12/17/2018,10:20:08,4.314,748.5,68.7,8.93,79.9,8.46,306.5,6.5,0.582,0.57,3.342,12.84,0
12/17/2018,10:20:09,4.337,748.4,68.9,8.95,79.9,8.47,306.5,6.49,0.589,0.58,3.327,12.78,0
12/17/2018,10:20:10,4.358,748.5,69.1,8.97,79.9,8.47,306.5,6.5,0.594,0.59,3.313,12.72,0
12/17/2018,10:20:11,4.366,748.5,69.3,8.99,79.9,8.47,306.6,6.48,0.587,0.58,3.284,12.61,0
12/17/2018,10:20:12,4.408,748.4,69.8,9.05,79.9,8.47,306.6,6.44,0.572,0.56,3.252,12.49,0
12/17/2018,10:20:13,4.405,748.5,70.1,9.09,79.8,8.47,306.7,6.43,0.579,0.57,3.191,12.25,0
12/17/2018,10:20:14,4.361,748.5,70.4,9.13,79.8,8.48,306.8,6.42,0.575,0.57,3.15,12.09,0
12/17/2018,10:20:15,4.288,748.6,70.6,9.17,79.6,8.48,306.9,6.43,0.569,0.56,3.105,11.92,0.001
12/17/2018,10:20:16,4.227,748.6,70.8,9.22,79.3,8.48,306.9,6.44,0.566,0.56,3.057,11.73,0.003
12/17/2018,10:20:17,4.149,748.4,71,9.26,79.1,8.48,307,6.42,0.566,0.56,3.054,11.72,0.006
12/17/2018,10:20:18,4.072,748.5,71.3,9.31,78.8,8.48,307.1,6.43,0.571,0.56,3.04,11.66,0.014
12/17/2018,10:20:19,3.978,748.5,71.4,9.35,78.4,8.49,307.2,6.44,0.558,0.55,3.008,11.54,0.019
12/17/2018,10:20:20,3.893,748.4,71.6,9.4,78,8.49,307.3,6.47,0.551,0.54,2.975,11.41,0.027
12/17/2018,10:20:21,3.79,748.4,71.8,9.44,77.6,8.49,307.4,6.5,0.553,0.55,2.955,11.34,0.035
12/17/2018,10:20:22,3.702,748.5,71.9,9.49,77.2,8.5,307.5,6.51,0.563,0.56,2.959,11.35,0.043
12/17/2018,10:20:23,3.602,748.5,72.1,9.53,76.8,8.49,307.7,6.51,0.564,0.56,2.957,11.34,0.057
