Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,NH4-N mg/L,NO3-N mg/L,Cl mg/L,FNU,TSS mg/L,BGA-PC RFU,BGA-PC ug/L,BGA-PE RFU,BGA-PE ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM QSU,DEP m
3/20/2018,9:05:57,6.705,738.1,95.1,11.63,168.3,7.69,,,,-854.2,0,0.348,0.35,,,0.717,2.85,,,0
3/20/2018,9:05:58,6.707,738.2,94.8,11.59,164.8,7.66,,,,-854.36,0,0.33,0.33,,,0.941,3.72,,,0
3/20/2018,9:05:59,6.705,738.1,94.6,11.57,163.3,7.65,,,,-854.47,0,0.319,0.32,,,1.181,4.65,,,0
3/20/2018,9:06:00,6.699,738.1,94.4,11.54,162.7,7.63,,,,-854.61,0,0.304,0.3,,,2.73,10.67,,,0
3/20/2018,9:06:01,6.699,738.1,94.2,11.52,162.4,7.63,,,,-854.76,0,0.29,0.29,,,2.293,8.97,,,0
3/20/2018,9:06:02,6.701,738.2,94,11.49,162.2,7.62,,,,-854.88,0,0.278,0.28,,,2.836,11.08,,,0
3/20/2018,9:06:03,6.704,738.2,93.8,11.47,161.9,7.62,,,,-855.06,0,0.265,0.26,,,2.836,11.08,,,0
3/20/2018,9:06:04,6.705,738.1,93.7,11.45,161.6,7.61,,,,-855.18,0,0.232,0.23,,,2.682,10.49,,,0
3/20/2018,9:06:05,6.704,738.1,93.5,11.43,161.4,7.61,,,,-855.29,0,0.217,0.22,,,2.63,10.28,,,0
3/20/2018,9:06:06,6.704,738.2,93.4,11.42,161.2,7.6,,,,-855.43,0,0.195,0.2,,,2.593,10.14,,,0
3/20/2018,9:06:07,6.703,738.2,93.3,11.4,161,7.6,,,,-855.61,0,0.18,0.18,,,2.571,10.05,,,0
3/20/2018,9:06:08,6.703,738.2,93.2,11.39,160.7,7.6,,,,-855.77,0,0.155,0.16,,,2.571,10.05,,,0
3/20/2018,9:06:09,6.702,738.2,93.1,11.38,160.6,7.59,,,,-855.91,0,0.137,0.14,,,2.584,10.11,,,0
3/20/2018,9:06:10,6.701,738.1,93,11.36,160.4,7.59,,,,-855.91,0,0.117,0.12,,,2.589,10.12,,,0
3/20/2018,9:06:11,6.699,738.2,92.9,11.35,160.2,7.59,,,,-855.9,0,0.095,0.09,,,2.596,10.15,,,0
3/20/2018,9:06:12,6.699,738.2,92.6,11.33,160.1,7.59,,,,-855.9,0,0.072,0.07,,,2.61,10.21,,,0
3/20/2018,9:06:13,6.698,738.1,92.4,11.3,159.8,7.58,,,,-855.91,0,0.05,0.05,,,2.621,10.25,,,0
3/20/2018,9:06:14,6.696,738.2,92.2,11.28,159.5,7.58,,,,-855.91,0,0.046,0.05,,,2.651,10.36,,,0
3/20/2018,9:06:15,6.694,738.1,92.1,11.26,159.3,7.58,,,,-855.92,0,0.051,0.05,,,2.692,10.52,,,0
3/20/2018,9:06:16,6.69,738.2,91.9,11.24,159.1,7.58,,,,-855.94,0,0.055,0.05,,,2.725,10.65,,,0
3/20/2018,9:06:17,6.688,738.2,91.8,11.23,158.9,7.57,,,,-855.97,0,0.047,0.05,,,2.772,10.83,,,0
3/20/2018,9:06:18,6.686,738.1,91.7,11.21,158.7,7.57,,,,-855.93,0,0.05,0.05,,,2.812,10.99,,,0
3/20/2018,9:06:19,6.685,738.1,91.6,11.2,158.6,7.56,,,,-856,0,0.048,0.05,,,2.851,11.14,,,0
3/20/2018,9:06:20,6.684,738,91.5,11.19,158.5,7.56,,,,-856.03,0,0.045,0.05,,,2.881,11.26,,,0
3/20/2018,9:06:21,6.682,738.1,91.4,11.18,158.5,7.55,,,,-856.04,0,0.056,0.06,,,2.909,11.37,,,0
3/20/2018,9:06:22,6.681,738.2,91.3,11.17,158.4,7.55,,,,-856.02,0,0.057,0.06,,,2.936,11.47,,,0
3/20/2018,9:06:23,6.68,738.2,91.3,11.16,158.3,7.55,,,,-855.99,0,0.065,0.07,,,2.943,11.5,,,0
3/20/2018,9:06:24,6.68,738.2,91.2,11.16,158.3,7.54,,,,-855.97,0,0.065,0.07,,,2.939,11.48,,,0
3/20/2018,9:06:25,6.679,738.2,91.2,11.15,158.2,7.54,,,,-855.99,0,0.078,0.08,,,2.93,11.45,,,0
3/20/2018,9:06:26,6.678,738.1,91.1,11.14,158.2,7.53,,,,-855.99,0,0.076,0.08,,,2.939,11.48,,,0
3/20/2018,9:06:27,6.679,738.1,91.1,11.14,158.1,7.53,,,,-856.01,0,0.082,0.08,,,2.933,11.46,,,0
3/20/2018,9:06:28,6.679,738.2,91,11.13,158.1,7.53,,,,-855.99,0,0.086,0.09,,,2.921,11.41,,,0
3/20/2018,9:06:29,6.68,738.2,91,11.13,158,7.52,,,,-856.04,0,0.089,0.09,,,2.912,11.38,,,0
3/20/2018,9:06:30,6.68,738.2,90.9,11.12,158,7.52,,,,-856.02,0,0.093,0.09,,,2.889,11.29,,,0
