sep=,
Unit ID:,1
User ID:,
Site:,72
Log Interval:,2.00

Model, Submodel, S/N, S/W Ver
Handheld,2, 17F105819,1.0.18
5P Sonde,4, 17G100162,1.0.35
CT,1, 17F102078,3.0.5
Turbidity,1, 17F102796,3.0.0
pH/ORP,1, 17E101062,3.0.0
CT,1, 17F102078,3.0.5
ODO,1, 17F104582,3.0.0
Depth,2, 17F104892,3.0.0

Depth,Temp,DO%,DO mg,Cond,pH,ORP,Turb,PC rfu,PC ug,CHL rfu,CHL ug
0,22.2,92,7.96,222,7.69,281,2.47,1.1,1.1,1.2,4.5,
1,22.2,80,6.96,222,7.74,277,2.48,1.5,1.4,1.8,7.4,
3,22.2,77,6.7,222,7.8,273,2.56,1.5,1.5,1.8,7.5,
5,22.1,74,6.42,222,7.79,274,2.68,1.4,1.4,1.9,7.9,
7,22.1,69,6.07,222,7.74,276,2.68,1.4,1.4,1.9,7.7,
8,22,66,5.73,222,7.7,278,2.39,1.3,1.3,1.6,6.6,
9,21.9,59,5.2,222,7.64,281,3.43,1.2,1.2,1.4,6.1,
10,21.6,44,3.84,225,7.54,283,4.4,1.1,1.1,1.4,5.6,
10.5,21.3,12,0.97,237,7.38,287,6.85,0.9,0.9,1.1,4.5,
11,20.4,2,0.2,251,7.32,239,8.16,0.8,0.7,1.1,4.4,
11.5,19,1,0.06,266,7.32,131,9.74,0.7,0.7,0.9,3.8,
12,18.4,0.4,0.04,271,7.33,82,10.23,0.8,0.8,0.9,4.1,
13,16.3,0.1,0.01,283,7.26,-18,16.56,1.2,1.2,1.2,4.8,
13.9,15.4,0,0,305,7.01,-83,,1.8,1.4,0.5,2.2,
