Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
9/12/2018,12:39:50,23.211,737,107.2,9.15,208.1,8.43,247.2,4.32,1.367,1.34,2.515,10.23,0
9/12/2018,12:39:55,23.196,736.9,107.6,9.19,207.8,8.44,247.6,4.29,1.433,1.4,2.519,10.25,0
9/12/2018,12:40:00,23.177,736.9,108.3,9.25,207.5,8.44,248,4.33,1.471,1.44,2.675,10.88,0
9/12/2018,12:40:05,23.169,737,108.8,9.3,207.5,8.44,248.5,4.32,1.492,1.46,2.739,11.14,0
9/12/2018,12:40:10,23.166,736.9,109.2,9.33,207.4,8.43,249.2,4.33,1.531,1.5,2.851,11.6,0
9/12/2018,12:40:15,23.165,736.9,109.5,9.36,207.4,8.43,249.8,4.34,1.556,1.52,3.043,12.38,0
9/12/2018,12:40:20,23.159,737,109.7,9.37,207.3,8.42,250.3,4.36,1.575,1.54,3.058,12.44,0
9/12/2018,12:40:25,23.153,737,109.8,9.39,207.3,8.41,251,4.42,1.567,1.53,2.858,11.63,0
9/12/2018,12:40:30,23.144,736.9,110,9.4,207.3,8.4,251.5,4.4,1.583,1.55,2.874,11.69,0
9/12/2018,12:40:35,23.135,736.9,110.1,9.41,207.2,8.39,252,4.4,1.639,1.61,3.274,13.32,0.004
9/12/2018,12:40:40,23.123,736.9,110.2,9.42,207.2,8.39,252.6,4.36,1.748,1.72,3.61,14.68,0.043
9/12/2018,12:40:45,23.115,737,110.2,9.43,207.1,8.38,253.1,4.38,1.848,1.81,3.657,14.87,0.079
9/12/2018,12:40:50,23.114,737,110.3,9.43,207.1,8.37,253.5,4.38,1.888,1.85,3.548,14.43,0.113
9/12/2018,12:40:55,23.122,737,110.3,9.44,207.1,8.37,254,4.38,1.852,1.82,3.381,13.75,0.145
9/12/2018,12:41:00,23.13,737,110.4,9.44,207.2,8.36,254.4,4.38,1.81,1.78,3.379,13.74,0.174
9/12/2018,12:41:05,23.132,737,110.4,9.44,207.1,8.36,254.9,4.41,1.807,1.77,3.527,14.35,0.198
9/12/2018,12:41:10,23.134,736.9,110.5,9.45,207.2,8.35,255.4,4.42,1.79,1.76,3.61,14.68,0.218
9/12/2018,12:41:15,23.14,736.9,110.5,9.45,207.1,8.34,255.9,4.45,1.795,1.76,3.507,14.26,0.239
9/12/2018,12:41:20,23.147,736.9,110.5,9.45,207.2,8.34,256.3,4.45,1.778,1.75,3.407,13.86,0.264
9/12/2018,12:41:25,23.147,736.9,110.4,9.44,207.2,8.33,256.6,4.45,1.769,1.74,3.588,14.59,0.296
9/12/2018,12:41:30,23.142,737,110.4,9.44,207.2,8.33,256.9,4.42,1.793,1.76,3.798,15.45,0.338
9/12/2018,12:41:35,23.134,736.9,110.5,9.45,207.2,8.33,257.2,4.4,1.824,1.79,3.892,15.83,0.379
9/12/2018,12:41:40,23.129,736.9,110.6,9.46,207.1,8.32,257.5,4.42,1.891,1.86,3.925,15.96,0.422
9/12/2018,12:41:45,23.122,736.9,110.6,9.46,207.1,8.32,258,4.45,1.934,1.9,3.998,16.26,0.467
9/12/2018,12:41:50,23.117,736.9,110.6,9.47,207.1,8.31,258.6,4.51,1.993,1.96,4.011,16.31,0.515
9/12/2018,12:41:55,23.112,736.9,110.6,9.47,207.1,8.3,259,4.52,2.034,2,4.004,16.28,0.56
9/12/2018,12:42:00,23.109,736.9,110.6,9.47,207.1,8.3,259.5,4.48,2.051,2.02,3.946,16.05,0.6
9/12/2018,12:42:05,23.108,736.8,110.7,9.47,207,8.29,259.8,4.46,2.056,2.02,3.89,15.82,0.629
9/12/2018,12:42:10,23.111,736.9,110.7,9.47,207,8.29,260,4.41,2.041,2.01,3.814,15.51,0.656
9/12/2018,12:42:15,23.115,736.8,110.7,9.47,207,8.29,260.1,4.46,2.014,1.98,3.883,15.79,0.684
9/12/2018,12:42:20,23.12,737,110.7,9.47,207.1,8.29,260.3,4.43,1.998,1.96,3.938,16.02,0.71
9/12/2018,12:42:25,23.121,736.9,110.7,9.47,207.1,8.29,260.5,4.46,1.982,1.95,3.926,15.97,0.736
9/12/2018,12:42:30,23.12,736.8,110.6,9.46,207.1,8.29,260.7,4.39,2,1.97,3.869,15.73,0.759
9/12/2018,12:42:35,23.115,736.9,110.6,9.46,207.1,8.29,261,4.4,2.008,1.97,3.789,15.41,0.785
9/12/2018,12:42:40,23.107,736.9,110.6,9.46,207.1,8.28,261.3,4.4,2.014,1.98,3.823,15.55,0.814
9/12/2018,12:42:45,23.097,736.9,110.6,9.46,207.1,8.28,261.5,4.5,2.03,2,3.823,15.55,0.846
9/12/2018,12:42:50,23.091,736.9,110.6,9.47,207,8.28,261.7,4.55,2.046,2.01,3.8,15.45,0.879
9/12/2018,12:42:55,23.095,736.9,110.6,9.47,207,8.28,262,4.56,2.063,2.03,3.799,15.45,0.914
9/12/2018,12:43:00,23.101,737,110.7,9.47,207,8.28,262.1,4.51,2.057,2.02,3.801,15.46,0.947
9/12/2018,12:43:05,23.108,736.8,110.8,9.48,207.1,8.28,262.2,4.48,2.052,2.02,3.859,15.69,0.981
9/12/2018,12:43:10,23.104,736.9,110.8,9.48,207,8.28,262.4,4.48,2.047,2.01,3.848,15.65,1.015
9/12/2018,12:43:15,23.096,736.9,110.8,9.48,207,8.28,262.5,4.46,2.039,2.01,3.84,15.62,1.048
9/12/2018,12:43:20,23.086,736.9,110.7,9.48,206.9,8.28,262.7,4.4,2.017,1.98,3.83,15.57,1.079
