sep=,
Unit ID:,1
User ID:,
Site:,93
Log Interval:,2.00

Model, Submodel, S/N, S/W Ver
Handheld,2, 17F105819,1.0.18
5P Sonde,4, 17G100162,1.0.35
CT,1, 17F102078,3.0.5
Turbidity,1, 17F102796,3.0.0
pH/ORP,1, 17E101062,3.0.0
CT,1, 17F102078,3.0.5
ODO,1, 17F104582,3.0.0
Depth,2, 17F104892,3.0.0

Depth,Temp,DO%,DO mg,Cond,pH,ORP,Turb,PC rfu,PC ug,CHL rfu,CHL ug
0,28.3,109,8.6,248,8.01,288,0.57,0.1,0.1,0.2,1,
1,28.2,113,8.8,248,7.95,296,0.64,0.1,0.1,0.3,1,
2,28.2,113,8.8,248,7.92,298,0.63,0.1,0.1,0.4,1.5,
3,28.1,113,8.9,247,7.92,299,0.63,0.2,0.2,0.4,1.9,
5,27.9,113,8.9,246,7.93,300,0.7,0.2,0.2,0.4,1.6,
6,27.8,113,8.9,245,7.94,301,0.7,0.2,0.2,0.3,1.4,
7,27.6,112,8.8,246,7.95,302,0.83,0.3,0.3,0.3,1.3,
7.5,26.1,105,8.5,241,7.92,305,0.85,0.4,0.4,0.5,2.1,
8,25.3,100,8.2,239,7.86,308,0.51,0.5,0.4,0.5,1.9,
8.5,24.9,88,7.3,238,7.67,313,0.15,0.5,0.5,0.3,1.4,
9,24.3,67,5.6,238,7.38,319,0.22,0.5,0.5,0.4,1.5,
9.5,23.7,52,4.4,237,7.22,322,0.17,0.5,0.5,0.3,1.4,
10,22.9,12,0.9,240,6.96,326,0.41,0.3,0.3,0.4,1.6,
12,15.4,2,0.1,238,6.87,301,1.85,0.2,0.2,0.4,1.6,
14,13,0.4,0,221,6.96,265,2.06,0.2,0.2,0.2,1,
15,12.3,0,0,236,6.98,73,,4.4,4.2,,,
