Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
8/10/2018,10:10:56,28.25,740,126.5,9.86,188.5,9.16,181.9,14,3.403,3.44,1.903,7.77,0.026
8/10/2018,10:10:57,28.251,739.9,126.5,9.86,188.5,9.16,181.9,13.99,3.409,3.45,1.905,7.78,0.026
8/10/2018,10:10:58,28.252,739.9,126.5,9.86,188.5,9.16,182,14.05,3.412,3.45,1.919,7.84,0.026
8/10/2018,10:10:59,28.252,739.9,126.5,9.86,188.5,9.16,182.1,14.07,3.405,3.44,1.924,7.86,0.026
8/10/2018,10:11:00,28.253,740,126.5,9.86,188.5,9.16,182.2,14.11,3.392,3.43,1.894,7.73,0.025
8/10/2018,10:11:01,28.253,739.9,126.6,9.86,148.8,9.16,182.2,13.95,3.386,3.42,1.719,7.02,0.025
8/10/2018,10:11:02,28.253,740,126.6,9.86,186.2,9.16,182.3,13.44,3.377,3.41,1.856,7.58,0.025
8/10/2018,10:11:03,28.253,740,126.6,9.86,188.2,9.16,182.4,13.7,3.37,3.41,1.945,7.94,0.025
8/10/2018,10:11:04,28.253,740,126.6,9.86,188.4,9.16,182.5,13.68,3.369,3.41,1.885,7.7,0.026
8/10/2018,10:11:05,28.253,739.9,126.6,9.87,188.4,9.16,182.6,13.7,3.369,3.41,1.911,7.8,0.03
8/10/2018,10:11:06,28.252,740,126.7,9.87,188.4,9.16,182.7,13.67,3.375,3.41,1.973,8.05,0.033
8/10/2018,10:11:07,28.251,740,126.7,9.87,188.4,9.16,182.8,13.73,3.379,3.42,2.03,8.28,0.036
8/10/2018,10:11:08,28.249,740,126.7,9.87,188.4,9.16,182.8,14.1,3.375,3.41,2.054,8.38,0.041
8/10/2018,10:11:09,28.248,740,126.8,9.87,188.4,9.16,182.9,14.13,3.382,3.42,2.103,8.58,0.046
8/10/2018,10:11:10,28.245,740,126.8,9.88,188.5,9.16,183,14.11,3.392,3.43,2.12,8.65,0.052
8/10/2018,10:11:11,28.243,740,126.8,9.88,188.5,9.16,183.1,14.1,3.399,3.44,2.157,8.8,0.057
8/10/2018,10:11:12,28.241,739.9,126.8,9.88,188.5,9.16,183.1,14.14,3.415,3.45,2.172,8.86,0.061
8/10/2018,10:11:13,28.234,739.9,126.9,9.88,188.4,9.16,183.2,14.14,3.446,3.48,2.216,9.04,0.07
8/10/2018,10:11:14,28.229,739.9,126.8,9.88,188.4,9.16,183.3,14.21,3.485,3.53,2.264,9.23,0.076
8/10/2018,10:11:15,28.222,739.9,126.8,9.89,188.4,9.16,183.3,14.1,3.519,3.56,2.315,9.44,0.085
8/10/2018,10:11:16,28.214,739.9,126.8,9.88,188.4,9.16,183.4,14.11,3.54,3.58,2.359,9.61,0.089
8/10/2018,10:11:17,28.202,739.9,126.8,9.88,188.4,9.16,183.4,14.06,3.571,3.61,2.425,9.89,0.099
8/10/2018,10:11:18,28.187,740,126.8,9.89,188.4,9.16,183.5,14.12,3.628,3.67,2.493,10.16,0.111
8/10/2018,10:11:19,28.176,740,126.8,9.89,188.4,9.16,183.6,14.12,3.684,3.73,2.546,10.38,0.118
8/10/2018,10:11:20,28.167,740,126.7,9.88,188.3,9.16,183.6,14.21,3.722,3.77,2.588,10.54,0.127
8/10/2018,10:11:21,28.16,740,126.7,9.88,188.3,9.16,183.7,14.31,3.752,3.8,2.634,10.73,0.137
8/10/2018,10:11:22,28.15,740,126.6,9.88,188.3,9.16,183.7,14.36,3.808,3.86,2.687,10.94,0.145
8/10/2018,10:11:23,28.135,740,126.5,9.88,188.3,9.16,183.8,14.28,3.867,3.92,2.726,11.1,0.161
8/10/2018,10:11:24,28.125,740,126.5,9.87,188.3,9.16,183.8,14.45,3.912,3.96,2.73,11.12,0.17
8/10/2018,10:11:25,28.115,739.9,126.4,9.87,188.2,9.16,183.8,14.48,3.952,4,2.761,11.24,0.181
8/10/2018,10:11:26,28.11,740,126.4,9.87,188.2,9.16,183.9,14.5,3.976,4.03,2.765,11.26,0.19
8/10/2018,10:11:27,28.101,740,126.3,9.86,188.2,9.16,183.9,14.47,4.032,4.09,2.778,11.31,0.206
8/10/2018,10:11:28,28.097,739.9,126.2,9.86,188.2,9.15,183.9,14.44,4.061,4.12,2.777,11.31,0.217
8/10/2018,10:11:29,28.092,740,126.2,9.86,188.2,9.15,184,14.43,4.09,4.15,2.778,11.31,0.229
8/10/2018,10:11:30,28.09,740,126.1,9.85,188.2,9.15,184,14.5,4.103,4.16,2.794,11.38,0.239
8/10/2018,10:11:31,28.088,740,126,9.84,188.1,9.15,184,14.53,4.128,4.18,2.809,11.44,0.257
8/10/2018,10:11:32,28.084,739.8,125.9,9.84,188.1,9.15,184.1,14.5,4.135,4.19,2.788,11.35,0.27
8/10/2018,10:11:33,28.08,740,125.8,9.83,188.1,9.15,184.1,14.48,4.145,4.2,2.775,11.3,0.283
8/10/2018,10:11:34,28.076,739.9,125.8,9.83,188.1,9.15,184.2,14.5,4.154,4.21,2.772,11.29,0.293
8/10/2018,10:11:35,28.072,739.9,125.7,9.82,188.1,9.15,184.2,14.39,4.175,4.23,2.81,11.44,0.311
8/10/2018,10:11:36,28.068,740,125.6,9.82,188.1,9.15,184.2,14.36,4.183,4.24,2.785,11.34,0.325
8/10/2018,10:11:37,28.065,740,125.5,9.81,188.1,9.15,184.3,14.29,4.184,4.24,2.79,11.36,0.338
8/10/2018,10:11:38,28.061,740,125.4,9.8,188.1,9.15,184.3,14.25,4.184,4.24,2.79,11.36,0.352
8/10/2018,10:11:39,28.059,739.9,125.4,9.8,188,9.15,184.4,14.25,4.19,4.25,2.804,11.42,0.363
8/10/2018,10:11:40,28.053,739.9,125.2,9.79,188,9.15,184.4,14.27,4.198,4.26,2.813,11.45,0.383
8/10/2018,10:11:41,28.05,740,125.1,9.78,188,9.15,184.5,14.24,4.202,4.26,2.809,11.44,0.397
8/10/2018,10:11:42,28.047,740,125,9.78,188,9.14,184.5,14.25,4.204,4.26,2.801,11.41,0.409
8/10/2018,10:11:43,28.045,739.9,125,9.77,188,9.14,184.5,14.24,4.208,4.27,2.81,11.44,0.424
8/10/2018,10:11:44,28.044,740,124.9,9.76,188,9.14,184.6,14.23,4.202,4.26,2.813,11.45,0.434
8/10/2018,10:11:45,28.041,740,124.7,9.75,188,9.14,184.6,14.19,4.208,4.27,2.806,11.43,0.448
8/10/2018,10:11:46,28.038,740,124.6,9.75,188,9.14,184.7,14.21,4.214,4.27,2.8,11.4,0.459
8/10/2018,10:11:47,28.035,740,124.5,9.74,187.9,9.14,184.7,14.24,4.219,4.28,2.794,11.38,0.473
8/10/2018,10:11:48,28.033,740,124.4,9.73,187.9,9.14,184.7,14.24,4.21,4.27,2.801,11.41,0.48
8/10/2018,10:11:49,28.03,739.9,124.3,9.72,187.9,9.14,184.8,14.15,4.206,4.26,2.809,11.44,0.496
8/10/2018,10:11:50,28.026,740,124.2,9.71,187.9,9.14,184.8,14.12,4.208,4.27,2.783,11.33,0.511
8/10/2018,10:11:51,28.023,740,124.1,9.7,187.9,9.14,184.9,14.13,4.208,4.27,2.783,11.33,0.525
8/10/2018,10:11:52,28.021,739.9,123.9,9.69,187.9,9.14,184.9,14.14,4.206,4.26,2.779,11.32,0.536
8/10/2018,10:11:53,28.019,740,123.9,9.69,187.9,9.14,184.9,14.12,4.212,4.27,2.772,11.29,0.545
8/10/2018,10:11:54,28.016,739.9,123.7,9.67,187.9,9.13,185,14.09,4.213,4.27,2.744,11.17,0.559
8/10/2018,10:11:55,28.013,739.9,123.6,9.67,187.9,9.13,185,14.07,4.204,4.26,2.749,11.19,0.571
8/10/2018,10:11:56,28.01,740,123.4,9.66,187.9,9.13,185.1,14.09,4.209,4.27,2.731,11.12,0.584
8/10/2018,10:11:57,28.007,739.9,123.4,9.65,187.9,9.13,185.1,14.11,4.213,4.27,2.712,11.05,0.594
8/10/2018,10:11:58,28.003,740,123.2,9.64,187.9,9.13,185.2,14.16,4.214,4.27,2.699,10.99,0.608
8/10/2018,10:11:59,28,740,123.1,9.63,187.9,9.13,185.3,14.27,4.209,4.27,2.698,10.99,0.624
8/10/2018,10:12:00,27.996,739.9,122.9,9.62,187.8,9.13,185.4,14.33,4.205,4.26,2.697,10.98,0.638
8/10/2018,10:12:01,27.993,740,122.8,9.61,187.8,9.13,185.4,14.44,4.215,4.27,2.707,11.02,0.653
8/10/2018,10:12:02,27.991,740,122.7,9.6,187.8,9.12,185.5,14.45,4.217,4.28,2.706,11.02,0.666
8/10/2018,10:12:03,27.989,739.9,122.5,9.59,187.8,9.12,185.6,14.75,4.217,4.28,2.69,10.96,0.681
8/10/2018,10:12:04,27.986,740,122.3,9.57,187.8,9.12,185.6,17.82,4.21,4.27,2.685,10.94,0.698
8/10/2018,10:12:05,27.983,740,122.2,9.56,187.8,9.12,185.7,13.63,4.194,4.25,2.69,10.96,0.714
8/10/2018,10:12:06,27.981,739.9,122,9.55,187.8,9.12,185.7,13.84,4.186,4.24,2.682,10.92,0.726
8/10/2018,10:12:07,27.977,739.9,121.9,9.54,187.8,9.12,185.8,13.66,4.18,4.24,2.707,11.03,0.744
8/10/2018,10:12:08,27.973,740,121.6,9.52,187.8,9.11,185.9,13.79,4.174,4.23,2.728,11.11,0.761
8/10/2018,10:12:09,27.97,739.9,121.4,9.51,187.8,9.11,186,14.26,4.168,4.22,2.727,11.1,0.776
8/10/2018,10:12:10,27.966,740,121.3,9.5,187.8,9.11,186,14.22,4.162,4.22,2.718,11.07,0.788
8/10/2018,10:12:11,27.961,740,121.1,9.48,187.8,9.11,186.1,14.45,4.154,4.21,2.714,11.05,0.806
8/10/2018,10:12:12,27.956,740,120.9,9.47,187.8,9.11,186.2,14.52,4.136,4.19,2.725,11.1,0.825
8/10/2018,10:12:13,27.953,740,120.7,9.45,187.8,9.1,186.3,14.56,4.127,4.18,2.689,10.95,0.841
8/10/2018,10:12:14,27.949,739.9,120.5,9.44,187.8,9.1,186.3,14.66,4.118,4.17,2.668,10.87,0.857
8/10/2018,10:12:15,27.946,739.8,120.4,9.43,187.8,9.1,186.4,18.34,4.112,4.17,2.656,10.82,0.869
8/10/2018,10:12:16,27.94,740,120.1,9.41,187.8,9.1,186.5,14.06,4.104,4.16,2.623,10.69,0.891
8/10/2018,10:12:17,27.936,740,120,9.4,187.8,9.1,186.5,14.27,4.089,4.14,2.598,10.58,0.906
8/10/2018,10:12:18,27.931,740,119.8,9.38,187.7,9.1,186.6,13.68,4.085,4.14,2.575,10.49,0.922
8/10/2018,10:12:19,27.925,740,119.6,9.37,187.7,9.09,186.7,15.57,4.076,4.13,2.53,10.31,0.938
8/10/2018,10:12:20,27.92,739.8,119.4,9.35,187.7,9.09,186.7,15.81,4.063,4.12,2.514,10.24,0.954
8/10/2018,10:12:21,27.914,740,119.2,9.34,187.7,9.09,186.8,14.94,4.049,4.1,2.487,10.14,0.973
8/10/2018,10:12:22,27.908,740,119,9.33,187.7,9.09,186.9,14.64,4.039,4.09,2.454,10,0.99
8/10/2018,10:12:23,27.901,740,118.8,9.31,187.7,9.09,186.9,14.82,4.036,4.09,1.859,7.59,1.006
8/10/2018,10:12:24,27.892,740,118.6,9.3,187.6,9.08,187,14.7,4.024,4.08,1.903,7.77,1.021
8/10/2018,10:12:25,27.882,740,118.4,9.28,187.6,9.08,187.1,14.65,4.017,4.07,2.165,8.83,1.038
8/10/2018,10:12:26,27.87,739.9,118.1,9.26,187.6,9.08,187.1,14.78,4.009,4.06,2.409,9.82,1.053
