Unit ID:,1,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,149,,,,,,,,,,,,,
Log Interval:,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.55,,,,,,,,,,,
ODO,1, 18D104460,3.0.0,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,
TAL-PC,1, 18E100678,3.0.0,,,,,,,,,,,
pH/ORP,1, 17E101062,3.0.0,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
9/7/2018,41:20.3,25.81,742.4,72.5,5.9,187.3,8.29,-62.9,7.44,3.458,3.46,12.895,51.58,0.353
9/7/2018,41:20.5,25.811,742.4,72.7,5.92,187.3,8.29,-60.5,7.43,3.425,3.43,12.852,51.41,0.376
9/7/2018,41:20.7,25.812,742.4,73,5.94,187.3,8.29,-59.4,7.43,3.422,3.42,12.225,48.9,0.386
9/7/2018,41:21.0,25.813,742.4,73.2,5.95,187.3,8.29,-58.1,7.43,3.424,3.42,11.843,47.37,0.407
9/7/2018,41:21.3,25.814,742.4,73.4,5.97,187.3,8.29,-56.9,7.5,3.38,3.38,12.148,48.59,0.407
9/7/2018,41:21.5,25.815,742.4,73.6,5.99,187.3,8.29,-54.5,7.51,3.265,3.27,11.874,47.5,0.426
9/7/2018,41:21.7,25.816,742.4,73.7,6,187.3,8.29,-53.4,7.49,3.217,3.22,12.729,50.92,0.445
9/7/2018,41:22.0,25.821,742.4,73.9,6.01,187.3,8.29,-53.4,7.49,3.173,3.17,11.812,47.25,0.454
9/7/2018,41:22.3,25.827,742.4,74,6.02,187.4,8.29,-53.4,7.5,3.162,3.16,12,48,0.463
9/7/2018,41:22.5,25.831,742.4,74.1,6.03,187.4,8.29,-52.7,7.52,3.146,3.15,11.933,47.73,0.482
9/7/2018,41:22.8,25.831,742.4,74.1,6.03,187.4,8.29,-52.7,7.52,3.146,3.15,11.933,47.73,0.482
9/7/2018,41:23.0,25.839,742.4,74.5,6.06,187.4,8.29,-51.5,7.5,3.167,3.17,11.933,47.73,1.254
9/7/2018,41:23.2,25.839,742.4,74.5,6.06,187.4,8.29,-51.5,7.5,3.167,3.17,11.933,47.73,1.254
9/7/2018,41:23.5,25.842,742.4,74.8,6.08,187.4,8.29,-49.6,7.51,3.277,3.28,11.933,47.73,1.279
9/7/2018,41:23.8,25.842,742.4,74.8,6.08,187.4,8.29,-49.6,7.51,3.277,3.28,11.933,47.73,1.279
9/7/2018,41:24.0,25.844,742.4,75.1,6.1,187.4,8.29,-41.6,7.5,3.349,3.35,12.076,48.31,1.296
9/7/2018,41:24.3,25.844,742.4,75.1,6.1,187.4,8.29,-41.6,7.5,3.349,3.35,12.076,48.31,1.296
9/7/2018,41:24.5,25.846,742.4,75.3,6.12,187.4,8.3,-38.5,7.49,3.444,3.44,12.08,48.32,1.344
9/7/2018,41:24.8,25.846,742.4,75.3,6.12,187.4,8.3,-38.5,7.49,3.444,3.44,12.08,48.32,1.344
9/7/2018,41:25.0,25.847,742.4,75.5,6.14,187.4,8.3,-36.7,7.49,3.469,3.47,11.729,46.92,1.408
9/7/2018,41:25.3,25.847,742.4,75.5,6.14,187.4,8.3,-36.7,7.49,3.469,3.47,11.729,46.92,1.408
9/7/2018,41:25.5,25.848,742.4,75.8,6.16,187.4,8.3,-33.8,7.49,3.495,3.49,11.877,47.51,1.466
9/7/2018,41:25.8,25.849,742.4,75.9,6.17,187.4,8.3,-32.9,7.47,3.498,3.5,11.919,47.68,1.483
9/7/2018,41:26.0,25.849,742.4,75.9,6.18,187.4,8.3,-32,7.48,3.508,3.51,12.189,48.76,1.483
9/7/2018,41:26.3,25.849,742.4,75.9,6.18,187.4,8.3,-32,7.48,3.508,3.51,12.189,48.76,1.483
9/7/2018,41:26.5,25.85,742.4,79.2,6.44,187.4,8.3,-29.3,7.52,3.536,3.54,13.203,52.81,1.487
9/7/2018,41:26.7,25.851,742.4,79.4,6.46,187.4,8.3,-28.5,7.51,3.542,3.54,15.008,60.03,1.508
9/7/2018,41:27.0,25.851,742.3,79.6,6.47,187.4,8.3,-27.6,7.5,3.542,3.54,14.818,59.27,1.516
9/7/2018,41:27.3,25.851,742.3,79.6,6.47,187.4,8.3,-27.6,7.5,3.542,3.54,14.818,59.27,1.516
9/7/2018,41:27.5,25.852,742.3,79.9,6.5,187.4,8.3,-27.4,7.5,3.562,3.56,14.818,59.27,1.526
9/7/2018,41:27.8,25.853,742.3,80,6.51,187.4,8.3,-27.1,7.47,3.566,3.57,14.818,59.27,1.558
9/7/2018,41:28.0,25.853,742.4,80.2,6.52,187.4,8.3,-26.7,7.47,3.566,3.57,13.253,53.01,1.568
9/7/2018,41:28.3,25.853,742.4,80.2,6.52,187.4,8.3,-26.7,7.47,3.566,3.57,13.253,53.01,1.568
9/7/2018,41:28.5,25.854,742.4,80.5,6.55,187.4,8.3,-25.2,7.46,3.561,3.56,12.792,51.17,1.589
9/7/2018,41:28.7,25.854,742.4,80.6,6.55,187.4,8.3,-24.7,7.47,3.556,3.56,12.789,51.16,1.611
9/7/2018,41:29.0,25.854,742.4,80.7,6.56,187.4,8.3,-24.2,7.47,3.55,3.55,12.78,51.12,1.633
9/7/2018,41:29.2,25.854,742.4,80.7,6.56,187.4,8.3,-24.2,7.47,3.55,3.55,12.78,51.12,1.633
9/7/2018,41:29.5,25.855,742.4,80.7,6.57,187.4,8.3,-22.8,7.47,3.527,3.53,11.963,47.85,1.644
9/7/2018,41:29.8,25.855,742.4,80.7,6.57,187.4,8.3,-22.8,7.47,3.527,3.53,11.963,47.85,1.644
9/7/2018,41:30.0,25.854,742.4,80.8,6.57,187.4,8.31,-15.8,7.47,3.513,3.51,11.319,45.27,1.688
9/7/2018,41:30.3,25.854,742.4,80.9,6.58,187.4,8.31,-14.3,7.47,3.505,3.5,11.541,46.17,1.699
9/7/2018,41:30.5,25.853,742.4,80.9,6.58,187.4,8.31,-13.6,7.47,3.495,3.5,11.542,46.17,1.71
9/7/2018,41:30.8,25.853,742.4,80.9,6.58,187.4,8.31,-13.6,7.47,3.495,3.5,11.542,46.17,1.71
9/7/2018,41:31.0,25.853,742.4,81,6.59,187.5,8.31,-11.8,7.44,3.472,3.47,11.949,47.8,1.744
9/7/2018,41:31.2,25.852,742.4,81.1,6.59,187.5,8.31,-11.2,7.43,3.462,3.46,11.759,47.04,1.755
9/7/2018,41:31.5,25.852,742.4,81.1,6.59,187.5,8.31,-10.5,7.42,3.458,3.46,11.698,46.79,1.776
9/7/2018,41:31.8,25.851,742.4,81.1,6.6,187.5,8.31,-9.8,7.41,3.445,3.44,12.265,49.06,1.785
9/7/2018,41:32.0,25.85,742.3,81.1,6.6,187.5,8.31,-8.5,7.39,3.434,3.43,10.875,43.5,1.793
9/7/2018,41:32.3,25.85,742.3,81.2,6.6,187.5,8.31,-7.9,7.4,3.426,3.43,10.399,41.6,1.809
9/7/2018,41:32.5,25.849,742.3,81.2,6.6,187.6,8.31,-7.3,7.4,3.422,3.42,10.399,41.6,1.816
9/7/2018,41:32.7,25.849,742.3,81.2,6.61,187.6,8.31,-6.7,7.4,3.409,3.41,10.399,41.6,1.823
9/7/2018,41:33.0,25.849,742.4,81.2,6.61,187.6,8.31,-6.7,7.39,3.404,3.4,10.399,41.6,1.83
9/7/2018,41:33.3,25.849,742.4,81.2,6.61,187.6,8.31,-6.7,7.39,3.404,3.4,10.399,41.6,1.83
9/7/2018,41:33.5,25.847,742.4,81.3,6.61,187.6,8.31,-6.3,7.39,3.386,3.39,11.071,44.28,1.853
9/7/2018,41:33.8,25.847,742.4,81.3,6.61,187.6,8.31,-6,7.39,3.37,3.37,11.081,44.32,1.861
9/7/2018,41:34.0,25.846,742.4,81.3,6.61,187.6,8.31,-5.3,7.38,3.362,3.36,11.213,44.85,1.877
9/7/2018,41:34.3,25.846,742.4,81.3,6.61,187.6,8.31,-5.3,7.38,3.362,3.36,11.213,44.85,1.877
9/7/2018,41:34.5,25.845,742.4,81.4,6.62,187.7,8.31,-4.5,7.38,3.354,3.35,11.401,45.61,1.894
9/7/2018,41:34.8,25.845,742.5,81.4,6.62,187.7,8.31,-4.2,7.38,3.348,3.35,11.478,45.91,1.911
9/7/2018,41:35.0,25.844,742.5,81.4,6.62,187.7,8.31,-3.5,7.37,3.344,3.34,11.552,46.21,1.911
9/7/2018,41:35.3,25.844,742.5,81.4,6.62,187.7,8.31,-3.2,7.37,3.337,3.34,9.217,36.87,1.929
9/7/2018,41:35.5,25.843,742.5,81.5,6.63,187.7,8.31,-2.8,7.35,3.332,3.33,9.059,36.24,1.948
9/7/2018,41:35.8,25.843,742.5,81.5,6.63,187.7,8.31,-2.8,7.35,3.332,3.33,9.059,36.24,1.948
9/7/2018,41:36.0,25.841,742.4,81.5,6.63,187.7,8.31,-1.9,7.3,3.305,3.3,11.715,46.86,1.957
9/7/2018,41:36.2,25.841,742.4,81.5,6.63,187.7,8.31,-1.9,7.3,3.305,3.3,11.715,46.86,1.957
9/7/2018,41:36.5,25.839,742.4,81.5,6.63,187.7,8.31,-1.3,7.3,3.288,3.29,10.187,40.75,1.992
9/7/2018,41:36.8,25.838,742.4,81.5,6.63,187.8,8.31,4.9,7.3,3.273,3.27,11.644,46.58,2
9/7/2018,41:37.0,25.837,742.4,81.5,6.63,187.8,8.31,5.4,7.29,3.267,3.27,10.302,41.21,2.008
9/7/2018,41:37.3,25.837,742.4,81.5,6.63,187.8,8.31,5.4,7.29,3.267,3.27,10.302,41.21,2.008
9/7/2018,41:37.5,25.835,742.4,81.6,6.64,187.8,8.31,7,7.28,3.247,3.25,11.151,44.6,2.031
9/7/2018,41:37.8,25.834,742.4,81.6,6.64,187.8,8.31,8.5,7.27,3.228,3.23,9.407,37.63,2.031
9/7/2018,41:38.0,25.832,742.4,81.6,6.64,187.8,8.31,6,7.25,3.215,3.21,4.645,18.58,2.039
9/7/2018,41:38.2,25.832,742.4,81.6,6.64,187.8,8.31,6,7.25,3.215,3.21,4.645,18.58,2.039
9/7/2018,41:38.5,25.805,742.4,81.6,6.64,188,8.31,-1.4,7.2,3.188,3.19,5.36,21.44,2.072
