Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
11/2/2018,11:36:27,12.195,737.3,93.7,10.05,135.7,8.05,318.7,4.91,0.959,0.95,0.939,3.52,0.422
11/2/2018,11:36:28,12.202,737.2,93.6,10.03,135.7,8.06,318.4,5.19,0.99,0.98,1.067,4.02,0.423
11/2/2018,11:36:29,12.212,737.2,93.4,10.01,135.7,8.06,318,5.43,1.021,1.01,1.209,4.57,0.426
11/2/2018,11:36:30,12.22,737.1,93.2,9.99,135.8,8.06,317.7,5.63,1.057,1.05,1.352,5.12,0.434
11/2/2018,11:36:31,12.224,737.2,93.1,9.97,135.8,8.06,317.4,5.86,1.093,1.09,1.486,5.64,0.441
11/2/2018,11:36:32,12.229,737.2,92.9,9.95,135.8,8.06,317,6.07,1.132,1.13,1.593,6.06,0.452
11/2/2018,11:36:33,12.233,737.2,92.7,9.94,135.9,8.06,316.7,6.28,1.169,1.16,1.664,6.34,0.468
11/2/2018,11:36:34,12.236,737.2,92.6,9.92,135.9,8.06,316.4,6.54,1.216,1.21,1.651,6.28,1.252
11/2/2018,11:36:35,12.239,737.2,92.4,9.9,135.9,8.06,316.1,6.79,1.26,1.25,1.652,6.29,1.476
11/2/2018,11:36:36,12.241,737.2,92.3,9.89,135.9,8.06,315.9,7.03,1.296,1.29,1.635,6.22,1.594
11/2/2018,11:36:37,12.242,737.2,92.1,9.87,135.9,8.06,315.6,7,1.341,1.33,1.619,6.16,1.592
11/2/2018,11:36:38,12.243,737.2,92,9.86,136,8.06,315.3,6.99,1.386,1.38,1.628,6.19,1.621
11/2/2018,11:36:39,12.245,737.3,91.8,9.83,136,8.06,315,7.01,1.418,1.41,1.622,6.17,1.658
11/2/2018,11:36:40,12.249,737.3,91.5,9.8,136,8.06,314.7,6.99,1.447,1.44,1.621,6.17,1.664
11/2/2018,11:36:41,12.252,737.2,91.2,9.77,136,8.06,314.4,7,1.458,1.45,1.59,6.05,1.675
11/2/2018,11:36:42,12.254,737.2,91,9.74,136,8.06,314.2,6.97,1.456,1.45,1.566,5.95,1.708
11/2/2018,11:36:43,12.255,737.2,90.8,9.72,136,8.06,313.9,6.94,1.461,1.45,1.578,6,1.738
11/2/2018,11:36:44,12.257,737.2,90.5,9.7,136,8.06,313.4,6.9,1.462,1.46,1.545,5.87,1.758
11/2/2018,11:36:45,12.259,737.2,90.3,9.67,136.1,8.06,313.5,6.91,1.449,1.44,1.558,5.92,1.778
11/2/2018,11:36:46,12.26,737.1,90.1,9.64,136.1,8.06,313.5,6.92,1.453,1.45,1.547,5.88,1.796
11/2/2018,11:36:47,12.261,737.3,89.9,9.63,136.1,8.05,313.6,6.84,1.454,1.45,1.524,5.79,1.843
11/2/2018,11:36:48,12.262,737.1,89.7,9.61,136.1,8.05,313.6,6.84,1.461,1.45,1.495,5.68,1.876
11/2/2018,11:36:49,12.263,737.2,89.5,9.59,136.1,8.05,313.7,6.89,1.45,1.44,1.486,5.64,1.904
11/2/2018,11:36:50,12.265,737.2,89.3,9.57,136.1,8.04,313.8,6.85,1.458,1.45,1.496,5.68,1.933
11/2/2018,11:36:51,12.266,737.1,89.2,9.55,136.1,8.04,313.8,6.91,1.456,1.45,1.506,5.72,1.954
11/2/2018,11:36:52,12.267,737.3,89.1,9.54,136.1,8.04,313.9,6.93,1.454,1.45,1.54,5.85,1.975
11/2/2018,11:36:53,12.27,737.3,88.9,9.52,136.1,8.04,313.9,6.91,1.45,1.44,1.569,5.97,1.995
11/2/2018,11:36:54,12.271,737.2,88.8,9.5,136.2,8.03,313.9,6.91,1.438,1.43,1.552,5.9,2.025
11/2/2018,11:36:55,12.273,737.1,88.6,9.49,136.2,8.03,314,6.89,1.43,1.42,1.549,5.89,2.848
11/2/2018,11:36:56,12.275,737.2,88.5,9.48,136.2,8.03,314,6.86,1.426,1.42,1.539,5.85,2.973
