MULakeNumber,date,dateTime,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
003,2021-06-07,2021-06-07 10:29:12,0.06666666666666667,24.939666666666668,8.12,98.23333333333332,0.2833333333333333,-0.03,0.11333333333333334,0.09,199.43333333333337,130,171.83333333333334,7.81,39.34174,-91.15304,242.03333333333333,988.5333333333332
003,2021-06-07,2021-06-07 10:29:15,0.198,24.935666666666663,8.12,98.23333333333332,0.3,-0.03666666666666667,0.05,0.09,199.4,130,171.63333333333333,7.85,39.34174,-91.15304,242.2,988.5333333333332
003,2021-06-07,2021-06-07 10:29:18,0.348,24.933666666666667,8.126666666666667,98.3,0.3466666666666667,-0.01,0.09,0.09,199.33333333333337,130,171.7,7.88,39.34174,-91.15303666666668,242.36666666666667,988.5333333333332
003,2021-06-07,2021-06-07 10:29:21,0.5386666666666666,24.920666666666666,8.123333333333333,98.23333333333332,0.41666666666666663,-0.05333333333333333,NA,0.09,199.36666666666667,130,171.73333333333332,7.9,39.34174,-91.15303,242.53333333333333,988.5333333333332
003,2021-06-07,2021-06-07 10:29:24,0.68,24.91433333333333,8.123333333333333,98.2,0.43,-0.02,0.03666666666666667,0.09,199.36666666666667,130,171.76666666666668,7.923333333333333,39.34175,-91.15303,242.73333333333332,988.5333333333332
003,2021-06-07,2021-06-07 10:29:27,0.825,24.910666666666668,8.12,98.2,0.45,-0.02,0.09333333333333334,0.09,199.4,130,171.8,7.943333333333333,39.34175,-91.15302666666666,242.8,988.5
003,2021-06-07,2021-06-07 10:29:30,1.0043333333333333,24.909,8.13,98.2,0.43333333333333335,0.00333333333333333,0.09,0.09,199.4,130,171.76666666666668,7.956666666666667,39.34175,-91.15302666666666,242.73333333333332,988.5
003,2021-06-07,2021-06-07 10:29:33,1.117,24.908,8.126666666666667,98.2,0.46,-0.01,0.02,0.09,199.33333333333337,130,171.7,7.97,39.34175,-91.15303,242.73333333333332,988.5333333333332
003,2021-06-07,2021-06-07 10:29:36,1.1596666666666666,24.907666666666668,8.123333333333333,98.2,0.44333333333333336,-0.01666666666666666,0.03,0.09,199.33333333333337,130,171.63333333333333,7.983333333333333,39.34175,-91.15303,242.7,988.5333333333332
003,2021-06-07,2021-06-07 10:29:39,1.3206666666666669,24.902333333333335,8.12,98.2,0.44666666666666666,0.00666666666666666,0.10666666666666667,0.09,199.26666666666668,129.66666666666666,171.9,7.996666666666667,39.34175,-91.15303,242.8,988.5333333333332
