MULakeNumber,date,dateTime,depth_m,chlorophyll_RFU,turbidity_FNU,specificConductivity_uSpcm,doConcentration_mgpL,doSaturation_percent,temp_degC,barometerAirHandheld_mbars
003,2017-06-07,2017-06-07T12:10:38Z,0,NA,NA,178.2,9.8,117.9,24.643,990.4
003,2017-06-07,2017-06-07T12:10:57Z,0.05,NA,NA,178,9.86,118.7,24.694000000000003,990.2666666666668
003,2017-06-07,2017-06-07T12:11:00Z,0.1,NA,NA,178.06666666666666,9.863333333333332,118.76666666666668,24.696,990.2666666666668
003,2017-06-07,2017-06-07T12:11:03Z,0.2,NA,NA,178.1,9.87,118.8,24.695,990.3111111111112
003,2017-06-07,2017-06-07T12:11:09Z,0.23333333333333336,NA,NA,178.1,9.87,118.8,24.685,990.2666666666668
003,2017-06-07,2017-06-07T12:11:12Z,0.3,NA,NA,178.16666666666666,9.87,118.8,24.677,990.2666666666668
003,2017-06-07,2017-06-07T12:11:15Z,0.4,NA,NA,178.1,9.88,118.9,24.667666666666666,990.2666666666668
003,2017-06-07,2017-06-07T12:11:18Z,0.43333333333333335,NA,NA,178.1,9.883333333333336,118.9,24.659333333333333,990.3111111111112
003,2017-06-07,2017-06-07T12:11:21Z,0.6,NA,NA,178.1,9.89,118.9,24.639333333333333,990.2666666666668
003,2017-06-07,2017-06-07T12:11:24Z,0.6666666666666666,NA,NA,178.1,9.893333333333334,118.9,24.592333333333332,990.2666666666668
003,2017-06-07,2017-06-07T12:11:27Z,0.7666666666666667,NA,NA,178.1,9.9,118.8,24.519666666666662,990.3111111111112
003,2017-06-07,2017-06-07T12:11:30Z,0.8,NA,NA,178.16666666666666,9.893333333333334,118.5,24.417333333333332,990.3111111111112
003,2017-06-07,2017-06-07T12:11:33Z,0.8666666666666667,NA,NA,178.2,9.883333333333336,118.16666666666669,24.310333333333332,990.2666666666668
003,2017-06-07,2017-06-07T12:11:36Z,0.9,NA,NA,178.2,9.866666666666664,117.8,24.217,990.4
003,2017-06-07,2017-06-07T12:11:39Z,0.9333333333333332,NA,NA,178.2,9.843333333333334,117.3,24.134,990.3111111111112
003,2017-06-07,2017-06-07T12:11:42Z,1,NA,NA,178.2,9.8,116.66666666666669,24.067333333333337,990.3555555555556
