MULakeNumber,date,dateTime,depth_m,chlorophyll_RFU,turbidity_FNU,specificConductivity_uSpcm,doConcentration_mgpL,doSaturation_percent,temp_degC,barometerAirHandheld_mbars
094,2018-07-10,2018-07-10T10:13:08Z,0.123,NA,6.93,200.1,10,135,31.174,986.4
094,2018-07-10,2018-07-10T10:13:12Z,0.164,NA,6.98,200.6,9.55,128.7,31.047,986.2666666666668
094,2018-07-10,2018-07-10T10:13:14Z,0.189,NA,7.01,201,9.33,125.6,30.967,986.2666666666668
094,2018-07-10,2018-07-10T10:13:16Z,0.215,NA,7.1,201.4,9.22,124,30.874,986.2666666666668
094,2018-07-10,2018-07-10T10:13:18Z,0.244,NA,7.22,201.7,9.11,122.3,30.788,986.2666666666668
094,2018-07-10,2018-07-10T10:13:20Z,0.273,NA,7.33,201.9,9.03,121,30.724,986.4
094,2018-07-10,2018-07-10T10:13:22Z,0.297,NA,7.44,202.2,8.96,120,30.671,986.4
094,2018-07-10,2018-07-10T10:13:24Z,0.327,NA,7.51,202.4,8.58,114.8,30.63,986.2666666666668
094,2018-07-10,2018-07-10T10:13:26Z,0.359,NA,7.63,202.5,8.45,113,30.585,986.4
094,2018-07-10,2018-07-10T10:13:28Z,0.387,NA,7.79,202.7,8.38,111.9,30.525,986.2666666666668
094,2018-07-10,2018-07-10T10:13:30Z,0.426,NA,7.86,202.8,8.31,110.9,30.479,986.2666666666668
094,2018-07-10,2018-07-10T10:13:32Z,0.456,NA,7.83,203,8.26,110.1,30.419,986.2666666666668
094,2018-07-10,2018-07-10T10:13:34Z,0.497,NA,7.91,203.2,8.22,109.5,30.353,986.2666666666668
094,2018-07-10,2018-07-10T10:13:36Z,0.536,NA,8.01,203.4,8.19,109,30.304,986.2666666666668
094,2018-07-10,2018-07-10T10:13:38Z,0.571,NA,8.05,203.5,8.16,108.5,30.261,986.2666666666668
094,2018-07-10,2018-07-10T10:13:40Z,0.605,NA,8.09,203.6,7.71,102.4,30.231,986.2666666666668
094,2018-07-10,2018-07-10T10:13:42Z,0.643,NA,8.02,203.7,7.43,98.7,30.183,986.2666666666668
094,2018-07-10,2018-07-10T10:13:44Z,0.675,NA,8.04,203.9,7.22,95.8,30.138,986.4
094,2018-07-10,2018-07-10T10:13:46Z,0.71,NA,8.07,204,6.8,90.1,30.102,986.4
094,2018-07-10,2018-07-10T10:13:48Z,0.745,NA,8.07,204.2,6.66,88.2,30.058,986.2666666666668
094,2018-07-10,2018-07-10T10:13:50Z,0.774,NA,8.08,204.4,6.56,86.9,30.015,986.4
094,2018-07-10,2018-07-10T10:13:52Z,0.799,NA,8.04,204.5,6.5,86,29.989,986.4
094,2018-07-10,2018-07-10T10:13:54Z,0.828,NA,8.09,204.7,6.45,85.3,29.967,986.2666666666668
094,2018-07-10,2018-07-10T10:13:56Z,0.857,NA,8.12,204.8,6.42,84.8,29.954,986.2666666666668
094,2018-07-10,2018-07-10T10:13:58Z,0.884,NA,8.21,205,6.14,81.2,29.936,986.2666666666668
094,2018-07-10,2018-07-10T10:14:00Z,0.922,NA,8.2,205.1,6.04,79.9,29.915,986.4
