MULakeNumber,date,dateTime,depth_m,chlorophyll_RFU,turbidity_FNU,specificConductivity_uSpcm,doConcentration_mgpL,doSaturation_percent,temp_degC,barometerAirHandheld_mbars
094,2018-07-10,2018-07-10T10:14:02Z,0.959,NA,8.18,205.2,6,79.2,29.897,986.2666666666668
094,2018-07-10,2018-07-10T10:14:04Z,0.993,NA,8.12,205.4,5.96,78.7,29.878,986.2666666666668
094,2018-07-10,2018-07-10T10:14:06Z,1.03,NA,8.11,205.5,5.91,78.1,29.863,986.2666666666668
094,2018-07-10,2018-07-10T10:14:08Z,1.06,NA,8.03,205.6,5.87,77.5,29.852,986.2666666666668
094,2018-07-10,2018-07-10T10:14:10Z,1.094,NA,8.05,205.7,5.55,73.2,29.843,986.2666666666668
094,2018-07-10,2018-07-10T10:14:12Z,1.134,NA,8.03,205.8,5.45,71.9,29.833,986.2666666666668
094,2018-07-10,2018-07-10T10:14:14Z,1.171,NA,8.06,205.8,5.39,71.1,29.825,986.2666666666668
094,2018-07-10,2018-07-10T10:14:16Z,1.217,NA,8.06,205.9,5.34,70.5,29.815,986.4
094,2018-07-10,2018-07-10T10:14:18Z,1.253,NA,8.02,206,5.31,70.1,29.804,986.4
094,2018-07-10,2018-07-10T10:14:20Z,1.29,NA,8.03,206.1,5.28,69.7,29.796,986.2666666666668
094,2018-07-10,2018-07-10T10:14:22Z,1.319,NA,8.08,206.2,5.26,69.3,29.783,986.2666666666668
094,2018-07-10,2018-07-10T10:14:24Z,1.356,NA,7.98,206.3,5.23,68.9,29.77,986.4
094,2018-07-10,2018-07-10T10:14:26Z,1.391,NA,7.91,206.3,5.19,68.5,29.759,986.2666666666668
094,2018-07-10,2018-07-10T10:14:28Z,1.431,NA,7.8,206.4,4.88,64.2,29.751,986.2666666666668
094,2018-07-10,2018-07-10T10:14:30Z,1.468,NA,7.75,206.5,4.73,62.3,29.743,986.1333333333332
094,2018-07-10,2018-07-10T10:14:32Z,1.505,NA,7.63,206.6,4.68,61.7,29.735,986.4
094,2018-07-10,2018-07-10T10:14:34Z,1.546,NA,7.53,206.6,4.63,61,29.727,986.2666666666668
094,2018-07-10,2018-07-10T10:14:36Z,1.585,NA,7.45,206.7,4.57,60.2,29.718,986.2666666666668
094,2018-07-10,2018-07-10T10:14:38Z,1.629,NA,7.34,206.9,4.23,55.7,29.703,986.2666666666668
094,2018-07-10,2018-07-10T10:14:40Z,1.667,NA,7.26,207,4.14,54.5,29.686,986.2666666666668
094,2018-07-10,2018-07-10T10:14:42Z,1.709,NA,7.23,207.2,4.09,53.9,29.667,986.4
094,2018-07-10,2018-07-10T10:14:44Z,1.747,NA,7.18,207.4,4.03,53,29.641,986.4
094,2018-07-10,2018-07-10T10:14:46Z,1.794,NA,7.18,207.7,3.73,49,29.616,986.4
094,2018-07-10,2018-07-10T10:14:48Z,1.83,NA,7.22,207.9,3.65,48,29.596,986.2666666666668
094,2018-07-10,2018-07-10T10:14:50Z,1.869,NA,7.31,208.1,3.59,47.2,29.576,986.4
