KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,2/9/2023 21:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.71,2.55,217.9,5.476,255.1,53.5,53.5,4.54,7.8,7.782,0.12,252.7,0.16,0.11,164,7.88,0,NA,-64.4,18.104,5.502,89.99999,180,99.9,0,11.8,729.4
,,,STANDARD DEVIATION:,0.45,1.65,21,3.157,15.8,47,47,3.7,84.9,4.491,0.01,13.6,0.36,0.34,9,10.08,0,0.51,30.3,6.586,3.149,0,0,0,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17F103116,17F103116,18D101260,18F101461,18D101260,18D104461,18D104461,18D104461,22B100947,18F101461,18D101260,18D101260,17F103116,17F103116,18D101260,20B120805,20B120805,22B100947,22B100947,18D101260,18F101461,18F101544,18F101544,18F101544,18F101544,18F101544,18F101544
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
6/14/2022,15:42:43,0,85,0.66,2.34,248.5,0.017,235.9,113.5,113.5,8.96,63.1,0.024,0.11,237.1,-0.21,-0.24,154,1.87,0,8.46,-103.5,27.502,0.02,89.99999,180,99.9,0,11.8,729.3
6/14/2022,15:42:44,0,85,0.66,2.35,248.5,0.031,235.9,113.5,113.5,8.96,63.2,0.044,0.11,237.1,-0.08,-0.12,154,1.96,0,8.46,-103.5,27.506,0.043,89.99999,180,99.9,0,11.8,729.4
6/14/2022,15:42:45,0,85,0.63,2.25,248.4,0.067,235.8,113.5,113.5,8.96,63.2,0.095,0.11,237.1,-0.08,-0.11,154,1.92,0,8.47,-103.6,27.507,0.075,89.99999,180,99.9,0,11.8,729.3
6/14/2022,15:42:46,0,85,0.63,2.26,248.4,0.08,235.8,113.5,113.5,8.96,63.2,0.113,0.11,237,-0.2,-0.22,154,1.79,0,8.47,-103.7,27.505,0.085,89.99999,180,99.9,0,11.8,729.4
6/14/2022,15:42:47,0,85,0.58,2.04,248.3,0.123,235.8,113.4,113.4,8.95,63.3,0.174,0.11,237,-0.25,-0.27,154,1.87,0,8.47,-103.7,27.502,0.147,89.99999,180,99.9,0,11.8,729.4
6/14/2022,15:42:48,0,85,0.55,1.96,248.2,0.196,235.7,113.4,113.4,8.95,63.5,0.278,0.11,236.9,-0.18,-0.21,154,1.97,0,8.46,-103.6,27.497,0.24,89.99999,180,99.9,0,11.8,729.6
6/14/2022,15:42:49,0,85,0.53,1.87,248.2,0.305,235.7,113.5,113.5,8.96,63.5,0.433,0.11,236.9,-0.14,-0.18,154,1.98,0,8.47,-103.6,27.491,0.35,89.99999,180,99.9,0,11.8,729.5
6/14/2022,15:42:50,0,85,0.51,1.8,248.2,0.399,235.8,113.5,113.5,8.96,63.4,0.566,0.11,237,-0.24,-0.26,154,1.96,0,8.47,-103.8,27.48,0.445,89.99999,180,99.9,0,11.8,729.4
6/14/2022,15:42:51,0,85,0.56,1.98,248.3,0.548,235.9,113.5,113.5,8.96,63.5,0.777,0.11,237.1,-0.24,-0.27,154,1.89,0,8.47,-103.8,27.471,0.603,89.99999,180,99.9,0,11.7,729.5
6/14/2022,15:42:52,0,85,0.56,2,248.3,0.664,235.9,113.5,113.5,8.97,63.5,0.942,0.11,237.1,-0.22,-0.25,154,1.92,0,8.47,-103.9,27.467,0.667,89.99999,180,99.9,0,11.7,729.5
6/14/2022,15:42:53,0,85,0.58,2.07,248.3,0.708,235.9,113.6,113.6,8.97,63.5,1.003,0.11,237.1,-0.24,-0.26,154,2,0,8.47,-104,27.462,0.734,89.99999,180,99.9,0,11.7,729.5
