"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"4","11/13/2014","14:21:28",22.707,725.5,101.6,8.77,82.9,7.9,5.76,0,-0.08,NA,3.84,NA,0,0
"7","11/13/2014","14:21:43",22.762,725.6,102.3,8.82,82.8,7.98,3.21,0,-0.14,NA,4.13,NA,0.003,0
"8","11/13/2014","14:21:48",22.762,725.5,102.4,8.82,82.8,8,3.18,0,-0.11,NA,4.13,NA,0.015,0.2
"9","11/13/2014","14:21:53",22.762,725.6,102.4,8.82,82.8,8.02,3.18,0,-0.12,NA,3.31,NA,0.051,0.3
"10","11/13/2014","14:21:58",22.764,725.6,102.5,8.83,82.8,8.04,3.19,0,-0.11,NA,4.11,NA,0.106,0.5
"11","11/13/2014","14:22:03",22.763,725.6,102.5,8.83,82.8,8.05,3.2,0,-0.11,NA,4.08,NA,0.19,0.8
"12","11/13/2014","14:22:08",22.761,725.6,102.5,8.83,82.8,8.05,3.23,0,-0.12,NA,4.19,NA,1.059,1
"13","11/13/2014","14:22:13",22.758,725.6,102.5,8.83,82.8,8.06,3.24,0,-0.13,NA,4.47,NA,1.191,1.2
"14","11/13/2014","14:22:18",22.756,725.6,102.5,8.84,82.8,8.07,3.28,0,-0.13,NA,4.62,NA,1.268,1.4
"15","11/13/2014","14:22:23",22.754,725.6,102.6,8.84,82.8,8.07,3.29,0,-0.12,NA,4.61,NA,1.322,1.4
"16","11/13/2014","14:22:28",22.741,725.6,102.6,8.84,82.8,8.08,3.32,0,-0.14,NA,4.46,NA,1.368,1.6
"17","11/13/2014","14:22:33",22.721,725.6,102.6,8.84,82.8,8.08,3.35,0,-0.13,NA,4.37,NA,1.435,1.8
"18","11/13/2014","14:22:38",22.695,725.5,102.6,8.85,82.8,8.08,3.34,0,-0.12,NA,4.31,NA,1.514,1.9
"19","11/13/2014","14:22:43",22.677,725.6,102.7,8.86,82.8,8.08,3.34,0,-0.11,NA,4.46,NA,1.591,2.1
"20","11/13/2014","14:22:48",22.603,725.6,102.6,8.86,82.9,8.08,3.55,0,-0.08,NA,7.6,NA,1.676,2.3
"21","11/13/2014","14:22:53",20.548,725.5,104.5,9.39,85.5,8.19,4,0,0.06,NA,12.01,NA,1.827,2.4
"22","11/13/2014","14:22:58",17.706,725.6,106.5,10.13,88.8,8.24,4.67,0,0.24,NA,12.81,NA,1.965,2.5
"23","11/13/2014","14:23:03",17.605,725.7,110.6,10.55,85.8,8.23,5.24,0,0.52,NA,40.77,NA,2.105,2.6
"24","11/13/2014","14:23:08",17.151,725.7,103.7,9.98,83.9,8.12,5.83,0,0.8,NA,13.95,NA,2.248,2.7
"25","11/13/2014","14:23:13",16.806,725.6,96.7,9.37,82,7.99,5.99,0,0.78,NA,19.74,NA,2.384,2.9
"26","11/13/2014","14:23:18",16.202,725.6,87.5,8.59,80.7,7.8,5.9,0,0.68,NA,8.32,NA,2.512,2.9
"27","11/13/2014","14:23:23",15.785,725.6,80.4,7.96,79.9,7.74,5.63,0,0.36,NA,13.1,NA,2.627,3
"28","11/13/2014","14:23:28",15.471,725.4,77.8,7.77,79.7,7.69,5.51,0,0.13,NA,13.36,NA,2.718,3
