"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NH4.N.mg.L","NO3.N.mg.L","Cl.mg.L","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","BGA.PE.RFU","BGA.PE.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"35","11/14/2014","22:40:04",30.605,732.8,134.4,10.04,339.4,9.28,NA,NA,NA,-848.44,0,4.686,4.69,NA,NA,1.893,7.11,NA,NA,0
"36","11/14/2014","22:40:05",30.603,732.8,134.4,10.05,339.4,9.28,NA,NA,NA,-848.46,0,4.689,4.69,NA,NA,1.897,7.12,NA,NA,0.001
"37","11/14/2014","22:40:06",30.603,732.8,134.4,10.05,339.4,9.28,NA,NA,NA,-848.48,0,4.705,4.71,NA,NA,1.914,7.19,NA,NA,0.008
"38","11/14/2014","22:40:07",30.603,732.8,134.4,10.05,339.4,9.28,NA,NA,NA,-848.47,0,4.701,4.7,NA,NA,1.924,7.22,NA,NA,0.014
"39","11/14/2014","22:40:08",30.602,732.8,134.5,10.05,339.4,9.28,NA,NA,NA,-848.46,0,4.706,4.71,NA,NA,1.929,7.24,NA,NA,0.021
"40","11/14/2014","22:40:09",30.602,732.8,134.5,10.05,339.4,9.28,NA,NA,NA,-848.43,0,4.725,4.73,NA,NA,1.934,7.26,NA,NA,0.027
"41","11/14/2014","22:40:10",30.602,732.8,134.5,10.05,339.5,9.28,NA,NA,NA,-848.39,0,4.732,4.73,NA,NA,1.942,7.29,NA,NA,0.035
"42","11/14/2014","22:40:11",30.602,732.8,134.5,10.06,339.5,9.28,NA,NA,NA,-848.44,0,4.747,4.75,NA,NA,1.963,7.37,NA,NA,0.042
"43","11/14/2014","22:40:12",30.601,732.8,134.5,10.06,339.5,9.28,NA,NA,NA,-848.41,0,4.772,4.77,NA,NA,1.941,7.29,NA,NA,0.048
"44","11/14/2014","22:40:13",30.601,732.8,134.5,10.06,339.5,9.28,NA,NA,NA,-848.38,0,4.79,4.79,NA,NA,1.907,7.16,NA,NA,0.055
"45","11/14/2014","22:40:14",30.601,732.8,134.5,10.05,339.5,9.28,NA,NA,NA,-848.39,0,4.819,4.82,NA,NA,1.902,7.14,NA,NA,0.061
"46","11/14/2014","22:40:15",30.601,732.8,134.5,10.05,339.5,9.28,NA,NA,NA,-848.39,0,4.84,4.84,NA,NA,1.94,7.28,NA,NA,0.069
