Date,Time,DEP.m,X.C,DO_percent,DO_mgpL,pH,ORP,PC,CHL
9/27/2017,9:50:00,0,26.6,108,8.7,7.82,270,-1.55,5
9/27/2017,9:50:00,1,26.7,111,8.9,8.24,259,-1.71,5
9/27/2017,9:50:00,2,26.7,112,9,8.47,255,-1.83,5.4
9/27/2017,9:50:00,3,26.7,112,9,8.49,255,-1.89,5.3
9/27/2017,9:50:00,4,26.7,112,9,8.51,254,-1.86,5.05
9/27/2017,9:50:00,5,26.7,112,9,8.52,255,-1.82,5.7
9/27/2017,9:50:00,6,26.8,112,8.9,8.52,256,-1.87,5.52
9/27/2017,9:50:00,7,25.8,44,3.6,7.93,265,-2.16,3.8
9/27/2017,9:50:00,7.5,25.7,41,3.3,7.74,267,-2.2,3.4
9/27/2017,9:50:00,8,25.7,39,3.2,7.66,269,-2.27,3.2
9/27/2017,9:50:00,9,25.6,36,2.9,7.59,271,-2.29,2.9
9/27/2017,9:50:00,10,25.6,32,2.6,7.53,272,-2.35,2.5
9/27/2017,9:50:00,11,25.4,23,1.8,7.47,273,-2.51,1.8
9/27/2017,9:50:00,12,25.2,16,1.3,7.42,274,-2.57,1.1
9/27/2017,9:50:00,13,25.2,13,1.1,7.38,275,-2.57,1.1
9/27/2017,9:50:00,13.5,25.2,12,1,7.35,274,-2.26,1.6
