"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"30","5/23/2017","11:33:26",21.22,735.8,91,8.08,147.7,7.81,154,14.52,0,0.13,NA,10.8,NA,0,0.1
"31","5/23/2017","11:33:27",21.22,735.7,91,8.07,147.7,7.8,154,14.52,0,0.13,NA,10.8,NA,0.002,0.1
"32","5/23/2017","11:33:28",21.221,735.7,90.9,8.07,147.7,7.8,153.9,14.51,0,0.13,NA,10.78,NA,0.007,0.1
"33","5/23/2017","11:33:29",21.221,735.8,90.9,8.07,147.7,7.8,153.9,14.49,0,0.13,NA,10.8,NA,0.009,0.1
"34","5/23/2017","11:33:30",21.221,735.8,90.9,8.06,147.7,7.8,153.9,14.51,0,0.12,NA,10.83,NA,0.013,0.1
"35","5/23/2017","11:33:31",21.221,735.8,90.8,8.06,147.7,7.8,153.9,14.53,0,0.12,NA,10.85,NA,0.017,0.2
"36","5/23/2017","11:33:32",21.222,735.7,90.8,8.06,147.7,7.8,153.9,14.51,0,0.12,NA,10.95,NA,0.023,0.2
"37","5/23/2017","11:33:33",21.222,735.8,90.8,8.06,147.7,7.79,153.9,14.48,0,0.11,NA,11.01,NA,0.028,0.2
"38","5/23/2017","11:33:34",21.222,735.8,90.8,8.06,147.8,7.79,153.9,14.49,0,0.12,NA,11.05,NA,0.034,0.2
"39","5/23/2017","11:33:35",21.221,735.8,90.7,8.05,147.8,7.79,153.8,14.47,0,0.12,NA,11.13,NA,0.04,0.2
"40","5/23/2017","11:33:36",21.221,735.8,90.7,8.05,147.7,7.79,153.8,14.48,0,0.12,NA,11.14,NA,0.05,0.3
"41","5/23/2017","11:33:37",21.221,735.8,90.7,8.05,147.7,7.79,153.8,14.46,0,0.12,NA,11.16,NA,0.057,0.3
"42","5/23/2017","11:33:38",21.221,735.8,90.7,8.05,147.7,7.79,153.8,14.45,0,0.14,NA,11.19,NA,0.069,0.4
"43","5/23/2017","11:33:39",21.221,735.8,90.7,8.04,147.7,7.79,153.9,14.48,0,0.13,NA,11.28,NA,0.077,0.4
"44","5/23/2017","11:33:40",21.222,735.7,90.6,8.04,147.7,7.78,153.9,14.48,0,0.14,NA,11.26,NA,0.088,0.4
"45","5/23/2017","11:33:41",21.222,735.8,90.6,8.04,147.7,7.78,153.9,14.49,0,0.14,NA,11.29,NA,0.105,0.4
"46","5/23/2017","11:33:42",21.223,735.8,90.6,8.04,147.7,7.78,153.9,14.5,0,0.15,NA,11.3,NA,0.114,0.5
"47","5/23/2017","11:33:43",21.224,735.8,90.5,8.03,147.7,7.78,153.9,14.49,0,0.15,NA,11.3,NA,0.128,0.5
"48","5/23/2017","11:33:44",21.224,735.8,90.5,8.03,147.7,7.78,153.9,14.54,0,0.16,NA,11.24,NA,0.143,0.6
"49","5/23/2017","11:33:45",21.225,735.8,90.5,8.03,147.7,7.78,153.9,14.51,0,0.16,NA,11.2,NA,0.163,0.6
"50","5/23/2017","11:33:46",21.225,735.8,90.5,8.03,147.7,7.78,154,14.51,0,0.15,NA,11.13,NA,0.184,0.7
