"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"8","11/14/2014","15:25:35",22.793,736.8,103.1,8.88,205.7,8.17,4.6,0,-0.43,NA,1.1,NA,0.004,0
"9","11/14/2014","15:25:37",22.784,736.8,103.4,8.9,205.6,8.18,4.53,0,-0.45,NA,1.06,NA,0.005,0
"10","11/14/2014","15:25:40",22.784,736.8,103.6,8.92,205.5,8.18,4.49,0,-0.44,NA,1.09,NA,0.006,0
"11","11/14/2014","15:25:42",22.781,736.7,103.8,8.94,205.4,8.2,4.51,0,-0.43,NA,1.1,NA,0.007,0
"12","11/14/2014","15:25:45",22.769,736.9,103.9,8.95,205.3,8.21,4.45,0,-0.43,NA,1.13,NA,0.008,0
"13","11/14/2014","15:25:47",22.761,736.8,104,8.96,205.3,8.22,4.45,0,-0.44,NA,1.17,NA,0.01,0
"14","11/14/2014","15:25:50",22.757,736.9,104.1,8.97,205.2,8.23,4.46,0,-0.45,NA,1.17,NA,0.013,0.1
"15","11/14/2014","15:25:52",22.737,736.8,104.1,8.97,205.2,8.24,4.5,0,-0.45,NA,1.14,NA,0.024,0.2
"16","11/14/2014","15:25:55",22.687,736.7,104.1,8.98,205.2,8.24,4.51,0,-0.45,NA,1.21,NA,0.041,0.3
"17","11/14/2014","15:25:57",22.634,736.8,104.1,8.98,205.2,8.25,4.52,0,-0.45,NA,1.31,NA,0.062,0.4
"18","11/14/2014","15:26:00",22.58,736.8,104,8.99,205.1,8.26,4.55,0,-0.45,NA,1.39,NA,0.088,0.4
"19","11/14/2014","15:26:02",22.517,736.8,104,9,205.1,8.26,4.65,0,-0.44,NA,1.52,NA,0.115,0.4
"20","11/14/2014","15:26:05",22.461,736.7,104,9.01,205.1,8.27,4.67,0,-0.43,NA,1.53,NA,0.142,0.4
"21","11/14/2014","15:26:07",22.436,736.9,104.1,9.02,205.1,8.27,4.7,0,-0.43,NA,1.52,NA,0.17,0.4
"22","11/14/2014","15:26:10",22.429,736.7,104.2,9.03,205,8.28,4.69,0,-0.43,NA,1.56,NA,0.197,0.4
"23","11/14/2014","15:26:12",22.424,736.7,104.2,9.04,204.9,8.28,4.76,0,-0.43,NA,1.58,NA,0.226,0.5
"24","11/14/2014","15:26:15",22.389,736.8,104.2,9.04,205,8.28,4.77,0,-0.42,NA,1.6,NA,0.266,0.6
"25","11/14/2014","15:26:17",22.363,736.8,104.2,9.04,205,8.29,4.75,0,-0.42,NA,1.66,NA,0.311,0.7
"26","11/14/2014","15:26:20",22.296,736.7,104.1,9.04,205,8.29,4.79,0,-0.41,NA,1.75,NA,0.358,0.8
"27","11/14/2014","15:26:22",22.157,736.8,103.9,9.04,205.1,8.29,4.87,0,-0.41,NA,1.88,NA,0.412,0.8
"28","11/14/2014","15:26:25",22.034,736.8,103.6,9.05,205.2,8.3,4.92,0,-0.41,NA,2.08,NA,0.464,0.8
"29","11/14/2014","15:26:27",21.92,736.8,103.4,9.05,205.1,8.3,4.93,0,-0.42,NA,2.25,NA,0.515,0.8
"30","11/14/2014","15:26:30",21.788,736.9,103.2,9.05,205.1,8.3,4.92,0,-0.41,NA,2.42,NA,0.567,1
"31","11/14/2014","15:26:32",21.67,736.8,103.1,9.06,204.9,8.3,4.92,0,-0.41,NA,2.55,NA,0.614,1
"32","11/14/2014","15:26:35",21.618,736.7,103.1,9.08,204.8,8.3,4.91,0,-0.4,NA,2.68,NA,0.659,1
"33","11/14/2014","15:26:37",21.562,736.7,103.1,9.08,204.7,8.31,4.91,0,-0.4,NA,2.72,NA,0.701,1
"34","11/14/2014","15:26:40",21.515,736.7,103.1,9.09,204.6,8.31,4.92,0,-0.41,NA,2.68,NA,0.743,1.1
"35","11/14/2014","15:26:42",21.482,736.7,103.1,9.1,204.5,8.31,4.9,0,-0.4,NA,2.69,NA,0.797,1.2
"36","11/14/2014","15:26:45",21.462,736.7,103.2,9.11,204.5,8.31,4.91,0,-0.4,NA,2.71,NA,0.848,1.2
"37","11/14/2014","15:26:47",21.445,736.7,103.2,9.11,204.5,8.31,4.94,0,-0.38,NA,2.8,NA,0.899,1.2
"38","11/14/2014","15:26:50",21.43,736.7,103.2,9.12,204.4,8.31,4.97,0,-0.39,NA,2.85,NA,0.948,1.2
"39","11/14/2014","15:26:52",21.415,736.7,103.2,9.12,204.4,8.31,4.96,0,-0.37,NA,2.93,NA,0.996,1.4
"40","11/14/2014","15:26:55",21.407,736.7,103.2,9.12,204.3,8.31,4.95,0,-0.37,NA,3.03,NA,1.046,1.4
"41","11/14/2014","15:26:57",21.396,736.7,103.2,9.12,204.3,8.31,4.96,0,-0.38,NA,3.03,NA,1.094,1.4
"42","11/14/2014","15:27:00",21.387,736.7,103.1,9.12,204.3,8.31,5.01,0,-0.38,NA,3.09,NA,1.133,1.4
"43","11/14/2014","15:27:02",21.377,736.8,103.1,9.12,204.3,8.31,5,0,-0.38,NA,3.08,NA,1.176,1.5
"44","11/14/2014","15:27:05",21.369,736.7,103,9.12,204.3,8.3,4.95,0,-0.39,NA,2.99,NA,1.224,1.5
"45","11/14/2014","15:27:07",21.364,736.7,103,9.11,204.3,8.3,4.97,0,-0.39,NA,2.94,NA,1.26,1.5
"46","11/14/2014","15:27:10",21.36,736.8,103,9.11,204.3,8.3,5,0,-0.39,NA,2.97,NA,1.295,1.6
"47","11/14/2014","15:27:12",21.342,736.7,102.9,9.11,204.3,8.3,5,0,-0.39,NA,3.02,NA,1.335,1.6
"48","11/14/2014","15:27:15",21.318,736.8,102.8,9.1,204.4,8.3,4.97,0,-0.39,NA,3.15,NA,1.377,1.7
"49","11/14/2014","15:27:17",21.287,736.8,102.7,9.1,204.4,8.3,4.93,0,-0.38,NA,3.22,NA,1.417,1.7
"50","11/14/2014","15:27:20",21.256,736.9,102.6,9.09,204.5,8.29,4.91,0,-0.38,NA,3.36,NA,1.45,1.7
"51","11/14/2014","15:27:22",21.217,736.7,102.4,9.09,204.5,8.29,4.85,0,-0.37,NA,3.48,NA,1.485,1.7
"52","11/14/2014","15:27:25",21.187,736.8,102.3,9.08,204.5,8.29,4.8,0,-0.36,NA,3.59,NA,1.522,1.8
"53","11/14/2014","15:27:27",21.156,736.8,102.2,9.08,204.4,8.29,4.71,0,-0.35,NA,3.67,NA,1.571,1.9
"54","11/14/2014","15:27:30",21.124,736.8,102.2,9.08,204.4,8.29,4.68,0,-0.36,NA,3.76,NA,1.605,1.9
"55","11/14/2014","15:27:32",21.098,736.7,102.1,9.08,204.4,8.29,4.65,0,-0.37,NA,3.7,NA,1.635,1.9
"56","11/14/2014","15:27:35",21.074,736.7,102.1,9.08,204.4,8.29,4.61,0,-0.37,NA,3.69,NA,1.664,1.9
"57","11/14/2014","15:27:37",21.042,736.9,102,9.08,204.3,8.29,4.59,0,-0.37,NA,3.72,NA,1.701,2
"58","11/14/2014","15:27:40",21.023,736.9,102,9.09,204.3,8.29,4.58,0,-0.36,NA,3.7,NA,1.739,2
"59","11/14/2014","15:27:42",21.01,736.9,102,9.09,204.3,8.29,4.53,0,-0.36,NA,3.78,NA,1.774,2
"60","11/14/2014","15:27:45",20.995,736.7,102,9.09,204.2,8.29,4.55,0,-0.37,NA,3.79,NA,1.809,2.1
"61","11/14/2014","15:27:47",20.966,736.8,101.9,9.08,204.1,8.29,4.54,0,-0.37,NA,3.85,NA,1.852,2.2
"62","11/14/2014","15:27:50",20.952,736.8,101.8,9.08,204.1,8.29,4.51,0,-0.35,NA,3.96,NA,1.893,2.2
"63","11/14/2014","15:27:52",20.932,736.7,101.7,9.07,204.1,8.29,4.53,0,-0.34,NA,4.09,NA,1.936,2.3
"64","11/14/2014","15:27:55",20.897,736.7,101.6,9.07,204.1,8.29,4.53,0,-0.33,NA,4.19,NA,1.985,2.5
"65","11/14/2014","15:27:57",20.857,736.7,101.4,9.06,204.1,8.28,4.56,0,-0.33,NA,4.29,NA,2.036,2.5
"66","11/14/2014","15:28:00",20.834,736.7,101.3,9.05,204.1,8.28,4.56,0,-0.32,NA,4.41,NA,2.087,2.5
"67","11/14/2014","15:28:02",20.808,736.8,101.2,9.05,204.2,8.28,4.56,0,-0.32,NA,4.45,NA,2.138,2.5
"68","11/14/2014","15:28:05",20.777,736.7,101,9.04,204.2,8.28,4.54,0,-0.32,NA,4.53,NA,2.192,2.7
"69","11/14/2014","15:28:07",20.757,736.8,100.9,9.03,204.2,8.27,4.55,0,-0.31,NA,4.56,NA,2.249,2.7
"70","11/14/2014","15:28:10",20.744,736.7,100.8,9.03,204.2,8.27,4.5,0,-0.31,NA,4.66,NA,2.307,2.7
