"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"6","11/13/2014","10:42:51",22.376,723.8,96.7,8.39,21,7.64,2.67,0,-0.08,NA,3.52,NA,0,0
"7","11/13/2014","10:42:52",22.407,723.8,96.7,8.39,25.3,7.64,2.57,0,-0.09,NA,3.93,NA,0.001,0
"8","11/13/2014","10:42:53",22.431,723.8,96.8,8.39,29,7.63,2.52,0,-0.11,NA,4.1,NA,0.005,0.1
"9","11/13/2014","10:42:54",22.447,723.8,96.8,8.39,33.3,7.62,2.54,0,-0.13,NA,4.09,NA,0.009,0.1
"10","11/13/2014","10:42:55",22.46,723.8,96.8,8.39,37.1,7.62,2.56,0,-0.15,NA,4.13,NA,0.017,0.2
"11","11/13/2014","10:42:56",22.47,723.8,96.9,8.39,40.7,7.61,2.54,0,-0.17,NA,4.2,NA,0.028,0.3
"12","11/13/2014","10:42:57",22.48,723.8,96.9,8.4,41.2,7.61,2.55,0,-0.2,NA,4.25,NA,0.038,0.3
"13","11/13/2014","10:42:58",22.487,723.8,96.9,8.4,41.2,7.6,2.56,0,-0.21,NA,4.38,NA,0.049,0.4
"14","11/13/2014","10:42:59",22.494,723.8,97,8.4,41.2,7.6,2.56,0,-0.23,NA,4.38,NA,0.062,0.4
"15","11/13/2014","10:43:00",22.505,723.8,97.1,8.41,43.5,7.59,2.56,0,-0.24,NA,4.52,NA,0.082,0.6
"16","11/13/2014","10:43:01",22.523,723.8,97.1,8.41,47.1,7.59,2.55,0,-0.25,NA,4.65,NA,0.1,0.7
"17","11/13/2014","10:43:02",22.558,723.8,97.2,8.41,50.5,7.59,2.56,0,-0.26,NA,4.82,NA,0.12,0.8
"18","11/13/2014","10:43:03",22.568,723.8,97.2,8.41,52,7.58,2.57,0,-0.25,NA,6.99,NA,0.141,0.8
"19","11/13/2014","10:43:04",22.571,723.8,97.2,8.41,52.1,7.58,2.56,0,-0.26,NA,7.46,NA,0.882,0.9
"21","11/13/2014","10:43:06",22.574,723.7,97.2,8.41,52.1,7.57,2.56,0,-0.26,NA,8.45,NA,0.966,1
"22","11/13/2014","10:43:07",22.576,723.6,97.2,8.41,52.1,7.57,2.56,0,-0.31,NA,7.82,NA,1.078,1.1
"23","11/13/2014","10:43:08",22.578,723.8,97.2,8.41,52.1,7.56,2.58,0,-0.32,NA,7.2,NA,1.094,1.1
"24","11/13/2014","10:43:09",22.579,723.8,97.2,8.41,52.1,7.55,2.56,0,-0.31,NA,6.79,NA,1.109,1.1
"25","11/13/2014","10:43:10",22.581,723.8,97.2,8.41,52.1,7.55,2.56,0,-0.31,NA,6.64,NA,1.124,1.2
"26","11/13/2014","10:43:11",22.582,723.7,97.2,8.41,52.1,7.54,2.56,0,-0.31,NA,6.57,NA,1.143,1.2
"27","11/13/2014","10:43:12",22.582,723.6,97.2,8.4,52.1,7.53,2.56,0,-0.3,NA,6.53,NA,1.165,1.3
"28","11/13/2014","10:43:13",22.582,723.8,97.2,8.4,52.1,7.53,2.54,0,-0.31,NA,6.54,NA,1.189,1.3
"29","11/13/2014","10:43:14",22.582,723.7,97.2,8.4,52.1,7.52,2.54,0,-0.31,NA,6.6,NA,1.211,1.4
"30","11/13/2014","10:43:15",22.582,723.8,97.2,8.4,52.1,7.52,2.54,0,-0.31,NA,6.63,NA,1.233,1.4
"31","11/13/2014","10:43:16",22.583,723.6,97.2,8.4,52.1,7.51,2.53,0,-0.3,NA,6.7,NA,1.262,1.5
"32","11/13/2014","10:43:17",22.583,723.7,97.1,8.4,52.1,7.51,2.53,0,-0.3,NA,6.77,NA,1.285,1.5
"33","11/13/2014","10:43:18",22.583,723.7,97.1,8.4,52.1,7.5,2.54,0,-0.3,NA,6.82,NA,1.306,1.5
"34","11/13/2014","10:43:19",22.581,723.8,97.1,8.4,52.1,7.5,2.54,0,-0.3,NA,6.76,NA,1.328,1.6
"35","11/13/2014","10:43:20",22.58,723.7,97.1,8.4,52.1,7.5,2.54,0,-0.3,NA,6.86,NA,1.355,1.6
"36","11/13/2014","10:43:21",22.578,723.7,97.1,8.39,52.1,7.49,2.55,0,-0.3,NA,6.91,NA,1.377,1.7
"37","11/13/2014","10:43:22",22.576,723.7,97.1,8.39,52.1,7.49,2.55,0,-0.3,NA,6.92,NA,1.397,1.7
"38","11/13/2014","10:43:23",22.574,723.6,97.1,8.39,52.1,7.49,2.56,0,-0.29,NA,6.91,NA,1.415,1.7
"39","11/13/2014","10:43:24",22.571,723.7,97.1,8.39,52.1,7.49,2.57,0,-0.3,NA,7.05,NA,1.437,1.8
"40","11/13/2014","10:43:25",22.567,723.7,97,8.39,52.1,7.48,2.57,0,-0.29,NA,7.1,NA,1.456,1.8
"41","11/13/2014","10:43:26",22.561,723.6,97,8.39,52.1,7.48,2.58,0,-0.28,NA,7.17,NA,1.475,1.8
"42","11/13/2014","10:43:27",22.556,723.7,97,8.39,52.1,7.48,2.58,0,-0.28,NA,7.26,NA,1.495,1.9
"43","11/13/2014","10:43:28",22.537,723.7,91.8,7.94,52.1,7.47,2.61,0,-0.28,NA,21.94,NA,1.52,2
"44","11/13/2014","10:43:29",19,723.7,88.7,7.98,56,7.47,2.67,0,-0.25,NA,28.72,NA,1.543,2.1
"45","11/13/2014","10:43:30",18.752,723.7,92.2,8.66,56.3,7.48,2.71,0,-0.22,NA,17.19,NA,1.567,2.1
"46","11/13/2014","10:43:31",19.622,723.8,97.4,9,54.8,7.48,2.76,0,-0.19,NA,24.03,NA,1.589,2.1
"47","11/13/2014","10:43:32",19.053,723.7,98.1,9.03,55.1,7.47,2.82,0,-0.15,NA,24.03,NA,1.613,2.1
"48","11/13/2014","10:43:33",18.842,723.8,99.3,9.23,55.2,7.47,2.86,0,-0.11,NA,30.76,NA,1.632,2.1
"49","11/13/2014","10:43:34",18.779,723.8,99.9,9.3,55,7.47,2.89,0,-0.08,NA,21.78,NA,1.65,2.1
"50","11/13/2014","10:43:35",18.671,723.7,99.3,9.26,54.7,7.47,2.95,0,-0.05,NA,24.66,NA,1.668,2.2
"51","11/13/2014","10:43:36",16.487,723.7,96.7,9.42,56.9,7.48,3.01,0,-0.02,NA,25.01,NA,1.685,2.2
