"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"2","7/10/2017","17:21:10",29.189,736.3,101.3,7.77,1.3,6.86,207.3,14.06,0,0.11,NA,6.49,NA,0,0
"3","7/10/2017","17:21:11",29.196,736.3,96.9,7.43,7.5,8.67,159.3,-0.22,0,0.1,NA,6.53,NA,0.001,0.1
"4","7/10/2017","17:21:12",29.181,736.4,98.8,7.57,256,8.31,173.9,-0.15,0,0.07,NA,6.3,NA,0.006,0.2
"5","7/10/2017","17:21:13",29.162,736.4,100.1,7.67,258.1,8.17,181.8,-1.02,0,0.04,NA,5.83,NA,0.012,0.2
"6","7/10/2017","17:21:14",29.138,736.4,100.7,7.72,258.6,8.15,181.2,-0.74,0,0,NA,5.53,NA,0.019,0.2
"7","7/10/2017","17:21:15",29.105,736.3,101.3,7.77,258.7,8.13,180.6,-0.72,0,-0.03,NA,5.1,NA,0.026,0.2
"8","7/10/2017","17:21:16",29.072,736.4,101.8,7.81,258.7,8.11,180,-0.69,0,-0.07,NA,4.88,NA,0.032,0.2
"9","7/10/2017","17:21:17",29.029,736.4,102.2,7.85,258.9,8.1,179.5,-0.71,0,-0.11,NA,4.59,NA,0.037,0.2
"10","7/10/2017","17:21:18",28.979,736.3,102.5,7.88,259.1,8.1,179.1,-0.72,0,-0.15,NA,4.2,NA,0.043,0.2
"11","7/10/2017","17:21:19",28.93,736.3,102.7,7.9,259.4,8.1,178.5,-0.72,0,-0.19,NA,3.73,NA,0.048,0.2
"12","7/10/2017","17:21:20",28.869,736.4,102.9,7.92,259.6,8.09,178,-0.71,0,-0.23,NA,3.16,NA,0.053,0.2
"13","7/10/2017","17:21:21",28.818,736.3,103.1,7.95,259.9,8.09,177.6,-0.71,0,-0.26,NA,2.91,NA,0.058,0.2
"14","7/10/2017","17:21:22",28.76,736.3,103.3,7.97,260.2,8.09,177.3,-0.73,0,-0.3,NA,2.86,NA,0.065,0.2
"15","7/10/2017","17:21:23",28.722,736.3,103.4,7.98,260.4,8.09,177,-0.74,0,-0.33,NA,2.93,NA,0.069,0.2
