Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
6/16/2017,10:42:52,27.525,736.8,113.1,8.93,136.8,8.98,185.4,8.2,0,1.33,,4.08,,0,0
6/16/2017,10:42:53,27.51,736.8,116.4,9.19,137,9.01,185.2,9.61,0,1.33,,14.25,,0,0
6/16/2017,10:42:54,27.524,736.7,119.5,9.43,137.2,9.01,185.1,10.65,0,1.36,,13.95,,0,0
6/16/2017,10:42:55,27.532,736.7,120,9.47,137.1,9.02,185,11.84,0,1.63,,15.46,,0.001,0
6/16/2017,10:42:56,27.537,736.9,121.3,9.57,137.1,9.04,184.8,11.06,0,1.91,,13.91,,0.004,0.1
6/16/2017,10:42:57,27.537,736.8,122.1,9.63,137.1,9.06,184.7,11.97,0,2.17,,14.47,,0.009,0.2
6/16/2017,10:42:58,27.539,736.8,122.9,9.7,137.1,9.07,184.5,13.32,0,2.48,,14.96,,0.015,0.3
6/16/2017,10:42:59,27.538,736.8,123.5,9.74,137.2,9.08,184.3,14.67,0,6.47,,15.21,,0.022,0.3
6/16/2017,10:43:00,27.537,736.8,124,9.79,137.2,9.09,184.1,15.96,0,4.7,,15.21,,0.034,0.4
6/16/2017,10:43:01,27.534,736.7,124.4,9.82,137.2,9.1,184,14.61,0,5.34,,14.98,,0.045,0.5
6/16/2017,10:43:02,27.531,736.9,124.7,9.84,137.2,9.1,183.8,14.36,0,6.08,,14.86,,0.058,0.6
6/16/2017,10:43:03,27.526,736.8,124.9,9.86,137.2,9.11,183.6,16.98,0,5.78,,14.68,,0.075,0.7
6/16/2017,10:43:04,27.519,736.9,124.9,9.86,137.2,9.12,183.5,12.02,0,5.15,,14.49,,0.098,0.8
6/16/2017,10:43:05,27.512,736.8,124.8,9.85,137.1,9.12,183.3,16.22,0,4.73,,14.29,,0.926,0.9
6/16/2017,10:43:06,27.499,736.7,124.5,9.83,137.1,9.12,183.2,15.01,0,4.4,,14.11,,1.032,1
