"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NH4.N.mg.L","NO3.N.mg.L","Cl.mg.L","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","BGA.PE.RFU","BGA.PE.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"4","8/9/2017","11:26:15",25.742,742.1,107.3,9.22,20.1,8.02,NA,NA,NA,-857.85,0,-0.178,-0.18,NA,NA,0.172,0.67,NA,NA,0
"5","8/9/2017","11:26:16",25.947,742.1,101.7,8.26,467.7,8,NA,NA,NA,-858.16,0,-0.175,-0.18,NA,NA,0.184,0.72,NA,NA,0.004
"6","8/9/2017","11:26:17",25.961,742.1,101,8.19,472.5,8,NA,NA,NA,-858.5,0,-0.171,-0.17,NA,NA,0.207,0.8,NA,NA,0.01
"7","8/9/2017","11:26:18",25.957,742.1,100.7,8.17,473.2,8,NA,NA,NA,-858.81,0,-0.169,-0.17,NA,NA,0.225,0.87,NA,NA,0.019
"8","8/9/2017","11:26:19",25.953,742.1,100.3,8.14,473.3,8,NA,NA,NA,-859.13,0,-0.17,-0.17,NA,NA,0.247,0.95,NA,NA,0.027
"9","8/9/2017","11:26:20",25.959,742.1,100.1,8.12,473.4,8,NA,NA,NA,-859.45,0,-0.159,-0.16,NA,NA,0.263,1.01,NA,NA,0.035
"10","8/9/2017","11:26:21",25.965,742.1,99.9,8.1,473.4,8,NA,NA,NA,-859.76,0,-0.16,-0.16,NA,NA,0.279,1.07,NA,NA,0.045
"11","8/9/2017","11:26:22",25.97,742.1,99.8,8.09,473.5,8,NA,NA,NA,-860.1,0,-0.152,-0.15,NA,NA,0.272,1.05,NA,NA,0.058
"12","8/9/2017","11:26:23",25.973,742.1,99.7,8.08,473.5,8,NA,NA,NA,-860.32,0,-0.15,-0.15,NA,NA,0.278,1.07,NA,NA,0.068
"13","8/9/2017","11:26:24",25.974,742.1,99.6,8.07,473.5,8,NA,NA,NA,-860.64,0,-0.148,-0.15,NA,NA,0.281,1.08,NA,NA,0.079
"14","8/9/2017","11:26:25",25.975,742.1,99.4,8.06,473.5,8,NA,NA,NA,-861.05,0,-0.137,-0.14,NA,NA,0.266,1.03,NA,NA,0.09
"15","8/9/2017","11:26:26",25.975,742.1,99.4,8.06,473.6,8,NA,NA,NA,-861.33,0,-0.124,-0.12,NA,NA,0.264,1.02,NA,NA,0.102
"16","8/9/2017","11:26:27",25.974,742.1,99.3,8.05,473.6,8,NA,NA,NA,-861.63,0,-0.135,-0.13,NA,NA,0.275,1.06,NA,NA,0.116
"17","8/9/2017","11:26:28",25.975,742.1,99.2,8.05,473.6,8,NA,NA,NA,-861.91,0,-0.126,-0.13,NA,NA,0.279,1.07,NA,NA,0.128
"18","8/9/2017","11:26:29",25.976,742.1,99.2,8.04,473.6,8,NA,NA,NA,-862.02,0,-0.123,-0.12,NA,NA,0.286,1.1,NA,NA,0.14
"19","8/9/2017","11:26:30",25.977,742.1,99.1,8.04,473.6,8.01,NA,NA,NA,-862.02,0,-0.151,-0.15,NA,NA,0.286,1.1,NA,NA,0.153
"20","8/9/2017","11:26:31",25.979,742.1,99.1,8.03,473.6,8.01,NA,NA,NA,-862.01,0,-0.167,-0.17,NA,NA,0.288,1.1,NA,NA,0.171
"21","8/9/2017","11:26:32",25.982,742.1,98.9,8.02,473.7,8.01,NA,NA,NA,-862.02,0,-0.175,-0.17,NA,NA,0.293,1.12,NA,NA,0.932
"22","8/9/2017","11:26:33",25.983,742.1,98.8,8.01,473.7,8.01,NA,NA,NA,-862.01,0,-0.206,-0.21,NA,NA,0.305,1.17,NA,NA,0.975
"23","8/9/2017","11:26:34",25.982,742.1,98.7,8,473.8,8.02,NA,NA,NA,-861.98,0,-0.209,-0.21,NA,NA,0.318,1.22,NA,NA,0.99
"24","8/9/2017","11:26:35",25.98,742.1,98.7,8,473.8,8.02,NA,NA,NA,-861.98,0,-0.195,-0.19,NA,NA,0.327,1.25,NA,NA,0.994
"27","8/9/2017","11:26:38",25.976,742.1,98.5,7.99,473.9,8.04,NA,NA,NA,-861.98,0,-0.184,-0.18,NA,NA,0.355,1.36,NA,NA,0.997
"28","8/9/2017","11:26:39",25.975,742.1,98.5,7.99,473.9,8.04,NA,NA,NA,-861.98,0,-0.185,-0.19,NA,NA,0.364,1.39,NA,NA,0.999
"29","8/9/2017","11:26:40",25.974,742.1,98.5,7.99,473.9,8.05,NA,NA,NA,-861.97,0,-0.187,-0.19,NA,NA,0.384,1.47,NA,NA,1.014
"30","8/9/2017","11:26:41",25.971,742.1,98.5,7.99,474,8.05,NA,NA,NA,-861.97,0,-0.181,-0.18,NA,NA,0.388,1.48,NA,NA,1.023
"31","8/9/2017","11:26:42",25.969,742.1,98.5,7.98,474,8.06,NA,NA,NA,-861.96,0,-0.168,-0.17,NA,NA,0.393,1.5,NA,NA,1.028
"32","8/9/2017","11:26:43",25.966,742.1,98.5,7.99,474,8.06,NA,NA,NA,-861.94,0,-0.149,-0.15,NA,NA,0.4,1.52,NA,NA,1.034
"33","8/9/2017","11:26:44",25.962,742.1,98.5,7.99,474,8.07,NA,NA,NA,-861.94,0,-0.148,-0.15,NA,NA,0.414,1.58,NA,NA,1.037
"34","8/9/2017","11:26:45",25.959,742.1,98.5,7.99,474,8.07,NA,NA,NA,-861.93,0,-0.158,-0.16,NA,NA,0.422,1.61,NA,NA,1.041
"35","8/9/2017","11:26:46",25.957,742.1,98.5,7.99,474,8.08,NA,NA,NA,-861.93,0,-0.148,-0.15,NA,NA,0.415,1.58,NA,NA,1.047
"36","8/9/2017","11:26:47",25.955,742.1,98.5,7.99,473.9,8.08,NA,NA,NA,-861.92,0,-0.15,-0.15,NA,NA,0.413,1.57,NA,NA,1.055
"37","8/9/2017","11:26:48",25.954,742.1,98.5,7.99,473.9,8.08,NA,NA,NA,-861.92,0,-0.147,-0.15,NA,NA,0.416,1.58,NA,NA,1.064
"38","8/9/2017","11:26:49",25.953,742.1,98.5,7.99,473.9,8.09,NA,NA,NA,-861.95,0,-0.14,-0.14,NA,NA,0.424,1.62,NA,NA,1.072
"39","8/9/2017","11:26:50",25.952,742.1,98.5,7.99,473.9,8.09,NA,NA,NA,-861.96,0,-0.135,-0.14,NA,NA,0.422,1.61,NA,NA,1.083
"40","8/9/2017","11:26:51",25.95,742.1,98.5,7.99,473.9,8.09,NA,NA,NA,-861.96,0,-0.128,-0.13,NA,NA,0.416,1.59,NA,NA,1.093
"41","8/9/2017","11:26:52",25.949,742.1,98.5,7.99,473.9,8.1,NA,NA,NA,-861.96,0,-0.121,-0.12,NA,NA,0.42,1.6,NA,NA,1.104
"42","8/9/2017","11:26:53",25.949,742.1,98.5,7.99,473.9,8.1,NA,NA,NA,-861.97,0,-0.116,-0.12,NA,NA,0.417,1.59,NA,NA,1.123
"43","8/9/2017","11:26:54",25.948,742.1,98.5,7.99,473.9,8.1,NA,NA,NA,-861.97,0,-0.118,-0.12,NA,NA,0.424,1.61,NA,NA,1.144
"44","8/9/2017","11:26:55",25.948,742.1,98.5,7.99,473.8,8.1,NA,NA,NA,-861.96,0,-0.114,-0.11,NA,NA,0.413,1.57,NA,NA,1.166
"45","8/9/2017","11:26:56",25.947,742.1,98.5,7.99,473.8,8.11,NA,NA,NA,-861.96,0,-0.116,-0.12,NA,NA,0.401,1.53,NA,NA,1.188
"46","8/9/2017","11:26:57",25.946,742.1,98.5,7.99,473.8,8.11,NA,NA,NA,-861.98,0,-0.111,-0.11,NA,NA,0.409,1.56,NA,NA,1.211
"47","8/9/2017","11:26:58",25.946,742.1,98.5,7.99,473.8,8.11,NA,NA,NA,-861.98,0,-0.102,-0.1,NA,NA,0.42,1.6,NA,NA,1.229
"48","8/9/2017","11:26:59",25.945,742.1,98.5,7.99,473.8,8.11,NA,NA,NA,-862.01,0,-0.086,-0.09,NA,NA,0.422,1.61,NA,NA,1.247
"49","8/9/2017","11:27:00",25.945,742.1,98.5,7.99,473.8,8.12,NA,NA,NA,-862,0,-0.079,-0.08,NA,NA,0.421,1.6,NA,NA,1.265
"50","8/9/2017","11:27:01",25.944,742.1,98.5,7.99,473.8,8.12,NA,NA,NA,-861.99,0,-0.086,-0.09,NA,NA,0.426,1.62,NA,NA,1.286
"51","8/9/2017","11:27:02",25.943,742.1,98.5,7.99,473.8,8.12,NA,NA,NA,-862,0,-0.092,-0.09,NA,NA,0.431,1.64,NA,NA,1.303
"52","8/9/2017","11:27:03",25.942,742.1,98.5,7.99,473.8,8.12,NA,NA,NA,-862,0,-0.085,-0.09,NA,NA,0.443,1.69,NA,NA,1.321
"53","8/9/2017","11:27:04",25.94,742.1,98.5,7.99,473.8,8.13,NA,NA,NA,-861.99,0,-0.07,-0.07,NA,NA,0.45,1.71,NA,NA,1.337
"54","8/9/2017","11:27:05",25.939,742.2,98.5,7.99,473.8,8.13,NA,NA,NA,-862,0,-0.064,-0.06,NA,NA,0.453,1.72,NA,NA,1.357
"55","8/9/2017","11:27:06",25.937,742.1,98.5,7.99,473.8,8.13,NA,NA,NA,-861.98,0,-0.055,-0.05,NA,NA,0.462,1.76,NA,NA,1.373
"56","8/9/2017","11:27:07",25.936,742.1,98.5,7.99,473.8,8.13,NA,NA,NA,-861.99,0,-0.054,-0.05,NA,NA,0.476,1.81,NA,NA,1.39
