"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NH4.N.mg.L","NO3.N.mg.L","Cl.mg.L","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","BGA.PE.RFU","BGA.PE.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"42","7/27/2017","8:35:28",29.599,741.5,62.5,4.75,346.4,8.07,NA,NA,NA,-854.88,0,3.42,3.42,NA,NA,3.627,13.59,NA,NA,0
"43","7/27/2017","8:35:29",29.6,741.5,62.4,4.74,346.5,8.07,NA,NA,NA,-854.89,0,3.423,3.42,NA,NA,3.636,13.63,NA,NA,0.006
"44","7/27/2017","8:35:30",29.602,741.5,62.3,4.74,346.7,8.07,NA,NA,NA,-854.89,0,3.42,3.42,NA,NA,3.666,13.74,NA,NA,0.013
"45","7/27/2017","8:35:31",29.602,741.5,62.2,4.73,346.8,8.07,NA,NA,NA,-854.85,0,3.396,3.4,NA,NA,3.68,13.79,NA,NA,0.021
"46","7/27/2017","8:35:32",29.603,741.5,62.1,4.72,346.8,8.07,NA,NA,NA,-854.87,0,3.385,3.39,NA,NA,3.708,13.9,NA,NA,0.029
"47","7/27/2017","8:35:33",29.604,741.5,62,4.72,346.9,8.07,NA,NA,NA,-854.86,0,3.371,3.37,NA,NA,3.722,13.95,NA,NA,0.038
"48","7/27/2017","8:35:34",29.604,741.4,61.9,4.71,346.9,8.08,NA,NA,NA,-854.87,0,3.355,3.36,NA,NA,3.737,14,NA,NA,0.046
"49","7/27/2017","8:35:35",29.604,741.5,61.9,4.71,346.9,8.08,NA,NA,NA,-854.88,0,3.34,3.34,NA,NA,3.742,14.02,NA,NA,0.055
"50","7/27/2017","8:35:36",29.604,741.5,61.8,4.7,346.9,8.08,NA,NA,NA,-854.9,0,3.336,3.34,NA,NA,3.723,13.95,NA,NA,0.064
"51","7/27/2017","8:35:37",29.604,741.5,61.7,4.7,347,8.08,NA,NA,NA,-854.9,0,3.335,3.34,NA,NA,3.712,13.91,NA,NA,0.075
