"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"1","6/6/2017","11:21:40",25.838,741.6,111.1,9.04,265.3,8.55,165.3,1.74,0,-0.31,NA,0.87,NA,0.005,0.1
"2","6/6/2017","11:21:41",25.839,741.5,111.3,9.05,265.3,8.55,165.3,1.68,0,-0.33,NA,0.88,NA,0.006,0
"3","6/6/2017","11:21:42",25.841,741.5,111.7,9.08,265.3,8.55,165.2,1.65,0,-0.36,NA,0.89,NA,0.008,0
"37","6/6/2017","11:22:16",25.858,741.5,114.2,9.28,265.6,8.55,163,1.64,0,-0.41,NA,1.02,NA,0.009,0
"39","6/6/2017","11:22:18",25.859,741.5,114.2,9.29,265.7,8.55,162.9,1.6,0,-0.41,NA,0.91,NA,0.01,0.1
"40","6/6/2017","11:22:19",25.861,741.5,114.2,9.29,265.7,8.55,162.9,1.62,0,-0.41,NA,0.84,NA,0.012,0.1
"41","6/6/2017","11:22:20",25.866,741.5,114.3,9.29,265.7,8.55,162.9,1.64,0,-0.41,NA,0.82,NA,0.014,0.1
"42","6/6/2017","11:22:21",25.869,741.5,114.3,9.29,265.7,8.55,162.8,1.63,0,-0.41,NA,0.84,NA,0.016,0.2
"43","6/6/2017","11:22:22",25.872,741.6,114.3,9.29,265.7,8.55,162.8,1.64,0,-0.41,NA,0.8,NA,0.019,0.2
"44","6/6/2017","11:22:23",25.874,741.5,114.3,9.29,265.7,8.55,162.7,1.64,0,-0.41,NA,0.84,NA,0.023,0.2
"45","6/6/2017","11:22:24",25.878,741.6,114.3,9.29,265.7,8.55,162.6,1.62,0,-0.41,NA,0.86,NA,0.028,0.2
"46","6/6/2017","11:22:25",25.88,741.6,114.4,9.29,265.7,8.55,162.6,1.61,0,-0.4,NA,0.88,NA,0.034,0.2
"47","6/6/2017","11:22:26",25.882,741.5,114.4,9.3,265.7,8.55,162.5,1.61,0,-0.4,NA,0.89,NA,0.042,0.3
"48","6/6/2017","11:22:27",25.884,741.6,114.4,9.3,265.7,8.55,162.5,1.59,0,-0.41,NA,0.93,NA,0.048,0.3
"49","6/6/2017","11:22:28",25.887,741.5,114.4,9.3,265.7,8.55,162.4,1.59,0,-0.41,NA,0.96,NA,0.058,0.3
"50","6/6/2017","11:22:29",25.888,741.6,114.4,9.3,265.7,8.55,162.4,1.59,0,-0.41,NA,0.97,NA,0.064,0.3
"51","6/6/2017","11:22:30",25.889,741.6,114.4,9.3,265.7,8.55,162.3,1.6,0,-0.42,NA,1,NA,0.072,0.3
"52","6/6/2017","11:22:31",25.889,741.6,114.4,9.3,265.7,8.55,162.3,1.6,0,-0.41,NA,1,NA,0.08,0.3
"53","6/6/2017","11:22:32",25.89,741.5,114.4,9.3,265.7,8.55,162.2,1.62,0,-0.41,NA,1.02,NA,0.089,0.4
"54","6/6/2017","11:22:33",25.89,741.5,114.4,9.3,265.7,8.55,162.1,1.6,0,-0.41,NA,1.05,NA,0.105,0.5
"55","6/6/2017","11:22:34",25.89,741.5,114.5,9.3,265.7,8.55,162.1,1.61,0,-0.42,NA,1.06,NA,0.116,0.5
"56","6/6/2017","11:22:35",25.89,741.6,114.5,9.3,265.7,8.55,162,1.6,0,-0.41,NA,1.07,NA,0.13,0.6
"57","6/6/2017","11:22:36",25.891,741.5,114.4,9.3,265.7,8.55,161.9,1.59,0,-0.41,NA,1.12,NA,0.145,0.6
"58","6/6/2017","11:22:37",25.891,741.5,114.5,9.3,265.7,8.55,161.9,1.57,0,-0.41,NA,1.11,NA,0.166,0.6
"59","6/6/2017","11:22:38",25.891,741.5,114.5,9.3,265.7,8.55,161.8,1.57,0,-0.41,NA,1.1,NA,0.181,0.6
"60","6/6/2017","11:22:39",25.891,741.5,114.5,9.3,265.7,8.55,161.7,1.56,0,-0.41,NA,1.15,NA,0.193,0.6
"61","6/6/2017","11:22:40",25.891,741.8,114.5,9.3,265.7,8.56,161.7,1.57,0,-0.41,NA,1.16,NA,0.208,0.6
"62","6/6/2017","11:22:41",25.891,741.6,114.5,9.3,265.7,8.56,161.6,1.59,0,-0.4,NA,1.2,NA,0.227,0.6
"63","6/6/2017","11:22:42",25.892,741.6,114.5,9.3,265.7,8.56,161.5,1.61,0,-0.39,NA,1.25,NA,0.243,0.6
"64","6/6/2017","11:22:43",25.892,741.6,114.5,9.3,265.7,8.56,161.5,1.6,0,-0.39,NA,1.26,NA,0.259,0.6
"65","6/6/2017","11:22:44",25.892,741.5,114.5,9.3,265.7,8.56,161.4,1.61,0,-0.39,NA,1.24,NA,0.276,0.7
"66","6/6/2017","11:22:45",25.892,741.6,114.5,9.3,265.7,8.56,161.4,1.61,0,-0.39,NA,1.23,NA,0.297,0.7
"67","6/6/2017","11:22:46",25.892,741.6,114.5,9.3,265.7,8.56,161.3,1.6,0,-0.4,NA,1.21,NA,0.314,0.7
"68","6/6/2017","11:22:47",25.892,741.6,114.5,9.31,265.8,8.56,161.3,1.61,0,-0.4,NA,1.16,NA,0.331,0.7
"69","6/6/2017","11:22:48",25.892,741.5,114.5,9.31,265.8,8.56,161.3,1.62,0,-0.41,NA,1.19,NA,0.349,0.7
"70","6/6/2017","11:22:49",25.892,741.6,114.6,9.31,265.8,8.56,161.2,1.62,0,-0.41,NA,1.22,NA,0.371,0.7
"71","6/6/2017","11:22:50",25.892,741.6,114.6,9.31,265.8,8.56,161.2,1.64,0,-0.43,NA,1.2,NA,0.39,0.7
"72","6/6/2017","11:22:51",25.892,741.6,114.6,9.31,265.8,8.56,161.2,1.65,0,-0.43,NA,1.22,NA,0.409,0.8
"73","6/6/2017","11:22:52",25.892,741.6,114.6,9.31,265.8,8.56,161.1,1.69,0,-0.43,NA,1.21,NA,0.429,0.8
"74","6/6/2017","11:22:53",25.892,741.6,114.6,9.31,265.8,8.56,161.1,1.69,0,-0.42,NA,1.19,NA,0.449,0.8
"75","6/6/2017","11:22:54",25.892,741.6,114.6,9.31,265.7,8.56,161.1,1.7,0,-0.42,NA,1.17,NA,0.473,0.8
"76","6/6/2017","11:22:55",25.892,741.6,114.6,9.31,265.7,8.56,161.1,1.68,0,-0.42,NA,1.18,NA,0.492,0.8
"77","6/6/2017","11:22:56",25.892,741.6,114.6,9.31,265.7,8.56,161,1.69,0,-0.41,NA,1.21,NA,0.511,0.8
"78","6/6/2017","11:22:57",25.892,741.6,114.6,9.31,265.7,8.56,161,1.7,0,-0.41,NA,1.24,NA,0.53,0.8
"79","6/6/2017","11:22:58",25.892,741.6,114.6,9.31,265.7,8.56,161,1.7,0,-0.41,NA,1.29,NA,0.552,0.8
"80","6/6/2017","11:22:59",25.892,741.5,114.6,9.31,265.7,8.57,160.9,1.7,0,-0.42,NA,1.25,NA,0.569,0.9
"81","6/6/2017","11:23:00",25.892,741.5,114.6,9.31,265.7,8.57,160.9,1.71,0,-0.43,NA,1.25,NA,0.587,0.9
"82","6/6/2017","11:23:01",25.892,741.6,114.6,9.31,265.7,8.57,160.9,1.68,0,-0.44,NA,1.25,NA,0.609,0.9
"83","6/6/2017","11:23:02",25.892,741.5,114.6,9.31,265.7,8.57,160.9,1.68,0,-0.44,NA,1.22,NA,0.626,0.9
"84","6/6/2017","11:23:03",25.892,741.5,114.6,9.31,265.7,8.57,160.9,1.68,0,-0.45,NA,1.21,NA,0.642,0.9
"85","6/6/2017","11:23:04",25.892,741.5,114.6,9.31,265.7,8.57,160.9,1.67,0,-0.44,NA,1.24,NA,0.657,0.9
"86","6/6/2017","11:23:05",25.892,741.6,114.6,9.31,265.7,8.57,160.8,1.65,0,-0.43,NA,1.25,NA,0.672,0.9
"87","6/6/2017","11:23:06",25.892,741.6,114.6,9.31,265.7,8.57,160.8,1.64,0,-0.44,NA,1.26,NA,0.69,0.9
"88","6/6/2017","11:23:07",25.893,741.5,114.7,9.31,265.7,8.57,160.8,1.63,0,-0.42,NA,1.26,NA,0.706,0.9
"89","6/6/2017","11:23:08",25.893,741.5,114.7,9.32,265.7,8.57,160.8,1.64,0,-0.43,NA,1.27,NA,0.721,0.9
"90","6/6/2017","11:23:09",25.893,741.5,114.7,9.32,265.7,8.57,160.8,1.62,0,-0.42,NA,1.28,NA,0.737,1
"91","6/6/2017","11:23:10",25.893,741.6,114.6,9.31,265.7,8.57,160.8,1.63,0,-0.41,NA,1.3,NA,0.753,1
"92","6/6/2017","11:23:11",25.893,741.6,114.7,9.31,265.7,8.57,160.8,1.63,0,-0.41,NA,1.28,NA,0.765,1
"93","6/6/2017","11:23:12",25.893,741.6,114.7,9.31,265.7,8.57,160.8,1.63,0,-0.42,NA,1.29,NA,0.776,1
"94","6/6/2017","11:23:13",25.893,741.6,114.7,9.32,265.7,8.57,160.8,1.63,0,-0.42,NA,1.33,NA,0.787,1
"95","6/6/2017","11:23:14",25.893,741.5,114.7,9.32,265.7,8.57,160.8,1.63,0,-0.42,NA,1.35,NA,0.799,1
"96","6/6/2017","11:23:15",25.893,741.6,114.7,9.32,265.7,8.57,160.8,1.65,0,-0.42,NA,1.36,NA,0.81,1
