Date,Time,DEP.m,X.C,DO_percent,DO_mgpL,pH,ORP,PC,CHL
8/17/2017,8:45:00,0,27,67.1,5.3,7.64,234.5,-2.06,3.25
8/17/2017,8:45:00,1,27.1,65.9,5.2,7.68,234.5,-2.06,3.7
8/17/2017,8:45:00,2,27.1,65.5,5.2,7.68,236.3,-2.13,3.44
8/17/2017,8:45:00,3,27.1,65.6,5.2,7.66,239,-2.11,3.42
8/17/2017,8:45:00,4,27.1,65.8,5.2,7.64,241.1,-2.16,3.31
8/17/2017,8:45:00,6,27.1,66.2,5.3,7.66,242.3,-2.18,3.64
8/17/2017,8:45:00,8,27.1,66.3,5.3,7.66,243.8,-2.16,3.56
8/17/2017,8:45:00,10,27.1,67.3,5.3,7.66,245.1,-2.15,3.56
8/17/2017,8:45:00,12,27.1,67.4,5.4,7.67,246.1,-2.14,3.92
8/17/2017,8:45:00,14,27.1,67.5,5.4,7.69,247.2,-2.13,3.77
8/17/2017,8:45:00,15,26.4,40.7,3.3,7.63,255,-2.49,1.58
