Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m
7/12/2017,18:29:48,31.8,730.3,83.6,6.13,58,7.15,207.6,1.12,0,-0.5,,7.74,,0.5
7/12/2017,18:30:03,31.7,730.4,80.5,5.92,58.1,6.89,212.5,1.11,0,-0.54,,7.35,,1
7/12/2017,18:30:19,29.4,730.3,69.9,5.34,59.5,6.87,217.5,1.29,0,-0.53,,9.57,,1.5
7/12/2017,18:31:20,28.8,730.4,48.7,3.76,57.8,6.79,221,1.67,0,-0.48,,13.65,,2
7/12/2017,18:31:40,25.9,730.4,18.7,1.52,58.7,6.73,221.9,2.48,0,-0.38,,26.03,,2.5
7/12/2017,18:31:55,23.1,730.3,8.6,0.73,59.9,6.72,220.4,2.83,0,-0.29,,27.8,,3
7/12/2017,18:32:11,19.7,730.3,6.7,0.61,59.2,6.69,220.2,2.16,0,-0.02,,33.34,,3.5
7/12/2017,18:32:37,17.7,730.3,4.2,0.4,56.9,6.69,219.2,3.5,0,1.1,,57.74,,4
7/12/2017,18:32:51,15.5,730.4,7.3,0.72,61.1,6.64,221.3,8.14,0,2.42,,49.77,,4.5
7/12/2017,18:33:16,14.1,730.4,2.5,0.26,95.4,6.48,225.1,7.6,0,1.58,,21.41,,5
7/12/2017,18:33:33,13.5,730.3,1.8,0.19,107.2,6.4,203.5,6.24,0,1.25,,18.23,,5.5
7/12/2017,18:34:01,12.8,730.4,1.4,0.15,131.1,6.31,139.9,146.32,0,1.28,,6.04,,5.7
