"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"39","6/7/2017","10:36:57",24.144,748,169.5,14.22,189.3,9.33,111.7,8.1,0,1.16,NA,11.47,NA,0,0.1
"40","6/7/2017","10:36:58",24.145,747.9,169.5,14.23,189.6,9.33,111.6,8.12,0,1.17,NA,11.62,NA,0.002,0.1
"41","6/7/2017","10:36:59",24.146,748,169.6,14.23,190.2,9.34,111.6,8.1,0,1.19,NA,11.8,NA,0.004,0.1
"42","6/7/2017","10:37:00",24.147,747.9,169.6,14.23,190.3,9.34,111.6,8.12,0,1.21,NA,11.97,NA,0.007,0.1
"43","6/7/2017","10:37:01",24.148,748,169.6,14.23,190.4,9.34,111.5,8.12,0,1.22,NA,12.27,NA,0.011,0.2
"44","6/7/2017","10:37:02",24.149,748,169.6,14.24,190.4,9.34,111.5,8.13,0,1.22,NA,12.41,NA,0.018,0.2
"45","6/7/2017","10:37:03",24.15,747.9,169.7,14.24,190.4,9.34,111.5,8.14,0,1.23,NA,12.64,NA,0.026,0.3
"46","6/7/2017","10:37:04",24.152,748,169.7,14.24,190.4,9.34,111.5,8.14,0,1.22,NA,12.89,NA,0.033,0.3
"47","6/7/2017","10:37:05",24.154,748,169.7,14.24,190.4,9.34,111.4,8.14,0,1.23,NA,13.09,NA,0.039,0.2
"48","6/7/2017","10:37:06",24.155,748,169.7,14.24,190.4,9.34,111.4,8.15,0,1.24,NA,13.26,NA,0.044,0.2
"49","6/7/2017","10:37:07",24.157,747.9,169.7,14.24,190.4,9.34,111.4,8.15,0,1.26,NA,13.41,NA,0.051,0.3
"50","6/7/2017","10:37:08",24.158,748,169.8,14.25,190.4,9.34,111.4,8.15,0,1.28,NA,13.65,NA,0.061,0.3
"51","6/7/2017","10:37:09",24.158,748,169.8,14.25,190.4,9.35,111.4,8.15,0,1.3,NA,17.82,NA,0.07,0.4
"52","6/7/2017","10:37:10",24.159,747.9,169.8,14.25,190.4,9.35,111.4,8.15,0,1.33,NA,17.47,NA,0.079,0.4
"53","6/7/2017","10:37:11",24.159,747.9,169.9,14.25,190.4,9.35,111.4,8.17,0,1.35,NA,17.6,NA,0.089,0.4
"54","6/7/2017","10:37:12",24.159,747.9,169.9,14.25,190.4,9.35,111.4,8.18,0,1.38,NA,18.42,NA,0.102,0.4
"55","6/7/2017","10:37:13",24.158,747.9,170,14.26,190.4,9.35,111.4,8.19,0,1.4,NA,18.36,NA,0.113,0.4
"56","6/7/2017","10:37:14",24.158,748,170,14.26,190.4,9.35,111.3,8.18,0,1.43,NA,18.14,NA,0.124,0.5
"57","6/7/2017","10:37:15",24.157,747.9,170.1,14.27,190.4,9.35,111.3,8.18,0,1.44,NA,17.98,NA,0.137,0.5
"58","6/7/2017","10:37:16",24.156,748,170.1,14.27,190.4,9.35,111.3,8.18,0,1.45,NA,18,NA,0.153,0.5
"59","6/7/2017","10:37:17",24.155,747.9,170.2,14.28,190.4,9.35,111.3,8.17,0,1.46,NA,18.14,NA,0.167,0.6
"60","6/7/2017","10:37:18",24.152,747.9,170.2,14.28,190.4,9.35,111.3,8.17,0,1.49,NA,18.41,NA,0.181,0.6
"61","6/7/2017","10:37:19",24.151,747.9,170.3,14.29,190.4,9.35,111.3,8.19,0,1.51,NA,18.71,NA,0.197,0.6
