"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"2","7/18/2017","15:19:59",31.338,736.9,129.7,9.57,630,8.54,95.1,-859.64,0,0.31,NA,4,NA,0.143,0.2
"3","7/18/2017","15:20:00",31.338,736.9,129.8,9.58,630,8.54,95.2,-859.65,0,0.32,NA,4.06,NA,0.144,0.2
"4","7/18/2017","15:20:01",31.337,736.9,129.9,9.58,630,8.54,95.3,-859.66,0,0.32,NA,4.05,NA,0.145,0.2
"5","7/18/2017","15:20:02",31.336,736.9,130,9.59,630,8.54,95.3,-859.64,0,0.34,NA,4.06,NA,0.146,0.2
"8","7/18/2017","15:20:05",31.334,736.9,130.2,9.6,629,8.55,95.7,-859.66,0,0.32,NA,4.09,NA,0.147,0.2
"10","7/18/2017","15:20:07",31.334,736.9,130.3,9.61,629,8.55,95.9,-859.65,0,0.32,NA,4.11,NA,0.148,0.2
"11","7/18/2017","15:20:08",31.334,737,130.3,9.61,629,8.55,96.1,-859.66,0,0.32,NA,4.13,NA,0.149,0.2
"12","7/18/2017","15:20:09",31.335,736.9,130.3,9.61,629,8.55,96.2,-859.67,0,0.34,NA,4.09,NA,0.153,0.2
"13","7/18/2017","15:20:10",31.335,736.9,130.4,9.62,629,8.55,96.3,-859.66,0,0.33,NA,4.08,NA,0.159,0.2
"14","7/18/2017","15:20:11",31.335,736.9,130.4,9.62,629,8.55,96.5,-859.68,0,0.33,NA,4.07,NA,0.164,0.2
"15","7/18/2017","15:20:12",31.335,737,130.4,9.62,629,8.55,96.6,-859.68,0,0.34,NA,4.06,NA,0.168,0.2
"16","7/18/2017","15:20:13",31.336,736.8,130.4,9.62,629,8.55,96.8,-859.67,0,0.34,NA,4,NA,0.171,0.2
"17","7/18/2017","15:20:14",31.336,736.9,130.5,9.62,629,8.55,96.9,-859.66,0,0.35,NA,4,NA,0.173,0.3
"18","7/18/2017","15:20:15",31.337,736.8,130.5,9.62,629,8.55,97.1,-859.66,0,0.34,NA,4.06,NA,0.178,0.3
"19","7/18/2017","15:20:16",31.338,736.9,130.5,9.62,629,8.55,97.3,-859.66,0,0.33,NA,4.07,NA,0.182,0.4
"20","7/18/2017","15:20:17",31.339,736.8,130.5,9.63,629,8.55,97.5,-859.69,0,0.34,NA,4.09,NA,0.188,0.4
"21","7/18/2017","15:20:18",31.339,736.9,130.5,9.63,629,8.55,97.6,-859.69,0,0.34,NA,4.09,NA,0.193,0.4
"22","7/18/2017","15:20:19",31.34,737,130.5,9.63,629,8.55,97.8,-859.69,0,0.34,NA,4.08,NA,0.2,0.4
"23","7/18/2017","15:20:20",31.34,736.8,130.5,9.63,629,8.55,98,-859.68,0,0.34,NA,4.12,NA,0.206,0.4
"24","7/18/2017","15:20:21",31.34,737,130.6,9.63,629,8.55,98.1,-859.69,0,0.33,NA,4.12,NA,0.213,0.4
"25","7/18/2017","15:20:22",31.34,736.8,130.6,9.63,629,8.55,98.3,-859.7,0,0.33,NA,4.15,NA,0.22,0.4
"26","7/18/2017","15:20:23",31.34,736.8,130.6,9.63,629,8.55,98.4,-859.69,0,0.34,NA,4.16,NA,0.229,0.4
"27","7/18/2017","15:20:24",31.339,736.8,130.5,9.63,629,8.55,98.6,-859.68,0,0.35,NA,4.18,NA,0.236,0.4
"28","7/18/2017","15:20:25",31.339,736.9,130.6,9.63,629,8.56,98.8,-859.69,0,0.36,NA,4.21,NA,0.243,0.4
"29","7/18/2017","15:20:26",31.339,736.8,130.6,9.63,629,8.56,98.9,-859.67,0,0.36,NA,4.22,NA,0.251,0.5
"30","7/18/2017","15:20:27",31.339,736.9,130.6,9.63,629,8.56,99.1,-859.66,0,0.36,NA,4.25,NA,0.258,0.4
"31","7/18/2017","15:20:28",31.339,736.9,130.6,9.63,629,8.56,99.2,-859.66,0,0.35,NA,4.27,NA,0.266,0.4
"32","7/18/2017","15:20:29",31.339,737,130.6,9.63,629,8.56,99.4,-859.67,0,0.35,NA,4.25,NA,0.274,0.4
"33","7/18/2017","15:20:30",31.339,737,130.6,9.63,629,8.56,99.5,-859.66,0,0.35,NA,4.3,NA,0.281,0.4
"34","7/18/2017","15:20:31",31.338,736.9,130.5,9.63,629,8.56,99.7,-859.65,0,0.35,NA,4.3,NA,0.288,0.4
"35","7/18/2017","15:20:32",31.337,736.9,130.5,9.63,629,8.56,99.8,-859.64,0,0.35,NA,4.35,NA,0.297,0.5
"36","7/18/2017","15:20:33",31.337,736.8,130.5,9.63,629,8.56,100,-859.66,0,0.35,NA,4.37,NA,0.304,0.5
"37","7/18/2017","15:20:34",31.337,736.9,130.5,9.63,629,8.56,100.1,-859.67,0,0.37,NA,4.36,NA,0.311,0.5
"38","7/18/2017","15:20:35",31.336,736.8,130.5,9.63,629,8.56,100.3,-859.65,0,0.37,NA,4.37,NA,0.318,0.5
"39","7/18/2017","15:20:36",31.336,736.8,130.6,9.63,629,8.56,100.4,-859.65,0,0.37,NA,4.31,NA,0.328,0.5
"40","7/18/2017","15:20:37",31.337,736.8,130.6,9.63,629,8.56,100.6,-859.65,0,0.37,NA,4.33,NA,0.335,0.5
"41","7/18/2017","15:20:38",31.337,736.9,130.6,9.63,629,8.56,100.8,-859.66,0,0.37,NA,4.31,NA,0.342,0.5
"42","7/18/2017","15:20:39",31.336,736.9,130.6,9.63,629,8.56,100.9,-859.65,0,0.38,NA,4.3,NA,0.35,0.5
"43","7/18/2017","15:20:40",31.335,736.9,130.6,9.63,629,8.56,101,-859.66,0,0.39,NA,4.37,NA,0.357,0.5
"44","7/18/2017","15:20:41",31.335,736.9,130.6,9.63,629,8.56,101.2,-859.65,0,0.4,NA,4.32,NA,0.368,0.5
"45","7/18/2017","15:20:42",31.334,736.8,130.6,9.63,629,8.56,101.4,-859.66,0,0.39,NA,4.34,NA,0.377,0.5
"46","7/18/2017","15:20:43",31.334,737,130.6,9.63,629,8.56,101.5,-859.66,0,0.4,NA,4.28,NA,0.386,0.5
"47","7/18/2017","15:20:44",31.334,736.8,130.6,9.63,629,8.56,101.6,-859.66,0,0.4,NA,4.23,NA,0.398,0.5
"48","7/18/2017","15:20:45",31.334,736.9,130.6,9.63,629,8.56,101.8,-859.66,0,0.4,NA,4.25,NA,0.407,0.5
"49","7/18/2017","15:20:46",31.334,736.9,130.6,9.64,629,8.56,101.9,-859.67,0,0.41,NA,4.22,NA,0.416,0.5
