"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NH4.N.mg.L","NO3.N.mg.L","Cl.mg.L","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","BGA.PE.RFU","BGA.PE.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"39","11/14/2014","16:35:54",30.359,743,96.9,7.27,351.8,8.18,NA,NA,NA,-859.95,0,-0.415,-0.42,NA,NA,0.365,1.39,NA,NA,0
"40","11/14/2014","16:35:55",30.362,742.9,96.9,7.27,359.4,8.18,NA,NA,NA,-859.94,0,-0.417,-0.42,NA,NA,0.355,1.36,NA,NA,0.003
"41","11/14/2014","16:35:56",30.364,742.8,96.9,7.27,362.4,8.19,NA,NA,NA,-859.93,0,-0.416,-0.42,NA,NA,0.365,1.39,NA,NA,0.006
"42","11/14/2014","16:35:57",30.366,742.8,96.9,7.27,365.8,8.19,NA,NA,NA,-859.92,0,-0.423,-0.42,NA,NA,0.35,1.34,NA,NA,0.009
"43","11/14/2014","16:35:58",30.367,742.8,96.9,7.27,370.5,8.19,NA,NA,NA,-859.9,0,-0.427,-0.43,NA,NA,0.358,1.37,NA,NA,0.014
"44","11/14/2014","16:35:59",30.368,742.9,96.8,7.27,376.4,8.2,NA,NA,NA,-859.89,0,-0.431,-0.43,NA,NA,0.356,1.36,NA,NA,0.02
"45","11/14/2014","16:36:00",30.366,742.7,96.8,7.26,383,8.2,NA,NA,NA,-859.87,0,-0.429,-0.43,NA,NA,0.37,1.41,NA,NA,0.029
"46","11/14/2014","16:36:01",30.363,742.8,96.8,7.26,386.9,8.21,NA,NA,NA,-859.86,0,-0.425,-0.42,NA,NA,0.367,1.4,NA,NA,0.038
"47","11/14/2014","16:36:02",30.358,742.8,96.7,7.26,387.5,8.21,NA,NA,NA,-859.85,0,-0.435,-0.44,NA,NA,0.389,1.48,NA,NA,0.049
"48","11/14/2014","16:36:03",30.352,742.8,96.7,7.26,389.3,8.21,NA,NA,NA,-859.85,0,-0.425,-0.42,NA,NA,0.398,1.52,NA,NA,0.06
"49","11/14/2014","16:36:04",30.344,742.8,96.6,7.25,389.8,8.22,NA,NA,NA,-859.83,0,-0.42,-0.42,NA,NA,0.405,1.54,NA,NA,0.071
"50","11/14/2014","16:36:05",30.33,742.8,96.6,7.25,389.9,8.22,NA,NA,NA,-859.83,0,-0.417,-0.42,NA,NA,0.418,1.59,NA,NA,0.086
"51","11/14/2014","16:36:06",30.316,742.8,96.5,7.25,389.9,8.22,NA,NA,NA,-859.83,0,-0.413,-0.41,NA,NA,0.429,1.63,NA,NA,0.098
"52","11/14/2014","16:36:07",30.296,742.7,96.5,7.25,390,8.23,NA,NA,NA,-859.84,0,-0.411,-0.41,NA,NA,0.431,1.64,NA,NA,0.111
"53","11/14/2014","16:36:08",30.28,742.8,96.4,7.24,389.9,8.23,NA,NA,NA,-859.84,0,-0.399,-0.4,NA,NA,0.454,1.73,NA,NA,0.124
"54","11/14/2014","16:36:09",30.261,742.8,96.3,7.24,389.9,8.23,NA,NA,NA,-859.84,0,-0.382,-0.38,NA,NA,0.464,1.77,NA,NA,0.14
"55","11/14/2014","16:36:10",30.244,742.8,96.2,7.24,389.9,8.24,NA,NA,NA,-859.84,0,-0.387,-0.39,NA,NA,0.474,1.8,NA,NA,0.154
"56","11/14/2014","16:36:11",30.219,742.7,96.1,7.23,389.9,8.24,NA,NA,NA,-859.83,0,-0.387,-0.39,NA,NA,0.479,1.82,NA,NA,0.169
"57","11/14/2014","16:36:12",30.196,742.8,96,7.23,389.9,8.24,NA,NA,NA,-859.84,0,-0.39,-0.39,NA,NA,0.49,1.86,NA,NA,0.185
"58","11/14/2014","16:36:13",30.171,742.7,95.9,7.22,389.9,8.24,NA,NA,NA,-859.84,0,-0.379,-0.38,NA,NA,0.482,1.83,NA,NA,0.202
"59","11/14/2014","16:36:14",30.15,742.8,95.8,7.22,389.9,8.24,NA,NA,NA,-859.86,0,-0.372,-0.37,NA,NA,0.489,1.86,NA,NA,0.222
"60","11/14/2014","16:36:15",30.13,742.8,95.7,7.21,389.9,8.25,NA,NA,NA,-859.86,0,-0.375,-0.38,NA,NA,0.496,1.88,NA,NA,0.239
"61","11/14/2014","16:36:16",30.106,742.9,95.6,7.2,389.9,8.25,NA,NA,NA,-859.88,0,-0.373,-0.37,NA,NA,0.499,1.9,NA,NA,0.258
"62","11/14/2014","16:36:17",30.08,742.8,95.5,7.2,389.9,8.25,NA,NA,NA,-859.87,0,-0.356,-0.36,NA,NA,0.507,1.92,NA,NA,0.277
"63","11/14/2014","16:36:18",30.06,742.7,95.3,7.19,389.8,8.25,NA,NA,NA,-859.86,0,-0.354,-0.35,NA,NA,0.521,1.98,NA,NA,0.301
"64","11/14/2014","16:36:19",30.039,742.7,95.2,7.18,389.8,8.25,NA,NA,NA,-859.87,0,-0.347,-0.35,NA,NA,0.531,2.02,NA,NA,0.322
"65","11/14/2014","16:36:20",30.021,742.8,95,7.17,389.8,8.26,NA,NA,NA,-859.86,0,-0.353,-0.35,NA,NA,0.543,2.06,NA,NA,0.344
"66","11/14/2014","16:36:21",30.003,742.8,94.9,7.16,389.8,8.26,NA,NA,NA,-859.83,0,-0.339,-0.34,NA,NA,0.558,2.11,NA,NA,0.372
"67","11/14/2014","16:36:22",29.98,742.8,94.8,7.16,389.8,8.26,NA,NA,NA,-859.8,0,-0.342,-0.34,NA,NA,0.554,2.1,NA,NA,0.396
"68","11/14/2014","16:36:23",29.96,742.7,94.6,7.15,389.8,8.26,NA,NA,NA,-859.78,0,-0.342,-0.34,NA,NA,0.563,2.13,NA,NA,0.422
"69","11/14/2014","16:36:24",29.944,742.7,94.5,7.14,389.8,8.26,NA,NA,NA,-859.76,0,-0.343,-0.34,NA,NA,0.576,2.18,NA,NA,0.449
"70","11/14/2014","16:36:25",29.932,742.7,94.4,7.14,389.7,8.26,NA,NA,NA,-859.74,0,-0.341,-0.34,NA,NA,0.592,2.24,NA,NA,0.475
"71","11/14/2014","16:36:26",29.921,742.8,94.3,7.13,389.7,8.26,NA,NA,NA,-859.74,0,-0.34,-0.34,NA,NA,0.597,2.26,NA,NA,0.507
"72","11/14/2014","16:36:27",29.912,742.7,94.3,7.13,389.6,8.26,NA,NA,NA,-859.74,0,-0.337,-0.34,NA,NA,0.607,2.3,NA,NA,0.533
"73","11/14/2014","16:36:28",29.9,742.7,94.2,7.13,389.6,8.26,NA,NA,NA,-859.71,0,-0.34,-0.34,NA,NA,0.622,2.36,NA,NA,0.56
"74","11/14/2014","16:36:29",29.895,742.7,94.2,7.12,389.5,8.26,NA,NA,NA,-859.69,0,-0.34,-0.34,NA,NA,0.627,2.37,NA,NA,0.586
"75","11/14/2014","16:36:30",29.892,742.8,94.1,7.12,389.5,8.26,NA,NA,NA,-859.66,0,-0.336,-0.34,NA,NA,0.618,2.34,NA,NA,0.612
"76","11/14/2014","16:36:31",29.889,742.8,94.1,7.12,389.4,8.26,NA,NA,NA,-859.62,0,-0.335,-0.34,NA,NA,0.618,2.34,NA,NA,0.643
"77","11/14/2014","16:36:32",29.884,742.7,94.1,7.12,389.4,8.27,NA,NA,NA,-859.61,0,-0.339,-0.34,NA,NA,0.617,2.34,NA,NA,0.667
"78","11/14/2014","16:36:33",29.881,742.7,94,7.12,389.4,8.27,NA,NA,NA,-859.61,0,-0.338,-0.34,NA,NA,0.634,2.4,NA,NA,0.692
"79","11/14/2014","16:36:34",29.878,742.7,94,7.12,389.3,8.27,NA,NA,NA,-859.61,0,-0.339,-0.34,NA,NA,0.654,2.48,NA,NA,0.717
"80","11/14/2014","16:36:35",29.877,742.8,94,7.12,389.3,8.27,NA,NA,NA,-859.6,0,-0.339,-0.34,NA,NA,0.665,2.51,NA,NA,0.746
"81","11/14/2014","16:36:36",29.876,742.9,94,7.11,389.3,8.27,NA,NA,NA,-859.6,0,-0.339,-0.34,NA,NA,0.665,2.51,NA,NA,0.769
"82","11/14/2014","16:36:37",29.876,742.7,94,7.11,389.2,8.27,NA,NA,NA,-859.61,0,-0.331,-0.33,NA,NA,0.674,2.55,NA,NA,0.792
"83","11/14/2014","16:36:38",29.875,742.7,94,7.11,389.2,8.27,NA,NA,NA,-859.61,0,-0.328,-0.33,NA,NA,0.683,2.58,NA,NA,0.813
"84","11/14/2014","16:36:39",29.873,742.8,94,7.11,389.2,8.27,NA,NA,NA,-859.61,0,-0.333,-0.33,NA,NA,0.685,2.59,NA,NA,0.838
"85","11/14/2014","16:36:40",29.869,742.7,94,7.11,389.2,8.27,NA,NA,NA,-859.6,0,-0.34,-0.34,NA,NA,0.692,2.62,NA,NA,0.858
"86","11/14/2014","16:36:41",29.867,742.7,93.9,7.11,389.2,8.27,NA,NA,NA,-859.58,0,-0.336,-0.34,NA,NA,0.702,2.65,NA,NA,0.877
"87","11/14/2014","16:36:42",29.863,742.8,93.9,7.11,389.2,8.27,NA,NA,NA,-859.58,0,-0.33,-0.33,NA,NA,0.717,2.71,NA,NA,0.896
"88","11/14/2014","16:36:43",29.86,742.7,93.9,7.11,389.3,8.27,NA,NA,NA,-859.6,0,-0.324,-0.32,NA,NA,0.716,2.71,NA,NA,0.918
"89","11/14/2014","16:36:44",29.857,742.7,93.9,7.11,389.3,8.27,NA,NA,NA,-859.59,0,-0.323,-0.32,NA,NA,0.711,2.69,NA,NA,0.937
"90","11/14/2014","16:36:45",29.855,742.7,93.9,7.11,389.2,8.27,NA,NA,NA,-859.61,0,-0.323,-0.32,NA,NA,0.707,2.67,NA,NA,0.956
"91","11/14/2014","16:36:46",29.853,742.7,93.9,7.11,389.2,8.27,NA,NA,NA,-859.61,0,-0.328,-0.33,NA,NA,0.699,2.64,NA,NA,0.976
"92","11/14/2014","16:36:47",29.852,742.7,93.8,7.11,389.3,8.27,NA,NA,NA,-859.61,0,-0.328,-0.33,NA,NA,0.704,2.66,NA,NA,0.995
"93","11/14/2014","16:36:48",29.85,742.9,93.8,7.1,389.3,8.27,NA,NA,NA,-859.62,0,-0.323,-0.32,NA,NA,0.709,2.68,NA,NA,1.017
"94","11/14/2014","16:36:49",29.849,742.8,93.8,7.1,389.3,8.27,NA,NA,NA,-859.61,0,-0.323,-0.32,NA,NA,0.712,2.69,NA,NA,1.035
"95","11/14/2014","16:36:50",29.848,742.7,93.8,7.1,389.3,8.27,NA,NA,NA,-859.61,0,-0.319,-0.32,NA,NA,0.708,2.68,NA,NA,1.052
"96","11/14/2014","16:36:51",29.846,742.7,93.8,7.1,389.3,8.27,NA,NA,NA,-859.61,0,-0.314,-0.31,NA,NA,0.715,2.7,NA,NA,1.069
"97","11/14/2014","16:36:52",29.845,742.7,93.8,7.1,389.3,8.27,NA,NA,NA,-859.57,0,-0.32,-0.32,NA,NA,0.719,2.72,NA,NA,1.09
"98","11/14/2014","16:36:53",29.844,742.7,93.7,7.1,389.3,8.27,NA,NA,NA,-859.56,0,-0.304,-0.3,NA,NA,0.718,2.71,NA,NA,1.108
"99","11/14/2014","16:36:54",29.843,742.8,93.7,7.1,389.3,8.27,NA,NA,NA,-859.56,0,-0.305,-0.31,NA,NA,0.725,2.74,NA,NA,1.125
"100","11/14/2014","16:36:55",29.842,742.7,93.7,7.1,389.3,8.27,NA,NA,NA,-859.56,0,-0.294,-0.29,NA,NA,0.726,2.74,NA,NA,1.141
"101","11/14/2014","16:36:56",29.841,742.7,93.7,7.09,389.3,8.27,NA,NA,NA,-859.55,0,-0.303,-0.3,NA,NA,0.723,2.73,NA,NA,1.16
"102","11/14/2014","16:36:57",29.841,742.8,93.7,7.09,389.3,8.27,NA,NA,NA,-859.54,0,-0.296,-0.3,NA,NA,0.725,2.74,NA,NA,1.175
"103","11/14/2014","16:36:58",29.84,742.8,93.6,7.09,389.3,8.27,NA,NA,NA,-859.54,0,-0.291,-0.29,NA,NA,0.722,2.73,NA,NA,1.19
"104","11/14/2014","16:36:59",29.839,742.9,93.6,7.09,389.3,8.27,NA,NA,NA,-859.53,0,-0.287,-0.29,NA,NA,0.717,2.71,NA,NA,1.203
"105","11/14/2014","16:37:00",29.839,742.8,93.6,7.09,389.3,8.27,NA,NA,NA,-859.54,0,-0.291,-0.29,NA,NA,0.716,2.71,NA,NA,1.218
