Unit ID:,,,,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,,,
Site:,108,,,,,,,,,,,,,,,
Log Interval:,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,,,
Handheld,2, 17E100519,1.0.18,,,,,,,,,,,,,
5P Sonde,4, 17E101337,1.0.35,,,,,,,,,,,,,
pH/ORP,1, 17E101062,3.0.0,,,,,,,,,,,,,
Turbidity,1, 17D108184,3.0.0,,,,,,,,,,,,,
TAL-PC,1, 17D109804,3.0.0,,,,,,,,,,,,,
ODO,1, 17D108766,3.0.0,,,,,,,,,,,,,
CT,1, 17C104840,3.0.5,,,,,,,,,,,,,
Depth,2, 17D108419,3.0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
7/12/2017,19:03:20,26.757,730.8,95,7.61,0.5,6.17,135.8,44.52,0,-0.19,,3.21,,0,0
7/12/2017,19:03:21,26.766,730.7,95,7.61,0.5,6.17,135.9,44.43,0,-0.2,,3.17,,0,0
7/12/2017,19:03:22,32.119,730.7,102.1,7.57,2.8,7.59,69.4,1.5,0,-0.22,,3.98,,0,0
7/12/2017,19:03:23,32.482,730.7,101.8,7.39,8.2,7.46,76.6,1.22,0,-0.25,,5.28,,0,0
7/12/2017,19:03:24,32.412,730.7,102.4,7.42,13.2,7.26,88.2,1.33,0,-0.26,,6.9,,0,0
7/12/2017,19:03:25,32.446,730.7,102.8,7.45,68.9,7.23,93.3,1.07,0,-0.29,,8.47,,0,0
7/12/2017,19:03:26,32.453,730.8,103,7.46,68.8,7.2,94.8,1.13,0,-0.31,,10.16,,0,0
7/12/2017,19:03:27,32.454,730.7,103.2,7.48,69,7.17,96.8,1.18,0,-0.32,,11.74,,0,0
7/12/2017,19:03:28,32.467,730.7,103.4,7.5,68.9,7,98,1.19,0,-0.33,,13.35,,0,0
7/12/2017,19:03:29,32.476,730.7,103.7,7.51,68.9,6.93,107,1.22,0,-0.36,,15.14,,0,0
7/12/2017,19:03:30,32.482,730.7,103.9,7.53,68.9,6.88,107.8,1.22,0,-0.37,,17.02,,0,0
7/12/2017,19:03:31,32.486,730.7,104.1,7.54,68.9,6.83,110,1.22,0,-0.39,,18.82,,0,0
7/12/2017,19:03:32,32.49,730.7,104.2,7.55,68.9,6.81,110.3,1.21,0,-0.4,,19.46,,0,0
7/12/2017,19:03:33,32.494,730.7,104.4,7.56,68.9,6.78,111,1.2,0,-0.39,,19.65,,0,0
7/12/2017,19:03:34,32.497,730.8,104.5,7.57,68.9,6.75,111.6,1.22,0,-0.42,,19.87,,0,0
7/12/2017,19:03:35,32.499,730.7,104.6,7.57,68.9,6.73,112.1,1.2,0,-0.43,,20,,0,0
7/12/2017,19:03:36,32.501,730.8,104.7,7.58,68.9,6.72,112.4,1.2,0,-0.44,,20.31,,0,0
7/12/2017,19:03:37,32.502,730.7,104.7,7.59,68.9,6.71,112.8,1.19,0,-0.46,,20.18,,0,0
7/12/2017,19:03:38,32.506,730.7,104.9,7.6,68.9,6.7,113,1.19,0,-0.48,,20.19,,0,0
7/12/2017,19:03:39,32.513,730.8,105.1,7.61,68.9,6.7,113.3,1.19,0,-0.48,,20.26,,0,0
7/12/2017,19:03:40,32.517,730.7,105.3,7.62,68.9,6.69,113.5,1.2,0,-0.49,,20.37,,0,0
7/12/2017,19:03:41,32.519,730.8,105.4,7.63,68.9,6.69,113.6,1.18,0,-0.49,,20.29,,0,0
7/12/2017,19:03:42,32.519,730.7,105.5,7.64,68.9,6.68,113.7,1.19,0,-0.48,,20.29,,0,0
7/12/2017,19:03:43,32.519,730.7,105.6,7.64,68.9,6.68,113.7,1.17,0,-0.49,,20.65,,0,0
7/12/2017,19:03:44,32.519,730.7,105.6,7.65,68.9,6.68,113.8,1.18,0,-0.48,,20.87,,0,0
7/12/2017,19:03:45,32.519,730.7,105.7,7.65,68.9,6.68,113.8,1.17,0,-0.5,,20.99,,0,0
7/12/2017,19:03:46,32.518,730.8,105.8,7.66,68.9,6.68,113.8,1.16,0,-0.51,,21.48,,0,0
7/12/2017,19:03:47,32.517,730.8,105.8,7.66,68.9,6.68,113.9,1.18,0,-0.5,,21.33,,0,0
7/12/2017,19:03:48,32.516,730.7,105.9,7.67,68.9,6.68,113.9,1.18,0,-0.5,,21.53,,0,0
7/12/2017,19:03:49,32.518,730.8,105.9,7.67,68.9,6.68,113.9,1.18,0,-0.51,,22.07,,0,0
7/12/2017,19:03:50,32.52,730.7,106,7.67,68.9,6.68,114,1.19,0,-0.5,,22.2,,0,0
7/12/2017,19:03:51,32.522,730.8,106,7.68,68.9,6.68,114,1.18,0,-0.5,,22.14,,0,0
7/12/2017,19:03:52,32.522,730.8,106.1,7.68,68.9,6.68,114.1,1.18,0,-0.51,,22.5,,0,0
7/12/2017,19:03:53,32.523,730.7,106.1,7.68,68.8,6.68,114.1,1.18,0,-0.51,,22.62,,0,0
7/12/2017,19:03:54,32.526,730.8,106.1,7.68,68.8,6.68,114.1,1.18,0,-0.5,,22.23,,0,0
7/12/2017,19:03:55,32.529,730.7,106.2,7.69,68.8,6.68,114.3,1.19,0,-0.5,,22.24,,0,0
7/12/2017,19:03:56,32.533,730.7,106.2,7.69,68.8,6.68,114.5,1.19,0,-0.5,,22.18,,0,0
7/12/2017,19:03:57,32.538,730.7,106.2,7.69,68.8,6.68,114.7,1.18,0,-0.49,,22.16,,0,0
7/12/2017,19:03:58,32.542,730.7,106.2,7.69,68.8,6.68,114.7,1.19,0,-0.5,,22.1,,0,0
7/12/2017,19:03:59,32.547,730.8,106.3,7.69,68.8,6.68,114.8,1.18,0,-0.5,,22.2,,0,0
7/12/2017,19:04:00,32.552,730.7,106.3,7.69,68.8,6.69,114.8,1.19,0,-0.5,,21.9,,0,0
7/12/2017,19:04:01,32.556,730.7,106.3,7.69,68.8,6.69,114.9,1.19,0,-0.5,,21.77,,0,0
7/12/2017,19:04:02,32.559,730.7,106.3,7.69,68.8,6.69,114.9,1.18,0,-0.51,,22.14,,0,0
