Date,Time,DEP.m,X.C,DO_percent,DO_mgpL,pH,ORP,PC,CHL
8/17/2017,15:00:00,0,26.3,86.2,6.95,8.03,176.8,-1.88,4.68
8/17/2017,15:00:00,2,26.3,85.7,6.91,8.07,178.3,-1.71,5.43
8/17/2017,15:00:00,4,26.2,83,6.73,8.04,182.7,-1.73,5.45
8/17/2017,15:00:00,6,26.2,81.5,6.59,8.02,186.8,-1.74,5.92
8/17/2017,15:00:00,8,26.2,80,6.48,7.99,192,-1.76,5.84
8/17/2017,15:00:00,9,26.1,78.9,6.42,7.96,197.6,-1.91,5.16
8/17/2017,15:00:00,9.5,22.6,3,0.24,7.37,206.7,-2.32,1.9
8/17/2017,15:00:00,10,20.6,1.7,0.14,7.27,206.9,-2.23,2.21
8/17/2017,15:00:00,10.5,19.7,1.3,0.11,7.15,194.3,-2.26,2.04
8/17/2017,15:00:00,11,18.8,0.9,0.08,7.06,132.5,-1.99,2.48
8/17/2017,15:00:00,11.5,18.6,0.8,0.08,7.05,41,-1.97,2.46
8/17/2017,15:00:00,12,18.2,0.8,0.07,7.05,-14,-1.99,2.48
8/17/2017,15:00:00,13,17.6,0.6,0.06,7.01,-68.9,-1.95,2.54
8/17/2017,15:00:00,14,17.5,0.5,0.05,6.98,-101.9,-1.72,2.64
