"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"55","6/20/2017","12:42:00",28.529,752,149.8,11.61,55.7,9.34,182.7,10.07,0,3.45,NA,20.19,NA,0,0.4
"56","6/20/2017","12:42:01",28.515,752,149.4,11.59,55.4,9.34,182.9,10.1,0,3.5,NA,19.18,NA,0.007,0.4
"57","6/20/2017","12:42:02",28.501,752,149,11.56,55.2,9.33,183,10.26,0,3.56,NA,18.45,NA,0.022,0.4
"58","6/20/2017","12:42:03",28.478,752,148.7,11.54,55.1,9.33,183.2,10.3,0,3.61,NA,19.97,NA,0.037,0.4
"59","6/20/2017","12:42:04",28.45,751.9,148.4,11.52,55,9.33,183.4,10.35,0,3.66,NA,18.5,NA,0.055,0.4
"60","6/20/2017","12:42:05",28.44,752,148.2,11.51,54.9,9.33,183.5,10.4,0,3.7,NA,18.39,NA,0.07,0.4
"61","6/20/2017","12:42:06",28.42,752,147.9,11.49,54.8,9.33,183.6,10.47,0,3.73,NA,18.41,NA,0.085,0.4
"62","6/20/2017","12:42:07",28.38,752,147.7,11.48,54.8,9.33,183.7,10.48,0,3.76,NA,24.34,NA,0.103,0.4
"63","6/20/2017","12:42:08",28.36,752,147.5,11.47,54.7,9.33,183.8,10.57,0,3.79,NA,18.84,NA,0.118,0.4
"64","6/20/2017","12:42:09",28.344,752,147.3,11.46,54.7,9.33,183.8,10.66,0,3.79,NA,24.57,NA,0.133,0.4
"65","6/20/2017","12:42:10",28.339,752,147.1,11.44,54.7,9.33,183.8,10.67,0,3.8,NA,21.84,NA,0.148,0.4
"66","6/20/2017","12:42:11",28.331,752,146.9,11.43,54.7,9.33,183.8,10.67,0,3.81,NA,21.84,NA,0.166,0.4
"67","6/20/2017","12:42:12",28.321,752,146.5,11.41,54.6,9.33,183.8,10.73,0,3.83,NA,21.77,NA,0.182,0.4
