"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"1","7/18/2017","17:08:24",31.978,737.3,157.1,11.46,520,8.79,77.5,-853.81,0,1.72,NA,16.21,NA,0.006,0
"2","7/18/2017","17:08:25",31.978,737.2,157.5,11.5,520,8.8,77.1,-853.83,0,1.74,NA,16.26,NA,0.007,0
"3","7/18/2017","17:08:26",31.979,737.2,157.9,11.52,520,8.8,77,-853.85,0,1.76,NA,16.29,NA,0.008,0
"5","7/18/2017","17:08:28",31.979,737.3,158.5,11.57,520,8.81,76.7,-853.97,0,1.8,NA,16.26,NA,0.009,0
"7","7/18/2017","17:08:30",31.979,737.3,159,11.6,520,8.81,76.5,-853.96,0,1.86,NA,16.27,NA,0.01,0
"8","7/18/2017","17:08:31",31.98,737.3,159.1,11.61,520,8.81,76.5,-853.95,0,1.88,NA,16.34,NA,0.011,0
"10","7/18/2017","17:08:33",31.98,737.2,159.4,11.63,520,8.82,76.3,-853.92,0,1.91,NA,16.33,NA,0.012,0
"11","7/18/2017","17:08:34",31.981,737.2,159.6,11.65,520,8.82,76.3,-853.99,0,1.92,NA,16.32,NA,0.013,0
"12","7/18/2017","17:08:35",31.981,737.2,159.7,11.66,520,8.82,76.2,-853.99,0,1.92,NA,16.29,NA,0.014,0
"13","7/18/2017","17:08:36",31.982,737.3,159.8,11.66,520,8.82,76.2,-854.01,0,1.92,NA,16.29,NA,0.015,0
"14","7/18/2017","17:08:37",31.982,737.3,159.9,11.67,520,8.82,76.2,-854.09,0,1.92,NA,16.26,NA,0.016,0
"15","7/18/2017","17:08:38",31.983,737.2,160,11.68,520,8.82,76.2,-854.13,0,1.91,NA,16.31,NA,0.017,0
"17","7/18/2017","17:08:40",31.984,737.2,160.6,11.72,520,8.82,76.2,-854.09,0,1.92,NA,16.38,NA,0.018,0
"18","7/18/2017","17:08:41",31.985,737.2,160.8,11.74,520,8.83,76.1,-854.1,0,1.92,NA,16.44,NA,0.019,0
"19","7/18/2017","17:08:42",31.986,737.3,161.1,11.75,520,8.83,76,-854.14,0,1.92,NA,16.35,NA,0.02,0
"20","7/18/2017","17:08:43",31.987,737.3,161.3,11.77,520,8.83,75.9,-854.17,0,1.93,NA,16.34,NA,0.021,0
"21","7/18/2017","17:08:44",31.988,737.2,161.5,11.78,520,8.83,75.9,-854.27,0,1.92,NA,16.37,NA,0.022,0
"22","7/18/2017","17:08:45",31.99,737.2,161.8,11.81,520,8.84,75.9,-854.32,0,1.94,NA,16.45,NA,0.023,0
"23","7/18/2017","17:08:46",31.991,737.2,162,11.82,520,8.84,75.9,-854.28,0,1.96,NA,16.46,NA,0.025,0
