"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NH4.N.mg.L","NO3.N.mg.L","Cl.mg.L","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","BGA.PE.RFU","BGA.PE.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"68","8/2/2017","9:48:49",28.598,731.9,94.5,7.32,114.3,7.55,NA,NA,NA,-862.3,0,-0.511,-0.51,NA,NA,0.265,1.02,NA,NA,0
"69","8/2/2017","9:48:50",28.599,731.8,94.5,7.32,114.3,7.56,NA,NA,NA,-862.29,0,-0.517,-0.52,NA,NA,0.265,1.02,NA,NA,0.005
"70","8/2/2017","9:48:51",28.599,731.8,94.5,7.32,114.3,7.56,NA,NA,NA,-862.29,0,-0.512,-0.51,NA,NA,0.276,1.06,NA,NA,0.016
"71","8/2/2017","9:48:52",28.599,731.9,94.5,7.32,114.3,7.56,NA,NA,NA,-862.29,0,-0.528,-0.53,NA,NA,0.271,1.04,NA,NA,0.028
"72","8/2/2017","9:48:53",28.598,731.9,94.5,7.32,114.3,7.56,NA,NA,NA,-862.31,0,-0.526,-0.53,NA,NA,0.27,1.04,NA,NA,0.039
"73","8/2/2017","9:48:54",28.598,731.8,94.5,7.32,114.3,7.56,NA,NA,NA,-862.29,0,-0.529,-0.53,NA,NA,0.282,1.08,NA,NA,0.051
"74","8/2/2017","9:48:55",28.597,731.8,94.5,7.32,114.3,7.56,NA,NA,NA,-862.29,0,-0.531,-0.53,NA,NA,0.287,1.1,NA,NA,0.065
"75","8/2/2017","9:48:56",28.597,731.8,94.5,7.32,114.3,7.56,NA,NA,NA,-862.28,0,-0.522,-0.52,NA,NA,0.291,1.12,NA,NA,0.076
"76","8/2/2017","9:48:57",28.596,731.9,94.5,7.32,114.4,7.56,NA,NA,NA,-862.27,0,-0.52,-0.52,NA,NA,0.294,1.13,NA,NA,0.088
"77","8/2/2017","9:48:58",28.596,731.8,94.5,7.32,114.4,7.56,NA,NA,NA,-862.27,0,-0.52,-0.52,NA,NA,0.295,1.13,NA,NA,0.099
"78","8/2/2017","9:48:59",28.595,731.8,94.5,7.32,114.4,7.56,NA,NA,NA,-862.26,0,-0.512,-0.51,NA,NA,0.303,1.16,NA,NA,0.108
"79","8/2/2017","9:49:00",28.593,731.8,94.5,7.32,114.4,7.56,NA,NA,NA,-862.26,0,-0.515,-0.52,NA,NA,0.297,1.14,NA,NA,0.12
"80","8/2/2017","9:49:01",28.591,731.8,94.5,7.32,114.4,7.56,NA,NA,NA,-862.25,0,-0.516,-0.52,NA,NA,0.301,1.16,NA,NA,0.128
"81","8/2/2017","9:49:02",28.589,731.8,94.5,7.32,114.4,7.56,NA,NA,NA,-862.26,0,-0.512,-0.51,NA,NA,0.299,1.15,NA,NA,0.137
"82","8/2/2017","9:49:03",28.586,731.9,94.5,7.32,114.3,7.56,NA,NA,NA,-862.25,0,-0.502,-0.5,NA,NA,0.302,1.16,NA,NA,0.147
"83","8/2/2017","9:49:04",28.583,731.9,94.5,7.32,114.3,7.55,NA,NA,NA,-862.24,0,-0.5,-0.5,NA,NA,0.314,1.2,NA,NA,0.159
"84","8/2/2017","9:49:05",28.579,731.8,94.5,7.32,114.3,7.55,NA,NA,NA,-862.24,0,-0.491,-0.49,NA,NA,0.305,1.17,NA,NA,0.169
