"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"48","6/20/2017","8:40:00",26.777,744.2,88.5,7.08,127.5,7.61,222.7,3.05,0,-0.21,NA,5.45,NA,0,0
"49","6/20/2017","8:40:01",26.778,744.2,88.5,7.08,127.4,7.61,222.8,3.04,0,-0.21,NA,5.47,NA,0.002,0.1
"50","6/20/2017","8:40:02",26.779,744.2,88.5,7.08,127.4,7.61,222.8,3.05,0,-0.21,NA,5.53,NA,0.004,0.1
"51","6/20/2017","8:40:03",26.78,744.2,88.5,7.08,127.4,7.61,222.9,3.06,0,-0.2,NA,5.53,NA,0.008,0.1
"52","6/20/2017","8:40:04",26.781,744.2,88.5,7.08,127.4,7.61,223,3.08,0,-0.21,NA,5.54,NA,0.013,0.2
"53","6/20/2017","8:40:05",26.783,744.2,88.5,7.08,127.4,7.61,223,3.09,0,-0.21,NA,5.64,NA,0.018,0.2
"54","6/20/2017","8:40:06",26.783,744.2,88.5,7.07,127.4,7.61,223.1,3.1,0,-0.21,NA,5.69,NA,0.025,0.3
"55","6/20/2017","8:40:07",26.785,744.2,88.5,7.07,127.5,7.61,223.2,3.12,0,-0.21,NA,5.76,NA,0.034,0.3
"56","6/20/2017","8:40:08",26.785,744.2,88.4,7.07,127.4,7.61,223.3,3.12,0,-0.2,NA,5.88,NA,0.044,0.4
"57","6/20/2017","8:40:09",26.785,744.2,88.4,7.07,127.4,7.61,223.3,3.14,0,-0.19,NA,5.96,NA,0.055,0.5
"58","6/20/2017","8:40:10",26.784,744.2,88.4,7.07,127.5,7.61,223.4,3.14,0,-0.19,NA,6.03,NA,0.068,0.5
"59","6/20/2017","8:40:11",26.782,744.2,88.4,7.07,127.5,7.61,223.4,3.15,0,-0.18,NA,6.13,NA,0.085,0.6
"60","6/20/2017","8:40:12",26.78,744.2,88.4,7.07,127.5,7.61,223.5,3.15,0,-0.18,NA,6.15,NA,0.099,0.5
"61","6/20/2017","8:40:13",26.778,744.2,88.4,7.07,127.5,7.61,223.6,3.18,0,-0.18,NA,6.16,NA,0.113,0.5
