Date,Time,DEP.m,X.C,DO_percent,DO_mgpL,pH,ORP,PC,CHL
8/2/2017,10:15:00,0,28.8,86.6,6.58,8.3,NA,NA,NA
8/2/2017,10:15:00,1,28.5,83.5,6.47,8.35,NA,NA,NA
8/2/2017,10:15:00,2,28.4,82.2,6.37,8.36,NA,NA,NA
8/2/2017,10:15:00,3,28.4,79.4,6.17,8.35,NA,NA,NA
8/2/2017,10:15:00,4,28.4,77,5.97,8.33,NA,NA,NA
8/2/2017,10:15:00,5,28.4,76,5.91,8.32,NA,NA,NA
8/2/2017,10:15:00,6,28.1,48.6,3.71,8.15,NA,NA,NA
8/2/2017,10:15:00,6.5,27.8,15.1,1.13,7.86,NA,NA,NA
8/2/2017,10:15:00,7,27.2,3.7,0.26,7.65,NA,NA,NA
8/2/2017,10:15:00,7.5,25.1,1.5,0.12,7.43,NA,NA,NA
8/2/2017,10:15:00,8,23.9,1,0.08,7.34,NA,NA,NA
8/2/2017,10:15:00,9,22.1,0.7,0.06,7.26,NA,NA,NA
8/2/2017,10:15:00,10,20.9,0.6,0.05,7.23,NA,NA,NA
8/2/2017,10:15:00,11,19.1,0.3,0.03,7.19,NA,NA,NA
8/2/2017,10:15:00,12,18.4,0.2,0.02,7.15,NA,NA,NA
8/2/2017,10:15:00,13,17.7,0.2,0.02,7.13,NA,NA,NA
8/2/2017,10:15:00,14,17.3,0.1,0.01,7.1,NA,NA,NA
