Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
6/9/2017,11:27:53,16.449,739.1,8.8,0.86,191.4,7.48,-153.3,51.13,0,0.4,,6.84,,3.814,4.3
6/9/2017,11:27:54,16.434,739.1,8.6,0.84,193.8,7.35,-154.9,40.97,0,0.48,,4.18,,3.851,4.3
6/9/2017,11:27:55,16.424,739.1,8.4,0.82,196.4,7.28,-154,65.28,0,0.64,,6.67,,3.879,4.3
6/9/2017,11:27:56,16.405,739.1,8.2,0.81,198.6,7.23,-154.6,73,0,0.81,,10.09,,3.904,4.4
6/9/2017,11:27:57,16.383,739.2,8.1,0.79,201,7.2,-155.2,30.49,0,1.11,,23.97,,3.928,4.4
6/9/2017,11:27:58,16.369,739.1,8,0.78,202.8,7.19,-155.4,53.46,0,1.54,,29.32,,3.955,4.4
6/9/2017,11:27:59,16.359,739.1,7.8,0.77,204.6,7.19,-155.4,105.56,0,2.09,,19.29,,3.975,4.4
6/9/2017,11:28:00,16.341,739.2,7.7,0.76,206.3,7.19,-154.9,55.18,0,2.54,,9.55,,3.994,4.4
6/9/2017,11:28:01,16.313,739.2,7.6,0.74,207.6,7.19,-154,71.63,0,2.72,,7.09,,4.012,4.4
6/9/2017,11:28:02,16.289,739.1,7.5,0.74,208.7,7.19,-144.7,65.85,0,2.9,,8.18,,4.031,4.4
