Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
6/30/2017,10:56:53,22.362,738.2,95.1,8.26,0.9,7.24,48,2.03,0,0,,0.77,,0,0
6/30/2017,10:56:54,22.307,738.2,95.1,8.26,0.9,7.24,48.3,2.22,0,0.11,,1.88,,0,0
6/30/2017,10:56:55,22.282,738.2,95.1,8.27,1.6,7.24,41.6,2.52,0,0.22,,3.06,,0,0
6/30/2017,10:56:56,23.482,738.2,95.1,8.1,9.6,7.24,42.6,3.1,0,0.29,,25.17,,0.003,0.1
6/30/2017,10:56:57,23.497,738.2,86,7.3,138,7.25,43.3,3.76,0,0.42,,26.8,,0.012,0.3
6/30/2017,10:56:58,23.488,738.2,81.9,6.96,138.3,7.25,43.8,4.32,0,0.54,,25.21,,0.023,0.4
6/30/2017,10:56:59,23.477,738.2,78,6.63,138.5,7.25,43.9,4.89,0,0.67,,25.35,,0.039,0.6
6/30/2017,10:57:00,23.451,738.2,76.9,6.54,138.6,7.26,44.1,5.46,0,0.79,,25.35,,0.874,0.8
6/30/2017,10:57:01,23.442,738.2,75,6.37,138.7,7.26,44.3,6.05,0,0.89,,25.46,,1.124,1
6/30/2017,10:57:02,23.434,738.2,70.2,5.97,138.7,7.26,44.5,6.67,0,1,,25.38,,1.242,1.2
6/30/2017,10:57:03,23.426,738.2,68.2,5.8,138.8,7.27,44.6,7.24,0,1.12,,25.49,,1.261,1.3
6/30/2017,10:57:04,23.422,738.2,66.7,5.67,138.8,7.27,44.7,7.76,0,1.2,,25.41,,1.339,1.4
6/30/2017,10:57:05,23.415,738.2,65.7,5.59,138.8,7.27,44.9,8.31,0,1.32,,25.51,,1.432,1.5
6/30/2017,10:57:06,23.41,738.2,64.9,5.52,138.8,7.27,45,8.93,0,1.43,,25.48,,1.512,1.7
6/30/2017,10:57:07,23.405,738.3,64.1,5.45,138.8,7.28,45.1,9.42,0,1.54,,25.46,,1.578,1.8
6/30/2017,10:57:08,23.401,738.3,63.5,5.4,138.8,7.28,45.2,9.87,0,1.63,,25.49,,1.64,1.9
6/30/2017,10:57:09,23.396,738.2,62.9,5.35,138.8,7.28,45.3,10.24,0,1.71,,25.39,,1.705,2.1
6/30/2017,10:57:10,23.392,738.3,62.4,5.31,138.8,7.29,45.4,10.32,0,1.77,,25.46,,1.777,2.2
6/30/2017,10:57:11,23.388,738.2,61.9,5.27,138.8,7.29,45.5,10.31,0,1.76,,25.36,,1.834,2.3
6/30/2017,10:57:12,23.383,738.2,61.5,5.24,138.8,7.29,45.6,10.38,0,1.77,,25.17,,1.891,2.4
6/30/2017,10:57:13,23.374,738.2,58,4.93,138.8,7.3,45.7,10.39,0,1.73,,25.16,,1.946,2.5
6/30/2017,10:57:14,23.367,738.2,57.5,4.9,138.8,7.3,45.8,10.43,0,1.71,,20.87,,2.763,2.7
6/30/2017,10:57:15,23.359,738.2,56.9,4.84,138.8,7.3,45.9,10.44,0,1.68,,22.39,,2.897,2.8
6/30/2017,10:57:16,23.336,738.2,56,4.77,138.8,7.31,46,10.7,0,1.65,,15.59,,3.041,3
6/30/2017,10:57:17,23.291,738.2,55,4.68,139.1,7.31,46.1,11.06,0,1.58,,16.1,,3.096,3.1
6/30/2017,10:57:18,23.234,738.2,49.9,4.26,139.5,7.31,46.3,11.58,0,1.51,,16.4,,3.153,3.2
6/30/2017,10:57:19,23.16,738.2,46.9,4.01,140.2,7.3,46.5,12.18,0,1.43,,16.36,,3.267,3.4
6/30/2017,10:57:20,21.94,738.2,43.6,3.73,141,7.3,53.4,12.68,0,1.36,,15.96,,3.34,3.5
6/30/2017,10:57:21,21.556,738.2,41.4,3.64,147,7.19,54.7,13.09,0,1.28,,12.73,,3.419,3.7
6/30/2017,10:57:22,20.683,738.2,34.7,3.07,192.7,7.15,57.7,13.34,0,1.19,,8.61,,3.491,3.8
6/30/2017,10:57:23,20.056,738.2,31.4,2.85,219.2,7.07,54.6,13.35,0,1.14,,9.05,,3.588,4
6/30/2017,10:57:24,20.139,738.2,28,2.54,219.4,7.05,32.4,13.72,0,1.09,,12.18,,3.663,4.1
6/30/2017,10:57:25,20.197,738.2,25.6,2.32,219.8,7.04,13.5,14.59,0,1.04,,12.18,,3.728,4.2
6/30/2017,10:57:26,20.214,738.2,24.5,2.21,220.8,6.87,3.3,77.38,0,1.02,,17.99,,3.782,4.2
6/30/2017,10:57:27,20.123,738.2,23,2.08,225,6.79,-15.8,205.04,0,1.09,,32.94,,3.829,4.3
6/30/2017,10:57:28,19.926,738.2,22,2,228.2,6.77,-52.1,809.34,0,1.11,,19.12,,3.881,4.3
6/30/2017,10:57:29,19.8,738.2,17.8,1.62,230.3,6.77,-71,552.25,0,1.22,,27.71,,3.916,4.3
6/30/2017,10:57:30,19.688,738.2,16.6,1.51,232.4,6.77,-88.3,97.25,0,1.29,,19.38,,3.939,4.2
6/30/2017,10:57:31,19.624,738.2,15.5,1.42,234.2,6.81,-100.3,330.41,0,1.31,,27.07,,3.927,3.8
