"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"14","11/14/2014","12:04:45",23.115,738.1,145.5,12.45,278,9.18,10.93,0,3,NA,34.74,NA,0,0
"15","11/14/2014","12:04:48",23.111,738.2,145.8,12.47,278,9.19,10.97,0,3.03,NA,41.1,NA,0.001,0.1
"16","11/14/2014","12:04:50",23.063,738.1,145.8,12.48,278.1,9.2,11.25,0,3.15,NA,52.46,NA,0.011,0.2
"17","11/14/2014","12:04:53",22.952,738.2,145.4,12.47,278.3,9.2,11.65,0,3.43,NA,65.8,NA,0.024,0.2
"18","11/14/2014","12:04:55",22.771,738.1,136.1,11.71,278.6,9.2,12.12,0,3.76,NA,63.93,NA,0.042,0.4
"19","11/14/2014","12:04:58",22.512,738.2,131,11.32,279.2,9.01,12.51,0,4.07,NA,57.26,NA,0.076,0.6
"20","11/14/2014","12:05:00",22.259,738.1,119.1,10.35,279.9,8.99,12.87,0,4.32,NA,50.15,NA,0.117,0.6
"21","11/14/2014","12:05:03",22.019,738.2,115.8,10.11,280.6,8.96,13.14,0,4.54,NA,53.24,NA,0.158,0.6
"22","11/14/2014","12:05:05",21.849,738.1,109.7,9.6,281.2,8.95,13.18,0,4.73,NA,52.7,NA,0.199,0.6
"23","11/14/2014","12:05:08",21.739,738.2,107.2,9.41,281.7,8.94,13.19,0,4.82,NA,52.15,NA,0.237,0.6
"24","11/14/2014","12:05:10",21.699,738.2,106.1,9.32,282,8.93,13.08,0,4.78,NA,52.21,NA,0.283,0.7
"25","11/14/2014","12:05:13",21.683,738.1,104.9,9.23,282.2,8.92,13.06,0,4.64,NA,52.27,NA,0.324,0.7
"26","11/14/2014","12:05:15",21.673,738.2,104.1,9.16,282.3,8.92,13.09,0,4.52,NA,52.3,NA,0.366,0.6
"27","11/14/2014","12:05:18",21.657,738.2,103.5,9.1,282.5,8.91,13.17,0,4.46,NA,52.15,NA,0.412,0.6
"28","11/14/2014","12:05:20",21.639,738.1,102.9,9.06,282.5,8.91,13.23,0,4.45,NA,51.75,NA,0.454,0.6
"29","11/14/2014","12:05:23",21.629,738.1,101.9,8.97,282.6,8.9,13.19,0,4.41,NA,47.21,NA,0.5,0.7
"30","11/14/2014","12:05:25",21.609,738.2,97.7,8.6,282.7,8.89,13.18,0,4.38,NA,49.05,NA,0.551,0.8
"31","11/14/2014","12:05:28",21.587,738.2,96.7,8.52,282.9,8.88,13.27,0,4.34,NA,48.54,NA,0.595,0.8
"32","11/14/2014","12:05:30",21.565,738.1,96.2,8.47,283,8.87,13.37,0,4.32,NA,48.26,NA,0.639,0.9
"33","11/14/2014","12:05:33",21.545,738.2,95.7,8.43,283.1,8.86,13.32,0,4.28,NA,48.24,NA,0.686,1
"34","11/14/2014","12:05:35",21.533,738.2,95,8.38,283.2,8.85,13.3,0,4.24,NA,48.66,NA,0.723,1.1
"35","11/14/2014","12:05:38",21.528,738.2,94.6,8.34,283.3,8.84,13.34,0,4.18,NA,49.14,NA,0.753,1.1
"36","11/14/2014","12:05:40",21.523,738.2,94.3,8.31,283.4,8.83,13.44,0,4.11,NA,49.54,NA,0.784,1.1
"37","11/14/2014","12:05:43",21.514,738.2,93.8,8.28,283.4,8.82,13.42,0,4.08,NA,56.13,NA,0.82,1.2
"38","11/14/2014","12:05:45",21.511,738.2,93.2,8.22,283.5,8.81,13.33,0,4.04,NA,51.62,NA,0.858,1.2
"39","11/14/2014","12:05:48",21.51,738.2,92.7,8.18,283.6,8.81,13.38,0,4.01,NA,52.06,NA,0.893,1.2
"40","11/14/2014","12:05:50",21.503,738.2,92.4,8.15,283.6,8.8,13.42,0,3.98,NA,52.54,NA,0.935,1.4
"41","11/14/2014","12:05:53",21.498,738.2,92.1,8.12,283.7,8.8,13.43,0,3.96,NA,53.52,NA,0.982,1.4
"42","11/14/2014","12:05:55",21.499,738.1,91.8,8.1,283.7,8.79,13.39,0,3.93,NA,52.5,NA,1.028,1.3
"43","11/14/2014","12:05:58",21.497,738.2,91.6,8.08,283.7,8.79,13.43,0,3.92,NA,52.15,NA,1.074,1.3
"44","11/14/2014","12:06:00",21.494,738.2,91.5,8.07,283.8,8.79,13.48,0,3.92,NA,51.95,NA,1.116,1.3
"45","11/14/2014","12:06:03",21.492,738.2,91.3,8.06,283.8,8.79,13.5,0,3.89,NA,51.73,NA,1.155,1.4
"46","11/14/2014","12:06:05",21.491,738.2,91.2,8.05,283.8,8.79,13.55,0,3.89,NA,50.98,NA,1.201,1.5
"47","11/14/2014","12:06:08",21.488,738.2,91.1,8.04,283.8,8.79,13.56,0,3.85,NA,51.89,NA,1.249,1.5
"48","11/14/2014","12:06:10",21.486,738.2,91.1,8.04,283.8,8.79,13.6,0,3.84,NA,51.46,NA,1.284,1.5
"49","11/14/2014","12:06:13",21.486,738.2,91,8.03,283.8,8.79,13.54,0,3.83,NA,51.28,NA,1.315,1.5
"50","11/14/2014","12:06:15",21.484,738.2,90.9,8.02,283.8,8.78,13.51,0,3.8,NA,50.66,NA,1.348,1.7
"51","11/14/2014","12:06:18",21.483,738.2,90.8,8.02,283.9,8.78,13.49,0,3.75,NA,48.14,NA,1.395,1.9
"52","11/14/2014","12:06:20",21.479,738.2,90.7,8.01,283.9,8.78,13.48,0,3.7,NA,49.18,NA,1.445,1.9
"53","11/14/2014","12:06:23",21.475,738.2,90.5,7.99,284,8.78,13.48,0,3.64,NA,45.64,NA,1.496,2
"54","11/14/2014","12:06:25",21.469,738.1,90.2,7.96,284.1,8.78,13.43,0,3.59,NA,49.2,NA,1.555,2.1
"55","11/14/2014","12:06:28",21.457,738.2,89.8,7.93,284.2,8.77,13.59,0,3.5,NA,45.63,NA,1.617,2.3
"59","11/14/2014","12:06:38",21.382,738.2,82.3,7.28,285.3,8.73,14.49,0,3.07,NA,45.07,NA,2.482,2.5
"60","11/14/2014","12:06:40",21.361,738.2,81.9,7.25,285.6,8.71,14.81,0,2.99,NA,43.07,NA,2.514,2.6
"61","11/14/2014","12:06:43",21.352,738.2,81.4,7.2,285.7,8.7,14.94,0,2.95,NA,43.53,NA,2.541,2.6
"62","11/14/2014","12:06:45",21.344,738.2,80.8,7.15,285.9,8.68,14.91,0,2.91,NA,43.53,NA,2.558,2.6
"63","11/14/2014","12:06:48",21.329,738.1,79.9,7.07,286.1,8.66,14.98,0,2.89,NA,42.59,NA,2.567,2.6
"64","11/14/2014","12:06:50",21.315,738.2,78.9,6.98,286.3,8.64,15.07,0,2.9,NA,42.42,NA,2.576,2.7
"65","11/14/2014","12:06:53",21.306,738.1,77.8,6.89,286.4,8.63,15.14,0,2.87,NA,42.01,NA,2.599,2.8
"66","11/14/2014","12:06:55",21.299,738.2,77,6.82,286.5,8.62,15.18,0,2.86,NA,41.68,NA,2.618,2.8
"67","11/14/2014","12:06:58",21.291,738.2,76.3,6.76,286.6,8.61,15.22,0,2.82,NA,43.48,NA,2.63,2.7
"68","11/14/2014","12:07:00",21.287,738.2,75.7,6.7,286.6,8.6,15.33,0,2.81,NA,41.97,NA,2.647,2.9
"69","11/14/2014","12:07:03",21.285,738.2,75.2,6.66,286.7,8.59,15.38,0,2.81,NA,40.93,NA,2.665,2.9
"70","11/14/2014","12:07:05",21.284,738.2,74.8,6.63,286.7,8.58,15.37,0,2.82,NA,40.94,NA,2.682,2.9
"71","11/14/2014","12:07:08",21.283,738.1,74.6,6.61,286.7,8.58,15.43,0,2.83,NA,41.26,NA,2.704,3.1
"72","11/14/2014","12:07:10",21.281,738.2,74.3,6.59,286.7,8.57,15.36,0,2.83,NA,41.61,NA,2.735,3.1
"73","11/14/2014","12:07:13",21.279,738.2,74.2,6.57,286.8,8.57,15.3,0,2.84,NA,41.84,NA,2.777,3.2
"74","11/14/2014","12:07:15",21.276,738.2,74,6.56,286.8,8.57,15.21,0,2.84,NA,41.62,NA,2.826,3.2
"75","11/14/2014","12:07:18",21.272,738.2,73.9,6.55,286.8,8.56,15.29,0,2.85,NA,37.67,NA,2.872,3.3
"76","11/14/2014","12:07:20",21.266,738.2,73.8,6.54,286.8,8.56,15.36,0,2.86,NA,36.21,NA,2.928,3.4
"77","11/14/2014","12:07:23",21.253,738.2,73.6,6.53,286.9,8.56,15.58,0,2.83,NA,41.03,NA,2.971,3.4
"78","11/14/2014","12:07:25",21.235,738.2,73.4,6.51,287,8.56,15.9,0,2.82,NA,40.26,NA,3.038,3.6
"79","11/14/2014","12:07:28",21.208,738.2,73.1,6.49,287.1,8.55,16.38,0,2.84,NA,40.87,NA,3.097,3.6
"80","11/14/2014","12:07:30",21.159,738.2,69.4,6.16,287.4,8.45,28.41,0,2.84,NA,40.57,NA,3.159,3.7
"81","11/14/2014","12:07:33",21.071,738.2,67,5.96,288,8.42,21.73,0,2.83,NA,40.23,NA,3.226,3.8
"82","11/14/2014","12:07:35",20.97,738.2,65.5,5.84,288.8,8.39,24.92,0,2.84,NA,39.96,NA,3.297,3.9
"83","11/14/2014","12:07:38",20.885,738.2,64.4,5.75,289.5,8.38,26.88,0,2.84,NA,39.4,NA,3.368,3.9
"84","11/14/2014","12:07:40",20.761,738.2,63.3,5.66,290.6,8.37,27.57,0,2.84,NA,38.56,NA,3.436,3.9
"85","11/14/2014","12:07:43",20.653,738.2,58.3,5.23,291.6,8.35,28.09,0,2.8,NA,38.16,NA,3.506,3.9
"86","11/14/2014","12:07:45",20.576,738.2,57.1,5.13,292.4,8.34,28.54,0,2.76,NA,37.42,NA,3.569,4
"87","11/14/2014","12:07:48",20.487,738.2,56.1,5.05,293.3,8.23,29.31,0,2.71,NA,37.06,NA,3.634,4
"88","11/14/2014","12:07:50",20.376,738.2,55,4.96,294.4,8.19,29.64,0,2.67,NA,36.29,NA,3.697,4.1
"89","11/14/2014","12:07:53",20.281,738.2,49.6,4.48,295.3,8.18,29.44,0,2.6,NA,35.56,NA,3.757,4.1
"90","11/14/2014","12:07:55",20.119,738.2,47.9,4.34,296.7,8.15,29.48,0,2.52,NA,31.94,NA,3.816,4.2
"91","11/14/2014","12:07:58",19.957,738.2,46.6,4.23,298.2,8.13,29.36,0,2.44,NA,31.78,NA,3.871,4.2
"92","11/14/2014","12:08:00",19.803,738.2,45.3,4.13,299.6,8.12,29.11,0,2.41,NA,32.01,NA,3.925,4.2
"93","11/14/2014","12:08:03",19.67,738.2,40.9,3.73,300.8,8.11,29.94,0,2.35,NA,31.84,NA,3.973,4.2
"94","11/14/2014","12:08:05",19.543,738.2,40,3.66,302,8.1,28.65,0,2.29,NA,31.9,NA,4.012,4.2
"95","11/14/2014","12:08:08",19.503,738.2,39.2,3.6,302.5,8.09,29.28,0,2.25,NA,31.86,NA,4.048,4.2
"96","11/14/2014","12:08:10",19.47,738.2,38.6,3.54,302.9,8.08,29.8,0,2.22,NA,31.62,NA,4.078,4.2
"97","11/14/2014","12:08:13",19.432,738.2,37.9,3.48,303.3,7.98,30.41,0,2.18,NA,31.19,NA,4.103,4.2
"98","11/14/2014","12:08:15",19.388,738.2,37.3,3.43,303.6,7.97,30.38,0,2.19,NA,30.85,NA,4.128,4.2
"99","11/14/2014","12:08:18",19.362,738.2,33.4,3.08,303.8,7.96,30.47,0,2.18,NA,30.54,NA,4.15,4.2
"100","11/14/2014","12:08:20",19.323,738.2,32.8,3.02,304.1,7.95,30.9,0,2.13,NA,30.31,NA,4.171,4.3
"101","11/14/2014","12:08:23",19.304,738.2,32.3,2.98,304.3,7.94,30.99,0,2.13,NA,30.66,NA,4.19,4.2
"102","11/14/2014","12:08:25",19.285,738.2,32,2.95,304.5,7.94,30.95,0,2.12,NA,30.66,NA,4.207,4.3
"103","11/14/2014","12:08:28",19.261,738.2,31.7,2.92,304.7,7.93,30.91,0,2.08,NA,29.36,NA,4.219,4.3
