Unit ID:,,,,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,,,
Site:,94,,,,,,,,,,,,,,,
Log Interval:,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,,,
Handheld,2, 17E100519,1.0.18,,,,,,,,,,,,,
5P Sonde,4, 17E101337,1.0.35,,,,,,,,,,,,,
pH/ORP,1, 17E101062,3.0.0,,,,,,,,,,,,,
Turbidity,1, 17D108184,3.0.0,,,,,,,,,,,,,
TAL-PC,1, 17D109804,3.0.0,,,,,,,,,,,,,
ODO,1, 17D108766,3.0.0,,,,,,,,,,,,,
CT,1, 17C104840,3.0.5,,,,,,,,,,,,,
Depth,2, 17D108419,3.0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
6/13/2017,15:57:00,28.611,733,93.9,7.27,6.8,7.95,207.5,8.8,0,2.54,,3.34,,0,-0.3
6/13/2017,15:57:01,28.516,732.9,93.8,7.27,11.4,8.04,207.2,46.7,0,2.58,,3.71,,0,-0.3
6/13/2017,15:57:02,28.411,733,93.7,7.28,12.4,8.09,206.6,7.97,0,2.64,,8.5,,0,-0.3
6/13/2017,15:57:03,28.321,732.9,93.7,7.29,47,8.1,206.1,8.2,0,2.59,,9.35,,0,-0.3
6/13/2017,15:57:04,28.224,733.1,93.7,7.3,84.4,8.12,205.7,8.55,0,2.48,,8.31,,0,-0.3
6/13/2017,15:57:05,28.144,733,93.7,7.31,133.9,8.14,205.3,8.5,0,2.33,,8.85,,0,-0.3
6/13/2017,15:57:06,28.056,733,93.7,7.32,138.3,8.16,204.8,8.49,0,2.27,,8.85,,0,-0.3
