Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
7/21/2017,10:17:44,26.942,740,100.2,7.99,1.6,7.94,169.4,-847.27,0,0.8,,2.22,,0,0
7/21/2017,10:17:45,26.927,740,100.2,7.99,1.7,7.94,169.5,-844.7,0,0.77,,2.18,,0,0
7/21/2017,10:17:46,26.919,740,100.2,7.99,1.7,7.94,169.6,-846.3,0,0.77,,2.19,,0,0
7/21/2017,10:17:47,26.912,739.9,100.2,8,1.7,7.94,169.7,-834.75,0,0.83,,2.29,,0,0
7/21/2017,10:17:48,26.91,740,100.1,7.99,1.7,7.94,169.7,-838.96,0,0.91,,2.71,,0,0
7/21/2017,10:17:49,26.913,740,107.9,8.61,1.8,8.1,169.7,-854.22,0,1,,3.4,,0,0
7/21/2017,10:17:50,31.108,740.1,102.7,7.68,5.2,8.37,146,-853.46,0,1.1,,10.92,,0,0
7/21/2017,10:17:51,31.385,740,101.2,7.49,11.4,8.38,151.7,-853.53,0,1.2,,9.17,,0,0
7/21/2017,10:17:52,31.444,740,100,7.37,300.1,8.45,150.6,-853.53,0,1.34,,8.03,,0,0
7/21/2017,10:17:53,31.463,740,99.6,7.34,306,8.47,151,-853.62,0,1.51,,9.45,,0,0
7/21/2017,10:17:54,31.487,740.1,99.3,7.31,306.5,8.52,150.2,-853.7,0,1.68,,9.45,,0,0.1
7/21/2017,10:17:55,31.49,740,99,7.29,306.5,8.57,149.2,-853.82,0,1.83,,9.61,,0.002,0.2
7/21/2017,10:17:56,31.49,740.1,98.8,7.28,306.5,8.59,148.4,-853.88,0,2,,9.96,,0.008,0.2
7/21/2017,10:17:57,31.488,740.2,98.6,7.26,306.6,8.7,147.7,-853.93,0,2.15,,10.35,,0.016,0.3
7/21/2017,10:17:58,31.487,740.2,98.5,7.25,306.7,8.73,147.2,-853.95,0,2.36,,10.59,,0.024,0.3
7/21/2017,10:17:59,31.486,740.1,98.3,7.24,306.7,8.75,146.7,-853.85,0,2.51,,10.75,,0.034,0.4
7/21/2017,10:18:00,31.484,740.1,98.2,7.23,306.8,8.76,146.3,-853.82,0,2.71,,10.89,,0.047,0.5
7/21/2017,10:18:01,31.48,740.1,98,7.22,306.8,8.76,145.9,-853.84,0,2.88,,11.04,,0.067,0.7
7/21/2017,10:18:02,31.476,740.1,97.9,7.21,306.9,8.77,145.5,-853.83,0,3.04,,11.12,,0.825,0.8
7/21/2017,10:18:03,31.471,740.1,97.7,7.19,306.9,8.78,145.1,-853.83,0,3.21,,11.15,,0.876,0.8
7/21/2017,10:18:04,31.464,740.1,97.5,7.18,307,8.78,144.8,-853.91,0,3.39,,11.23,,0.896,0.9
7/21/2017,10:18:05,31.46,740.1,97.3,7.17,307,8.79,144.5,-853.97,0,3.51,,11.37,,0.954,0.9
7/21/2017,10:18:06,31.453,740.1,97,7.15,307.1,8.79,144.3,-853.98,0,3.57,,11.44,,0.963,1
7/21/2017,10:18:07,31.446,740,96.7,7.12,307.1,8.79,144,-853.92,0,3.59,,11.47,,0.969,1
7/21/2017,10:18:08,31.439,740,96.3,7.1,307.2,8.8,143.8,-853.91,0,3.6,,11.49,,0.969,1
7/21/2017,10:18:09,31.433,740.1,96,7.08,307.2,8.8,143.6,-853.92,0,3.63,,11.51,,0.969,1
