Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m
7/12/2017,19:03:46,32.5,730.8,105.8,7.66,68.9,6.68,113.8,1.16,0,-0.51,,21.48,,0.5
7/12/2017,19:04:23,32.0,730.8,105.5,7.7,69.2,6.73,121.3,1.3,0,-0.5,,18.93,,1
7/12/2017,19:04:34,31.5,730.7,105.2,7.74,69.1,6.76,121.1,1.53,0,-0.49,,17.66,,1.5
7/12/2017,19:04:53,29.1,730.7,70.7,5.43,70.4,6.83,122,2.57,0,-0.38,,25.44,,2
7/12/2017,19:06:13,27.1,730.7,38.2,3.04,71.5,6.78,122.9,2.98,0,-0.23,,32.86,,2.5
7/12/2017,19:06:29,23.2,730.8,12.5,1.06,81.9,6.77,121.5,4.42,0,0.27,,93.14,,3
7/12/2017,19:06:48,19.7,730.7,5.1,0.47,99.4,6.71,119.2,5.49,0,1.05,,80.23,,3.5
7/12/2017,19:07:03,16.9,730.7,3.3,0.32,104.5,6.69,117.2,5.33,0,0.47,,50.91,,4
7/12/2017,19:07:13,16.2,730.7,2.7,0.26,106.6,6.69,116.1,7.14,0,0.29,,50.48,,4.5
7/12/2017,19:07:26,14.7,730.8,2.2,0.22,121.6,6.66,115.2,9.06,0,0.18,,44.77,,5
7/12/2017,19:07:41,13.4,730.8,1.8,0.19,141.2,6.61,103.3,10.54,0,0.14,,39,,5.5
7/12/2017,19:08:03,12.0,730.8,1.5,0.16,188.7,6.51,76,653.15,0,1.41,,97.04,,5.9
