Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,NH4-N mg/L,NO3-N mg/L,Cl mg/L,FNU,TSS mg/L,BGA-PC RFU,BGA-PC ug/L,BGA-PE RFU,BGA-PE ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM QSU,DEP m
11/16/2017,13:59:37,9.193,745.4,97.7,11.24,336.4,7.82,,,,-857.36,0,0.218,0.22,,,0.705,2.66,,,0.015
11/16/2017,13:59:38,9.192,745.4,97.8,11.24,359.9,7.82,,,,-857.39,0,0.216,0.22,,,0.717,2.71,,,0.014
11/16/2017,13:59:39,9.191,745.3,97.8,11.24,360.5,7.82,,,,-857.38,0,0.198,0.2,,,0.725,2.74,,,0.013
11/16/2017,13:59:40,9.189,745.3,97.8,11.24,360.6,7.81,,,,-857.42,0,0.202,0.2,,,0.735,2.78,,,0.011
11/16/2017,13:59:41,9.187,745.4,97.8,11.25,360.7,7.81,,,,-857.44,0,0.204,0.2,,,0.725,2.74,,,0.01
11/16/2017,13:59:42,9.188,745.3,97.9,11.25,360.7,7.81,,,,-857.41,0,0.214,0.21,,,0.725,2.74,,,0.01
11/16/2017,13:59:43,9.188,745.4,97.9,11.25,360.8,7.81,,,,-857.39,0,0.218,0.22,,,0.726,2.74,,,0.009
11/16/2017,13:59:44,9.188,745.4,97.9,11.26,360.8,7.81,,,,-857.32,0,0.223,0.22,,,0.725,2.74,,,0.008
11/16/2017,13:59:45,9.188,745.3,97.9,11.26,360.8,7.81,,,,-857.33,0,0.219,0.22,,,0.718,2.71,,,0.007
11/16/2017,13:59:46,9.188,745.3,97.9,11.26,360.9,7.8,,,,-857.35,0,0.225,0.22,,,0.729,2.75,,,0.007
11/16/2017,13:59:47,9.19,745.3,98,11.26,360.9,7.8,,,,-857.37,0,0.233,0.23,,,0.735,2.78,,,0.006
11/16/2017,13:59:48,9.191,745.3,98,11.26,360.9,7.8,,,,-857.43,0,0.24,0.24,,,0.729,2.76,,,0.005
11/16/2017,13:59:49,9.19,745.2,98,11.26,360.9,7.8,,,,-857.47,0,0.249,0.25,,,0.739,2.79,,,0.005
11/16/2017,13:59:50,9.189,745.2,98,11.26,360.9,7.8,,,,-857.47,0,0.255,0.25,,,0.742,2.8,,,0.005
11/16/2017,13:59:51,9.19,745.3,98,11.27,361,7.8,,,,-857.46,0,0.256,0.26,,,0.751,2.84,,,0.004
11/16/2017,13:59:52,9.191,745.3,98,11.27,361,7.8,,,,-857.51,0,0.262,0.26,,,0.759,2.87,,,0.004
11/16/2017,13:59:53,9.19,745.2,98,11.27,361,7.79,,,,-857.52,0,0.269,0.27,,,0.763,2.88,,,0.004
11/16/2017,13:59:54,9.19,745.2,98,11.27,361,7.79,,,,-857.51,0,0.267,0.27,,,0.762,2.88,,,0.004
11/16/2017,13:59:55,9.19,745.4,98,11.27,361,7.79,,,,-857.53,0,0.274,0.27,,,0.757,2.86,,,0.004
11/16/2017,13:59:56,9.189,745.3,98,11.27,361,7.79,,,,-857.52,0,0.257,0.26,,,0.746,2.82,,,0.004
11/16/2017,13:59:57,9.187,745.3,98,11.27,361,7.79,,,,-857.59,0,0.256,0.26,,,0.734,2.77,,,0.005
11/16/2017,13:59:58,9.186,745.3,98,11.27,361,7.79,,,,-857.58,0,0.267,0.27,,,0.726,2.74,,,0.007
11/16/2017,13:59:59,9.184,745.4,98,11.27,361,7.79,,,,-857.61,0,0.255,0.25,,,0.727,2.75,,,0.012
11/16/2017,14:00:00,9.181,745.3,98,11.27,361,7.79,,,,-857.6,0,0.253,0.25,,,0.721,2.72,,,0.019
11/16/2017,14:00:01,9.179,745.4,98,11.27,360.9,7.79,,,,-857.54,0,0.258,0.26,,,0.742,2.8,,,0.028
11/16/2017,14:00:02,9.168,745.3,98,11.27,360.9,7.79,,,,-857.45,0,0.268,0.27,,,0.744,2.81,,,0.041
11/16/2017,14:00:03,9.156,745.3,97.9,11.27,360.9,7.79,,,,-857.41,0,0.279,0.28,,,0.768,2.9,,,0.055
11/16/2017,14:00:04,9.139,745.2,97.9,11.27,360.9,7.79,,,,-857.4,0,0.299,0.3,,,0.809,3.06,,,0.072
11/16/2017,14:00:05,9.12,745.2,97.9,11.27,360.9,7.79,,,,-857.38,0,0.317,0.32,,,0.866,3.27,,,0.895
11/16/2017,14:00:06,9.09,745.3,97.8,11.26,361,7.79,,,,-857.28,0,0.348,0.35,,,0.939,3.54,,,0.959
11/16/2017,14:00:07,9.062,745.2,97.7,11.27,361,7.79,,,,-857.25,0,0.372,0.37,,,1.029,3.88,,,1.102
11/16/2017,14:00:08,9.026,745.3,97.7,11.27,361,7.79,,,,-857.23,0,0.413,0.41,,,1.124,4.23,,,1.158
11/16/2017,14:00:09,8.992,745.4,97.6,11.27,361,7.78,,,,-857.24,0,0.448,0.45,,,1.206,4.54,,,1.208
11/16/2017,14:00:10,8.953,745.4,97.6,11.28,361,7.78,,,,-857.11,0,0.494,0.49,,,1.291,4.86,,,1.272
11/16/2017,14:00:11,8.918,745.4,97.5,11.28,361,7.78,,,,-857.07,0,0.526,0.53,,,1.362,5.12,,,1.337
11/16/2017,14:00:12,8.879,745.4,97.5,11.28,361,7.79,,,,-857.07,0,0.569,0.57,,,1.42,5.34,,,1.386
11/16/2017,14:00:13,8.842,745.3,97.4,11.29,361.1,7.79,,,,-857.16,0,0.616,0.62,,,1.461,5.49,,,1.434
11/16/2017,14:00:14,8.801,745.4,97.3,11.29,361.1,7.79,,,,-857.09,0,0.66,0.66,,,1.479,5.56,,,1.469
11/16/2017,14:00:15,8.768,745.3,97.3,11.3,361.1,7.79,,,,-857.09,0,0.705,0.71,,,1.489,5.6,,,1.506
11/16/2017,14:00:16,8.74,745.4,97.3,11.3,361.1,7.79,,,,-857.08,0,0.747,0.75,,,1.49,5.6,,,1.544
11/16/2017,14:00:17,8.713,745.3,97.3,11.31,361.1,7.79,,,,-857.12,0,0.79,0.79,,,1.474,5.54,,,1.586
11/16/2017,14:00:18,8.694,745.4,97.2,11.31,361,7.79,,,,-857.14,0,0.837,0.84,,,1.457,5.48,,,1.619
11/16/2017,14:00:19,8.679,745.3,97.2,11.31,361,7.79,,,,-857.15,0,0.875,0.88,,,1.417,5.33,,,1.649
11/16/2017,14:00:20,8.664,745.4,97.1,11.3,361,7.79,,,,-857.11,0,0.897,0.9,,,1.389,5.22,,,1.677
11/16/2017,14:00:21,8.652,745.2,97,11.3,361,7.79,,,,-857.18,0,0.923,0.92,,,1.339,5.04,,,1.706
11/16/2017,14:00:22,8.643,745.3,97,11.29,361,7.79,,,,-857.15,0,0.932,0.93,,,1.284,4.83,,,1.744
11/16/2017,14:00:23,8.632,745.3,96.9,11.28,361.1,7.79,,,,-857.08,0,0.939,0.94,,,1.243,4.68,,,1.776
11/16/2017,14:00:24,8.621,745.3,96.7,11.27,361.1,7.79,,,,-857.03,0,0.938,0.94,,,1.215,4.57,,,1.808
11/16/2017,14:00:25,8.61,745.3,96.6,11.26,361.1,7.79,,,,-856.98,0,0.941,0.94,,,1.182,4.45,,,1.838
11/16/2017,14:00:26,8.603,745.4,96.5,11.25,361.1,7.79,,,,-856.98,0,0.938,0.94,,,1.154,4.35,,,1.872
11/16/2017,14:00:27,8.595,745.3,96.3,11.23,361.1,7.79,,,,-856.98,0,0.916,0.92,,,1.128,4.25,,,1.898
11/16/2017,14:00:28,8.587,745.4,96.1,11.21,361.1,7.79,,,,-856.98,0,0.913,0.91,,,1.104,4.16,,,1.928
11/16/2017,14:00:29,8.578,745.3,96,11.19,361.1,7.79,,,,-857.04,0,0.899,0.9,,,1.066,4.01,,,1.957
11/16/2017,14:00:30,8.569,745.4,95.8,11.18,361.1,7.79,,,,-856.96,0,0.888,0.89,,,1.05,3.96,,,1.992
